feature,gain,fold
TransactionAmt,946,1
ProductCD,252,1
card1,1930,1
card2,1325,1
card3,32,1
card4,130,1
card5,224,1
card6,221,1
addr1,1616,1
addr2,12,1
dist1,1402,1
dist2,621,1
P_emaildomain,1667,1
R_emaildomain,582,1
C1,1062,1
C2,657,1
C3,31,1
C4,108,1
C5,259,1
C6,629,1
C7,48,1
C8,244,1
C9,458,1
C10,206,1
C11,685,1
C12,288,1
C13,1750,1
C14,825,1
D1,434,1
D2,574,1
D3,181,1
D4,266,1
D5,160,1
D6,108,1
D7,17,1
D8,249,1
D9,371,1
D10,275,1
D11,197,1
D12,44,1
D13,18,1
D14,98,1
D15,402,1
M1,4,1
M2,111,1
M3,293,1
M4,699,1
M5,707,1
M6,662,1
M7,139,1
M8,141,1
M9,229,1
V1,0,1
V2,19,1
V3,26,1
V4,51,1
V5,76,1
V6,14,1
V7,29,1
V8,19,1
V9,8,1
V10,66,1
V11,60,1
V12,106,1
V13,153,1
V14,0,1
V15,6,1
V16,4,1
V17,6,1
V18,6,1
V19,80,1
V20,142,1
V21,3,1
V22,2,1
V23,68,1
V24,72,1
V25,26,1
V26,17,1
V27,0,1
V28,0,1
V29,127,1
V30,96,1
V31,0,1
V32,2,1
V33,13,1
V34,16,1
V35,105,1
V36,117,1
V37,107,1
V38,156,1
V39,26,1
V40,53,1
V41,0,1
V42,17,1
V43,65,1
V44,136,1
V45,364,1
V46,18,1
V47,92,1
V48,107,1
V49,149,1
V50,2,1
V51,21,1
V52,69,1
V53,185,1
V54,255,1
V55,140,1
V56,86,1
V57,17,1
V58,66,1
V59,25,1
V60,52,1
V61,143,1
V62,255,1
V63,26,1
V64,77,1
V65,0,1
V66,93,1
V67,198,1
V68,0,1
V69,104,1
V70,165,1
V71,9,1
V72,24,1
V73,22,1
V74,91,1
V75,164,1
V76,196,1
V77,163,1
V78,202,1
V79,95,1
V80,22,1
V81,61,1
V82,204,1
V83,267,1
V84,6,1
V85,34,1
V86,156,1
V87,317,1
V88,0,1
V89,0,1
V90,105,1
V91,128,1
V92,11,1
V93,26,1
V94,42,1
V95,4,1
V96,50,1
V97,15,1
V98,5,1
V99,75,1
V100,10,1
V101,9,1
V102,46,1
V103,8,1
V104,2,1
V105,29,1
V106,6,1
V107,0,1
V108,32,1
V109,16,1
V110,3,1
V111,1,1
V112,2,1
V113,0,1
V114,4,1
V115,20,1
V116,4,1
V117,1,1
V118,0,1
V119,0,1
V120,0,1
V121,1,1
V122,0,1
V123,16,1
V124,59,1
V125,32,1
V126,57,1
V127,175,1
V128,105,1
V129,64,1
V130,187,1
V131,82,1
V132,18,1
V133,94,1
V134,32,1
V135,43,1
V136,124,1
V137,55,1
V138,3,1
V139,86,1
V140,18,1
V141,1,1
V142,5,1
V143,84,1
V144,15,1
V145,41,1
V146,18,1
V147,36,1
V148,7,1
V149,130,1
V150,54,1
V151,16,1
V152,123,1
V153,10,1
V154,39,1
V155,16,1
V156,135,1
V157,6,1
V158,15,1
V159,33,1
V160,75,1
V161,27,1
V162,53,1
V163,16,1
V164,68,1
V165,242,1
V166,27,1
V167,18,1
V168,10,1
V169,118,1
V170,52,1
V171,36,1
V172,26,1
V173,6,1
V174,6,1
V175,9,1
V176,15,1
V177,12,1
V178,31,1
V179,7,1
V180,12,1
V181,13,1
V182,22,1
V183,10,1
V184,24,1
V185,12,1
V186,12,1
V187,163,1
V188,34,1
V189,128,1
V190,14,1
V191,5,1
V192,20,1
V193,7,1
V194,2,1
V195,2,1
V196,12,1
V197,35,1
V198,8,1
V199,31,1
V200,40,1
V201,52,1
V202,40,1
V203,101,1
V204,40,1
V205,61,1
V206,63,1
V207,78,1
V208,62,1
V209,87,1
V210,54,1
V211,26,1
V212,71,1
V213,37,1
V214,27,1
V215,61,1
V216,45,1
V217,50,1
V218,51,1
V219,38,1
V220,74,1
V221,73,1
V222,61,1
V223,42,1
V224,63,1
V225,16,1
V226,19,1
V227,9,1
V228,17,1
V229,44,1
V230,31,1
V231,20,1
V232,30,1
V233,21,1
V234,41,1
V235,9,1
V236,9,1
V237,9,1
V238,22,1
V239,31,1
V240,0,1
V241,0,1
V242,15,1
V243,101,1
V244,33,1
V245,101,1
V246,34,1
V247,8,1
V248,32,1
V249,10,1
V250,16,1
V251,65,1
V252,4,1
V253,25,1
V254,20,1
V255,6,1
V256,107,1
V257,85,1
V258,230,1
V259,79,1
V260,38,1
V261,145,1
V262,47,1
V263,56,1
V264,159,1
V265,67,1
V266,141,1
V267,129,1
V268,58,1
V269,2,1
V270,94,1
V271,99,1
V272,39,1
V273,35,1
V274,120,1
V275,65,1
V276,71,1
V277,110,1
V278,71,1
V279,54,1
V280,31,1
V281,181,1
V282,122,1
V283,187,1
V284,8,1
V285,152,1
V286,33,1
V287,19,1
V288,25,1
V289,38,1
V290,43,1
V291,70,1
V292,34,1
V293,52,1
V294,157,1
V295,21,1
V296,92,1
V297,4,1
V298,36,1
V299,4,1
V300,46,1
V301,31,1
V302,3,1
V303,19,1
V304,8,1
V305,0,1
V306,61,1
V307,485,1
V308,193,1
V309,140,1
V310,353,1
V311,173,1
V312,151,1
V313,312,1
V314,233,1
V315,254,1
V316,55,1
V317,158,1
V318,68,1
V319,26,1
V320,191,1
V321,41,1
V322,14,1
V323,49,1
V324,25,1
V325,0,1
V326,11,1
