feature,gain,fold
TransactionAmt,2326,1
ProductCD,431,1
card1,7671,1
card2,5727,1
card3,369,1
card4,613,1
card5,1431,1
card6,744,1
addr1,4889,1
addr2,65,1
dist1,4312,1
P_emaildomain,1258,1
R_emaildomain,1057,1
C1,2610,1
C2,2036,1
C4,299,1
C5,795,1
C6,1680,1
C7,113,1
C8,532,1
C9,1265,1
C10,463,1
C11,1854,1
C12,556,1
C13,3819,1
C14,1835,1
D1,2923,1
D2,3661,1
D3,1896,1
D4,3554,1
D5,1820,1
D6,574,1
D8,2306,1
D9,770,1
D10,3197,1
D11,2281,1
D12,522,1
D13,461,1
D14,898,1
D15,1293,1
M2,251,1
M3,465,1
M4,1045,1
M5,1027,1
M6,1225,1
M7,494,1
M8,350,1
M9,324,1
V3,133,1
V4,239,1
V5,288,1
V6,121,1
V7,177,1
V8,69,1
V9,48,1
V10,172,1
V11,141,1
V12,391,1
V13,490,1
V17,24,1
V19,415,1
V20,477,1
V29,222,1
V30,163,1
V33,96,1
V34,98,1
V35,429,1
V36,448,1
V37,289,1
V38,537,1
V40,161,1
V44,351,1
V45,648,1
V46,97,1
V47,230,1
V48,265,1
V49,267,1
V51,139,1
V52,166,1
V53,532,1
V54,596,1
V56,328,1
V58,127,1
V59,66,1
V60,103,1
V61,531,1
V62,692,1
V63,52,1
V64,116,1
V69,174,1
V70,289,1
V71,60,1
V72,59,1
V73,94,1
V74,223,1
V75,500,1
V76,560,1
V78,606,1
V80,51,1
V81,147,1
V82,585,1
V83,717,1
V84,21,1
V85,78,1
V87,702,1
V90,224,1
V91,267,1
V92,31,1
V93,81,1
V94,164,1
V95,51,1
V96,219,1
V97,72,1
V99,195,1
V100,45,1
V126,449,1
V127,718,1
V128,449,1
V130,625,1
V131,450,1
V138,11,1
V139,188,1
V140,74,1
V143,142,1
V145,110,1
V146,37,1
V147,48,1
V149,161,1
V150,92,1
V151,40,1
V152,164,1
V154,44,1
V156,156,1
V158,42,1
V159,97,1
V160,205,1
V161,57,1
V162,133,1
V163,35,1
V164,150,1
V165,323,1
V166,98,1
V167,20,1
V169,155,1
V170,99,1
V171,81,1
V172,52,1
V173,22,1
V175,24,1
V176,46,1
V177,28,1
V178,64,1
V180,50,1
V182,47,1
V184,60,1
V187,235,1
V188,53,1
V189,155,1
V195,2,1
V197,30,1
V200,56,1
V201,83,1
V202,101,1
V203,221,1
V204,107,1
V205,90,1
V206,145,1
V207,146,1
V208,148,1
V209,176,1
V210,98,1
V212,118,1
V213,63,1
V214,73,1
V215,143,1
V216,98,1
V217,82,1
V219,66,1
V220,148,1
V221,168,1
V222,105,1
V223,49,1
V224,116,1
V225,33,1
V226,46,1
V227,53,1
V228,34,1
V229,134,1
V231,39,1
V233,44,1
V234,101,1
V238,51,1
V239,69,1
V242,37,1
V243,95,1
V244,47,1
V245,96,1
V246,46,1
V247,18,1
V249,41,1
V251,126,1
V253,64,1
V256,134,1
V257,142,1
V258,257,1
V259,113,1
V261,276,1
V262,127,1
V263,148,1
V264,354,1
V265,161,1
V266,271,1
V267,268,1
V268,129,1
V270,124,1
V271,184,1
V272,96,1
V273,83,1
V274,230,1
V275,110,1
V276,139,1
V277,233,1
V278,149,1
V279,165,1
V280,165,1
V282,579,1
V283,519,1
V285,380,1
V287,64,1
V288,126,1
V289,149,1
V291,317,1
V292,121,1
V294,365,1
V303,37,1
V304,26,1
V306,354,1
V307,1390,1
V308,666,1
V310,1154,1
V312,650,1
V313,1235,1
V314,794,1
V315,870,1
V317,597,1
V322,21,1
V323,78,1
V324,37,1
V326,46,1
V329,27,1
V331,44,1
V332,126,1
V333,57,1
V335,92,1
V336,58,1
V338,74,1
id_01,681,1
id_02,786,1
id_03,363,1
id_05,1197,1
id_06,1242,1
id_09,310,1
id_11,161,1
id_12,8,1
id_13,1343,1
id_14,415,1
id_15,68,1
id_17,230,1
id_19,2053,1
id_20,2459,1
id_30,516,1
id_31,1202,1
id_32,133,1
id_33,502,1
id_36,10,1
id_37,113,1
id_38,440,1
DeviceType,161,1
DeviceInfo,749,1
device_name,436,1
device_version,726,1
OS_id_30,32,1
version_id_30,411,1
browser_id_31,159,1
version_id_31,1048,1
screen_width,95,1
screen_height,507,1
had_id,2,1
TransactionAmt_to_mean_card1,4463,1
TransactionAmt_to_std_card1,6543,1
TransactionAmt_to_mean_card4,3094,1
TransactionAmt_to_std_card4,3241,1
TransactionAmt_to_mean_addr1,4043,1
TransactionAmt_to_std_addr1,4044,1
id_02_to_mean_card1,1168,1
id_02_to_std_card1,1141,1
id_02_to_mean_card4,862,1
id_02_to_std_card4,617,1
id_02_to_mean_addr1,530,1
id_02_to_std_addr1,561,1
D15_to_mean_card1,2971,1
D15_to_std_card1,2237,1
D15_to_mean_card4,1523,1
D15_to_std_card4,840,1
D15_to_mean_addr1,2159,1
D15_to_std_addr1,1435,1
TransactionAmt_Log,1131,1
TransactionAmt_decimal,2665,1
Transaction_day_of_week,2442,1
Transaction_hour,3605,1
id_02__id_20,974,1
id_02__D8,317,1
D11__DeviceInfo,1401,1
DeviceInfo__P_emaildomain,1887,1
P_emaildomain__C2,3815,1
card2__dist1,3922,1
card1__card5,7608,1
card2__id_20,1949,1
card5__P_emaildomain,4516,1
addr1__card1,7280,1
card1_count_full,8571,1
card2_count_full,5720,1
card3_count_full,581,1
card4_count_full,313,1
card5_count_full,1392,1
card6_count_full,419,1
id_36_count_full,31,1
id_01_count_dist,559,1
id_31_count_dist,1486,1
id_33_count_dist,635,1
id_36_count_dist,8,1
P_emaildomain_bin,1361,1
P_emaildomain_suffix,446,1
R_emaildomain_bin,724,1
R_emaildomain_suffix,140,1
TransactionAmt,2035,2
ProductCD,418,2
card1,6655,2
card2,5194,2
card3,331,2
card4,551,2
card5,1275,2
card6,624,2
addr1,4329,2
addr2,78,2
dist1,3470,2
P_emaildomain,1163,2
R_emaildomain,942,2
C1,2453,2
C2,1822,2
C4,283,2
C5,748,2
C6,1591,2
C7,123,2
C8,508,2
C9,1255,2
C10,490,2
C11,1657,2
C12,499,2
C13,3532,2
C14,1743,2
D1,2632,2
D2,3372,2
D3,1565,2
D4,3152,2
D5,1502,2
D6,523,2
D8,2091,2
D9,683,2
D10,2808,2
D11,1911,2
D12,470,2
D13,514,2
D14,709,2
D15,1185,2
M2,246,2
M3,372,2
M4,1020,2
M5,950,2
M6,1121,2
M7,384,2
M8,282,2
M9,300,2
V3,140,2
V4,210,2
V5,291,2
V6,110,2
V7,167,2
V8,33,2
V9,36,2
V10,125,2
V11,108,2
V12,361,2
V13,376,2
V17,29,2
