feature,gain,Fold
TransactionDT,17,1
TransactionAmt,29,1
ProductCD,9,1
card1,387,1
card2,43,1
card3,8,1
card4,0,1
card5,1,1
card6,6,1
addr1,42,1
addr2,0,1
dist1,5,1
dist2,0,1
P_emaildomain,27,1
R_emaildomain,14,1
C1,25,1
C2,5,1
C3,6,1
C4,2,1
C5,3,1
C6,11,1
C7,1,1
C8,6,1
C9,2,1
C10,2,1
C11,13,1
C12,9,1
C13,19,1
C14,33,1
D1,1,1
D2,22,1
D3,11,1
D4,6,1
D5,0,1
D6,0,1
D7,0,1
D8,9,1
D9,1,1
D10,3,1
D11,2,1
D12,1,1
D13,5,1
D14,0,1
D15,9,1
M1,0,1
M2,3,1
M3,3,1
M4,8,1
M5,10,1
M6,8,1
M7,0,1
M8,0,1
M9,0,1
V1,0,1
V2,0,1
V3,0,1
V4,0,1
V5,0,1
V6,0,1
V7,0,1
V8,0,1
V9,1,1
V10,0,1
V11,1,1
V12,0,1
V13,2,1
V14,0,1
V15,0,1
V16,0,1
V17,0,1
V18,0,1
V19,0,1
V20,0,1
V21,0,1
V22,0,1
V23,0,1
V24,0,1
V25,0,1
V26,2,1
V27,0,1
V28,0,1
V29,1,1
V30,0,1
V31,0,1
V32,0,1
V33,0,1
V34,0,1
V35,1,1
V36,0,1
V37,0,1
V38,1,1
V39,0,1
V40,1,1
V41,0,1
V42,0,1
V43,0,1
V44,0,1
V45,8,1
V46,0,1
V47,0,1
TransactionDT,17,2
TransactionAmt,34,2
ProductCD,8,2
card1,401,2
card2,43,2
card3,8,2
card4,0,2
card5,1,2
card6,4,2
addr1,42,2
addr2,0,2
dist1,4,2
dist2,0,2
P_emaildomain,27,2
R_emaildomain,17,2
C1,26,2
C2,5,2
C3,4,2
C4,2,2
C5,7,2
C6,9,2
C7,1,2
C8,3,2
C9,2,2
C10,3,2
C11,12,2
C12,5,2
C13,19,2
C14,28,2
D1,2,2
D2,21,2
D3,10,2
D4,7,2
D5,0,2
D6,0,2
D7,0,2
D8,10,2
D9,0,2
D10,1,2
D11,3,2
D12,1,2
D13,4,2
D14,0,2
D15,8,2
M1,0,2
M2,1,2
M3,3,2
M4,7,2
M5,10,2
M6,9,2
M7,0,2
M8,0,2
M9,0,2
V1,0,2
V2,0,2
V3,0,2
V4,0,2
V5,1,2
V6,0,2
V7,1,2
V8,0,2
V9,0,2
V10,0,2
V11,0,2
V12,0,2
V13,2,2
V14,0,2
V15,0,2
V16,0,2
V17,0,2
V18,0,2
V19,0,2
V20,0,2
V21,0,2
V22,0,2
V23,0,2
V24,0,2
V25,0,2
V26,1,2
V27,0,2
V28,0,2
V29,1,2
V30,0,2
V31,0,2
V32,0,2
V33,0,2
V34,0,2
V35,1,2
V36,0,2
V37,0,2
V38,0,2
V39,0,2
V40,0,2
V41,0,2
V42,0,2
V43,0,2
V44,1,2
V45,9,2
V46,0,2
V47,0,2
TransactionDT,13,3
TransactionAmt,34,3
ProductCD,8,3
card1,386,3
card2,53,3
card3,7,3
card4,0,3
card5,1,3
card6,6,3
addr1,54,3
addr2,0,3
dist1,2,3
dist2,0,3
P_emaildomain,27,3
R_emaildomain,13,3
C1,24,3
C2,3,3
C3,4,3
C4,1,3
C5,6,3
C6,10,3
C7,0,3
C8,3,3
C9,4,3
C10,4,3
C11,13,3
C12,7,3
C13,18,3
C14,28,3
D1,4,3
D2,21,3
D3,5,3
D4,8,3
D5,1,3
D6,0,3
D7,0,3
D8,9,3
D9,0,3
D10,0,3
D11,1,3
D12,1,3
D13,5,3
D14,0,3
D15,9,3
M1,0,3
M2,2,3
M3,3,3
M4,6,3
M5,13,3
M6,8,3
M7,0,3
M8,0,3
M9,1,3
V1,0,3
V2,0,3
V3,1,3
V4,0,3
V5,0,3
V6,1,3
V7,1,3
V8,0,3
V9,0,3
V10,0,3
V11,0,3
V12,0,3
V13,0,3
V14,0,3
V15,0,3
V16,0,3
V17,0,3
V18,0,3
V19,0,3
V20,1,3
V21,0,3
V22,0,3
V23,0,3
V24,0,3
V25,0,3
V26,0,3
V27,0,3
V28,0,3
V29,2,3
V30,1,3
V31,0,3
V32,0,3
V33,0,3
V34,0,3
V35,0,3
V36,0,3
V37,0,3
V38,0,3
V39,0,3
V40,0,3
V41,0,3
V42,0,3
V43,0,3
V44,0,3
V45,8,3
V46,0,3
V47,0,3
TransactionDT,18,4
TransactionAmt,31,4
ProductCD,9,4
card1,395,4
card2,42,4
card3,10,4
card4,0,4
card5,0,4
card6,6,4
addr1,57,4
addr2,0,4
dist1,7,4
dist2,0,4
P_emaildomain,26,4
R_emaildomain,16,4
C1,24,4
C2,3,4
C3,5,4
C4,1,4
C5,5,4
C6,9,4
C7,0,4
C8,4,4
C9,3,4
C10,2,4
C11,14,4
C12,5,4
C13,19,4
C14,24,4
D1,3,4
D2,19,4
D3,5,4
D4,12,4
D5,0,4
D6,0,4
D7,0,4
D8,8,4
D9,0,4
D10,2,4
D11,3,4
D12,3,4
D13,4,4
D14,0,4
D15,8,4
M1,0,4
M2,2,4
M3,5,4
M4,5,4
M5,10,4
M6,9,4
M7,0,4
M8,0,4
M9,0,4
V1,0,4
V2,0,4
V3,0,4
V4,0,4
V5,0,4
V6,0,4
V7,1,4
V8,0,4
V9,0,4
V10,0,4
V11,0,4
V12,0,4
V13,2,4
V14,0,4
V15,0,4
V16,0,4
V17,0,4
V18,0,4
V19,0,4
V20,0,4
V21,0,4
V22,0,4
V23,0,4
V24,0,4
V25,0,4
V26,0,4
V27,0,4
V28,0,4
V29,0,4
V30,1,4
V31,0,4
V32,0,4
V33,0,4
V34,0,4
V35,0,4
V36,0,4
V37,0,4
V38,1,4
V39,0,4
V40,0,4
V41,0,4
V42,0,4
V43,0,4
V44,1,4
V45,7,4
V46,0,4
V47,0,4
TransactionDT,16,5
TransactionAmt,31,5
ProductCD,8,5
card1,398,5
card2,46,5
card3,7,5
card4,0,5
card5,0,5
card6,4,5
addr1,42,5
addr2,0,5
dist1,3,5
dist2,0,5
P_emaildomain,25,5
R_emaildomain,17,5
C1,27,5
