feature,gain,Fold
TransactionAmt,36,1
ProductCD,10,1
card1,385,1
card2,50,1
card3,10,1
card4,0,1
card5,2,1
card6,6,1
addr1,54,1
addr2,0,1
dist1,2,1
P_emaildomain,27,1
R_emaildomain,16,1
C1,25,1
C2,4,1
C4,3,1
C5,4,1
C6,9,1
C7,0,1
C8,3,1
C9,2,1
C10,3,1
C11,13,1
C12,10,1
C13,23,1
C14,29,1
D1,1,1
D2,24,1
D3,10,1
D4,9,1
D5,0,1
D6,0,1
D8,9,1
D9,0,1
D10,5,1
D11,0,1
D12,2,1
D13,5,1
D14,0,1
D15,9,1
M2,3,1
M3,3,1
M4,4,1
M5,12,1
M6,7,1
M7,0,1
M8,0,1
M9,1,1
V3,0,1
V4,0,1
V5,0,1
V6,0,1
V7,0,1
V8,0,1
V9,0,1
V10,0,1
V11,0,1
V12,0,1
V13,1,1
V17,0,1
V19,1,1
V20,0,1
V29,2,1
V30,0,1
V33,0,1
V34,0,1
V35,1,1
V36,0,1
V37,0,1
V38,2,1
V40,0,1
V44,0,1
V45,10,1
V46,0,1
V47,0,1
V48,6,1
V49,0,1
V51,0,1
V52,0,1
V53,0,1
V54,4,1
V56,0,1
V58,0,1
V59,0,1
V60,0,1
V61,0,1
V62,8,1
V63,0,1
V64,0,1
V69,0,1
V70,3,1
V71,0,1
V72,0,1
V73,0,1
V74,0,1
V75,0,1
V76,1,1
V78,0,1
V80,0,1
V81,1,1
TransactionAmt,34,2
ProductCD,7,2
card1,396,2
card2,43,2
card3,10,2
card4,0,2
card5,1,2
card6,6,2
addr1,50,2
addr2,0,2
dist1,5,2
P_emaildomain,27,2
R_emaildomain,17,2
C1,28,2
C2,7,2
C4,1,2
C5,4,2
C6,12,2
C7,1,2
C8,3,2
C9,2,2
C10,1,2
C11,13,2
C12,5,2
C13,17,2
C14,26,2
D1,0,2
D2,22,2
D3,7,2
D4,6,2
D5,0,2
D6,1,2
D8,9,2
D9,0,2
D10,2,2
D11,4,2
D12,2,2
D13,5,2
D14,0,2
D15,9,2
M2,1,2
M3,3,2
M4,7,2
M5,13,2
M6,10,2
M7,0,2
M8,0,2
