feature,gain,Fold
TransactionDT,14,1
TransactionAmt,30,1
ProductCD,10,1
card1,369,1
card2,49,1
card3,10,1
card4,0,1
card5,0,1
card6,7,1
addr1,48,1
addr2,0,1
dist1,2,1
dist2,1,1
P_emaildomain,27,1
R_emaildomain,15,1
C1,24,1
C2,4,1
C3,7,1
C4,1,1
C5,3,1
C6,11,1
C7,0,1
C8,4,1
C9,3,1
C10,3,1
C11,13,1
C12,11,1
C13,16,1
C14,35,1
D1,3,1
D2,22,1
D3,10,1
D4,6,1
D5,0,1
D6,0,1
D7,0,1
D8,9,1
D9,0,1
D10,1,1
D11,3,1
D12,1,1
D13,4,1
D14,0,1
D15,9,1
M1,0,1
M2,3,1
M3,3,1
M4,4,1
M5,10,1
M6,9,1
M7,0,1
M8,0,1
M9,1,1
V1,0,1
V2,0,1
V3,0,1
V4,0,1
V5,0,1
V6,0,1
V7,1,1
V8,0,1
V9,0,1
V10,1,1
V11,0,1
V12,0,1
V13,0,1
V14,0,1
V15,0,1
V16,0,1
V17,0,1
V18,0,1
V19,1,1
V20,0,1
V21,0,1
V22,0,1
V23,0,1
V24,0,1
V25,0,1
V26,0,1
V27,0,1
V28,0,1
V29,1,1
V30,0,1
V31,0,1
V32,0,1
V33,0,1
V34,0,1
V35,0,1
V36,0,1
V37,0,1
V38,2,1
V39,0,1
V40,0,1
V41,0,1
V42,0,1
V43,0,1
V44,0,1
V45,8,1
V46,0,1
V47,0,1
V48,6,1
V49,0,1
V50,0,1
V51,0,1
V52,0,1
V53,1,1
V54,3,1
V55,7,1
V56,0,1
V57,0,1
V58,0,1
V59,0,1
V60,0,1
V61,0,1
V62,8,1
V63,0,1
V64,0,1
V65,0,1
V66,0,1
V67,0,1
V68,0,1
V69,0,1
V70,3,1
V71,0,1
V72,0,1
V73,0,1
V74,0,1
V75,1,1
V76,2,1
V77,0,1
V78,1,1
V79,0,1
V80,0,1
V81,0,1
V82,4,1
V83,5,1
V84,0,1
V85,0,1
V86,0,1
V87,5,1
V88,0,1
V89,0,1
V90,0,1
V91,4,1
V92,0,1
V93,0,1
V94,0,1
V95,0,1
V96,0,1
V97,0,1
V98,0,1
V99,0,1
V100,0,1
V101,0,1
V102,1,1
V103,0,1
V104,0,1
V105,0,1
V106,0,1
V107,0,1
V108,0,1
V109,0,1
V110,0,1
V111,0,1
V112,0,1
V113,0,1
V114,0,1
V115,1,1
V116,0,1
V117,0,1
V118,0,1
V119,0,1
V120,0,1
V121,0,1
V122,0,1
V123,0,1
V124,0,1
V125,0,1
V126,0,1
V127,3,1
V128,1,1
V129,2,1
V130,1,1
V131,0,1
V132,0,1
V133,2,1
V134,0,1
V135,0,1
V136,0,1
V137,0,1
V138,0,1
V139,2,1
V140,0,1
V141,0,1
V142,0,1
V143,2,1
V144,0,1
