feature,gain,fold
TransactionDT,85001,1
TransactionAmt,77430,1
ProductCD,602,1
card1,32983,1
card2,21984,1
card3,1068,1
card4,310,1
card5,6985,1
card6,481,1
addr1,25246,1
addr2,15,1
dist1,27523,1
dist2,9324,1
P_emaildomain,8343,1
R_emaildomain,2559,1
C1,18789,1
C2,16135,1
C3,325,1
C4,2940,1
C5,4662,1
C6,12594,1
C7,1950,1
C8,4936,1
C9,8585,1
C10,4608,1
C11,12208,1
C12,5022,1
C13,28735,1
C14,14610,1
D1,22414,1
D2,24679,1
D3,16296,1
D4,29594,1
D5,16203,1
D6,6384,1
D7,2869,1
D8,16234,1
D9,9144,1
D10,24854,1
D11,21608,1
D12,5945,1
D13,3193,1
D14,6694,1
D15,36108,1
M1,1112,1
M2,4695,1
M3,6094,1
M4,9494,1
M5,10751,1
M6,9998,1
M7,5563,1
M8,7203,1
M9,6479,1
V1,111,1
V2,1240,1
V3,2138,1
V4,3379,1
V5,4171,1
V6,1247,1
V7,1846,1
V8,863,1
V9,946,1
V10,2706,1
V11,2789,1
V12,4126,1
V13,3976,1
V14,29,1
V15,455,1
V16,439,1
V17,340,1
V18,339,1
V19,2775,1
V20,3611,1
V21,214,1
V22,235,1
V23,1269,1
V24,1825,1
V25,1097,1
V26,1032,1
V27,10,1
V28,9,1
V29,2002,1
V30,1942,1
V31,322,1
V32,314,1
V33,771,1
V34,910,1
V35,5191,1
V36,5104,1
V37,3258,1
V38,4632,1
V39,1550,1
V40,1849,1
V41,67,1
V42,1078,1
V43,1478,1
V44,4229,1
V45,5134,1
V46,957,1
V47,1763,1
V48,2946,1
V49,2879,1
V50,633,1
V51,1645,1
V52,2128,1
V53,4152,1
V54,4369,1
V55,1975,1
V56,2681,1
V57,723,1
V58,951,1
V59,734,1
V60,932,1
V61,3413,1
V62,4202,1
V63,682,1
V64,990,1
V65,30,1
V66,1731,1
V67,2286,1
V68,9,1
V69,1989,1
V70,2113,1
V71,482,1
V72,729,1
V73,1008,1
V74,1576,1
V75,4951,1
V76,5342,1
V77,2924,1
V78,4055,1
V79,1071,1
V80,859,1
V81,1288,1
V82,4076,1
V83,5024,1
V84,500,1
V85,983,1
V86,3140,1
V87,5017,1
V88,18,1
V89,10,1
V90,2494,1
V91,2523,1
V92,589,1
V93,772,1
V94,1001,1
V95,668,1
V96,3131,1
V97,1203,1
V98,290,1
V99,2421,1
V100,676,1
V101,288,1
V102,1102,1
V103,411,1
V104,129,1
V105,585,1
V106,203,1
V107,0,1
V108,95,1
V109,213,1
V110,46,1
V111,85,1
V112,89,1
V113,20,1
V114,43,1
V115,337,1
V116,95,1
V117,2,1
V118,37,1
V119,0,1
V120,3,1
V121,38,1
V122,13,1
V123,319,1
V124,1022,1
V125,429,1
V126,3075,1
V127,8656,1
V128,5338,1
V129,1781,1
V130,7760,1
V131,4249,1
V132,1205,1
V133,2854,1
V134,1495,1
V135,893,1
V136,2041,1
V137,1153,1
V138,48,1
V139,1401,1
V140,1110,1
V141,81,1
V142,111,1
V143,824,1
V144,448,1
V145,795,1
V146,298,1
V147,394,1
V148,539,1
V149,1194,1
V150,856,1
V151,436,1
V152,930,1
V153,332,1
V154,412,1
V155,378,1
V156,722,1
V157,369,1
V158,452,1
V159,574,1
V160,1080,1
V161,246,1
V162,246,1
V163,247,1
V164,1116,1
V165,1816,1
V166,802,1
V167,462,1
V168,668,1
V169,502,1
V170,961,1
V171,955,1
V172,155,1
V173,90,1
V174,275,1
V175,261,1
V176,489,1
V177,265,1
V178,531,1
V179,413,1
V180,383,1
V181,160,1
V182,386,1
V183,246,1
V184,270,1
V185,235,1
V186,311,1
V187,1042,1
V188,573,1
V189,839,1
V190,413,1
V191,76,1
V192,207,1
V193,119,1
V194,151,1
V195,121,1
V196,60,1
V197,144,1
V198,169,1
V199,482,1
V200,699,1
V201,911,1
V202,1726,1
V203,3130,1
V204,2289,1
V205,559,1
V206,436,1
V207,1085,1
V208,1176,1
V209,1305,1
V210,1170,1
V211,862,1
V212,1266,1
V213,1052,1
V214,707,1
V215,1096,1
V216,935,1
V217,925,1
V218,1826,1
V219,1065,1
V220,614,1
V221,2260,1
V222,2060,1
V223,372,1
V224,765,1
V225,356,1
V226,237,1
V227,285,1
V228,690,1
V229,1477,1
V230,908,1
V231,576,1
V232,1007,1
V233,766,1
V234,838,1
V235,309,1
V236,535,1
V237,399,1
V238,344,1
V239,463,1
V240,7,1
V241,1,1
V242,527,1
V243,919,1
V244,631,1
V245,1621,1
V246,660,1
V247,127,1
V248,520,1
V249,255,1
V250,741,1
V251,940,1
V252,87,1
V253,410,1
V254,246,1
V255,566,1
V256,936,1
V257,1189,1
V258,1553,1
V259,1305,1
V260,826,1
V261,1616,1
V262,1073,1
V263,2895,1
V264,4674,1
V265,3515,1
V266,1167,1
V267,1932,1
V268,1182,1
V269,31,1
V270,1012,1
V271,1218,1
V272,974,1
V273,1424,1
V274,2331,1
V275,1573,1
V276,1126,1
V277,1689,1
V278,1279,1
V279,1297,1
V280,2384,1
V281,1972,1
V282,4517,1
V283,5050,1
V284,440,1
V285,4035,1
V286,419,1
V287,1024,1
V288,1200,1
V289,1621,1
V290,564,1
V291,2552,1
V292,1153,1
V293,713,1
V294,2334,1
V295,917,1
V296,1350,1
V297,183,1
V298,823,1
V299,355,1
V300,565,1
V301,636,1
V302,95,1
V303,424,1
V304,221,1
V305,0,1
V306,4776,1
V307,13764,1
V308,8215,1
V309,2716,1
V310,11260,1
V311,1509,1
V312,6162,1
V313,9665,1
V314,8249,1
V315,8620,1
V316,2058,1
V317,5295,1
V318,2868,1
V319,797,1
V320,2615,1
V321,1417,1
V322,273,1
V323,753,1
V324,451,1
V325,19,1
V326,247,1
V327,111,1
V328,84,1
V329,226,1
V330,119,1
V331,510,1
V332,1059,1
V333,656,1
V334,79,1
V335,403,1
V336,248,1
V337,226,1
V338,423,1
V339,261,1
id_01,5758,1
id_02,23047,1
id_03,1514,1
id_04,621,1
id_05,7255,1
id_06,9206,1
id_07,370,1
id_08,353,1
id_09,1839,1
id_10,577,1
id_11,602,1
id_12,398,1
id_13,2071,1
id_14,211,1
id_15,2312,1
id_16,2113,1
id_17,98,1
id_18,230,1
id_19,7843,1
id_20,9109,1
id_21,67,1
id_22,0,1
id_23,72,1
id_24,0,1
id_25,129,1
id_26,23,1
id_27,17,1
id_28,962,1
id_29,808,1
id_30,3388,1
id_31,8640,1
id_32,8,1
id_33,2866,1
id_34,820,1
id_35,151,1
id_36,222,1
id_37,1289,1
id_38,2784,1
DeviceType,2382,1
DeviceInfo,6543,1
f103__TransactionAmt_decimal,27525,1
f103__card1_count_full,64169,1
f103__Transaction_day_of_week,27374,1
f103__Transaction_hour,41425,1
f103__id_02__id_20,16181,1
f103__id_02__D8,14220,1
f103__D11__DeviceInfo,18780,1
f103__DeviceInfo__P_emaildomain,23907,1
f103__P_emaildomain__C2,32535,1
f103__card2__dist1,45898,1
f103__card1__card5,54463,1
f103__card2__id_20,40657,1
f103__card5__P_emaildomain,38937,1
f103__addr1__card1,58745,1
id_34_count_full,504,1
id_36_count_full,107,1
id_01_count_dist,5025,1
id_31_count_dist,14019,1
id_33_count_dist,5802,1
id_35_count_dist,84,1
id_36_count_dist,104,1
f201__DeviceInfo_CE,13441,1
f201__DeviceType_CE,1295,1
f201__M1_CE,162,1
f201__M2_CE,2814,1
f201__M3_CE,4291,1
f201__M4_CE,9403,1
f201__M5_CE,8077,1
f201__M6_CE,7451,1
f201__M7_CE,3708,1
f201__M8_CE,5102,1
f201__M9_CE,4180,1
f201__P_emaildomain_CE,25310,1
f201__ProductCD_CE,1897,1
f201__R_emaildomain_CE,9849,1
f201__addr1_CE,41955,1
f201__addr2_CE,564,1
f201__card4_CE,5421,1
f201__card6_CE,4664,1
f201__id_01_CE,5720,1
f201__id_03_CE,1793,1
f201__id_04_CE,517,1
f201__id_05_CE,7965,1
f201__id_06_CE,9031,1
f201__id_07_CE,223,1
f201__id_08_CE,159,1
f201__id_09_CE,1711,1
f201__id_10_CE,544,1
f201__id_11_CE,653,1
f201__id_12_CE,154,1
f201__id_13_CE,9183,1
f201__id_14_CE,3002,1
f201__id_15_CE,1130,1
f201__id_16_CE,1331,1
f201__id_17_CE,848,1
f201__id_18_CE,3709,1
f201__id_19_CE,14456,1
f201__id_20_CE,14320,1
f201__id_21_CE,298,1
f201__id_22_CE,16,1
f201__id_23_CE,50,1
f201__id_24_CE,135,1
f201__id_25_CE,199,1
f201__id_26_CE,148,1
f201__id_27_CE,6,1
f201__id_28_CE,418,1
f201__id_29_CE,327,1
f201__id_30_CE,5463,1
f201__id_31_CE,12812,1
f201__id_32_CE,608,1
f201__id_33_CE,4876,1
f201__id_34_CE,361,1
f201__id_35_CE,67,1
f201__id_36_CE,59,1
f201__id_37_CE,692,1
f201__id_38_CE,1659,1
TransactionDT,90855,2
TransactionAmt,84416,2
ProductCD,610,2
card1,35172,2
card2,23446,2
card3,1023,2
card4,302,2
card5,7551,2
card6,483,2
addr1,26917,2
addr2,24,2
dist1,29711,2
dist2,9452,2
P_emaildomain,8879,2
R_emaildomain,2678,2
C1,19863,2
C2,17073,2
C3,317,2
C4,2971,2
C5,4823,2
C6,12421,2
C7,2045,2
C8,4823,2
C9,8936,2
C10,4816,2
C11,12607,2
C12,5199,2
C13,30440,2
C14,15063,2
D1,22910,2
D2,25332,2
D3,17105,2
D4,31071,2
D5,18033,2
D6,6438,2
D7,3323,2
D8,16861,2
D9,9119,2
D10,26103,2
D11,22953,2
D12,6318,2
D13,3352,2
D14,6574,2
D15,37854,2
M1,1157,2
M2,4827,2
M3,6466,2
M4,9851,2
M5,11603,2
M6,10571,2
M7,6243,2
M8,7594,2
M9,6911,2
V1,114,2
V2,1444,2
V3,2321,2
V4,3538,2
V5,4599,2
V6,1428,2
V7,1821,2
V8,780,2
V9,1017,2
V10,2927,2
V11,2934,2
V12,4102,2
V13,4259,2
V14,35,2
V15,428,2
V16,377,2
V17,346,2
V18,357,2
V19,3066,2
V20,3754,2
V21,189,2
V22,234,2
V23,1437,2
V24,1938,2
V25,1178,2
V26,1032,2
V27,11,2
V28,9,2
V29,2153,2
V30,2060,2
V31,301,2
V32,330,2
V33,674,2
V34,925,2
V35,5238,2
V36,5565,2
V37,3385,2
V38,4672,2
V39,1727,2
V40,1926,2
V41,73,2
V42,1172,2
V43,1660,2
V44,4228,2
V45,5336,2
V46,942,2
V47,1759,2
V48,3055,2
V49,3107,2
V50,666,2
V51,1771,2
V52,2264,2
V53,4414,2
V54,4510,2
V55,1929,2
V56,2789,2
V57,777,2
V58,971,2
V59,801,2
V60,1002,2
V61,3728,2
V62,4378,2
V63,701,2
V64,1089,2
V65,30,2
V66,1647,2
V67,2397,2
V68,7,2
V69,2119,2
V70,2276,2
V71,527,2
V72,776,2
V73,1069,2
V74,1685,2
V75,5166,2
V76,5451,2
V77,2987,2
V78,4009,2
V79,1047,2
V80,834,2
V81,1290,2
V82,4289,2
V83,5212,2
V84,600,2
V85,975,2
V86,3341,2
V87,5068,2
V88,30,2
V89,11,2
V90,2465,2
V91,2794,2
V92,537,2
V93,773,2
V94,979,2
V95,724,2
V96,3287,2
V97,1208,2
V98,296,2
V99,2477,2
V100,707,2
V101,330,2
V102,1100,2
V103,444,2
V104,146,2
V105,599,2
V106,229,2
V107,0,2
V108,98,2
V109,236,2
V110,44,2
V111,25,2
V112,90,2
V113,11,2
V114,47,2
V115,355,2
V116,90,2
V117,4,2
V118,20,2
V119,2,2
V120,15,2
V121,66,2
V122,74,2
V123,324,2
V124,1142,2
V125,408,2
V126,3160,2
V127,9116,2
V128,5130,2
V129,1819,2
V130,8361,2
V131,4386,2
V132,1328,2
V133,2943,2
V134,1645,2
V135,865,2
V136,2124,2
V137,1187,2
V138,45,2
V139,1316,2
V140,1075,2
V141,86,2
V142,106,2
V143,908,2
V144,435,2
V145,767,2
V146,349,2
V147,375,2
V148,458,2
V149,1177,2
V150,728,2
V151,433,2
V152,769,2
V153,276,2
V154,408,2
V155,307,2
V156,821,2
V157,375,2
V158,417,2
V159,526,2
V160,1097,2
V161,251,2
V162,274,2
V163,205,2
V164,1037,2
V165,1752,2
V166,713,2
V167,438,2
V168,690,2
V169,502,2
V170,944,2
V171,930,2
V172,129,2
V173,70,2
V174,266,2
V175,273,2
V176,480,2
V177,290,2
V178,578,2
V179,389,2
V180,459,2
V181,157,2
V182,417,2
V183,306,2
V184,252,2
V185,303,2
V186,297,2
V187,997,2
V188,556,2
V189,848,2
V190,385,2
V191,72,2
V192,233,2
V193,145,2
V194,166,2
V195,162,2
V196,51,2
V197,180,2
V198,309,2
V199,486,2
V200,778,2
V201,842,2
V202,1723,2
V203,3129,2
V204,2097,2
