feature,gain,fold
TransactionAmt,16539,1
ProductCD,687,1
card1,17859,1
card2,14770,1
card3,492,1
card4,602,1
card5,3914,1
card6,845,1
addr1,14824,1
addr2,251,1
dist1,8403,1
P_emaildomain,4007,1
R_emaildomain,1938,1
C1,2952,1
C2,2683,1
C4,441,1
C5,1181,1
C6,2486,1
C7,178,1
C8,541,1
C9,1788,1
C10,522,1
C11,2151,1
C12,441,1
C13,5797,1
C14,2541,1
D1,5746,1
D2,7027,1
D3,5260,1
D4,8334,1
D5,4884,1
D6,1009,1
D8,4012,1
D9,2836,1
D10,8014,1
D11,3458,1
D12,703,1
D13,381,1
D14,836,1
D15,8428,1
M2,453,1
M3,956,1
M4,1405,1
M5,1297,1
M6,1527,1
M7,317,1
M8,384,1
M9,367,1
V3,144,1
V4,332,1
V5,477,1
V6,76,1
V7,223,1
V8,10,1
V9,63,1
V10,266,1
V11,273,1
V12,349,1
V13,719,1
V17,95,1
V19,615,1
V20,735,1
V29,248,1
V30,395,1
V33,102,1
V34,118,1
V35,595,1
V36,594,1
V37,506,1
V38,699,1
V40,218,1
V44,361,1
V45,631,1
V46,49,1
V47,372,1
V48,450,1
V49,384,1
V51,163,1
V52,205,1
V53,612,1
V54,622,1
V56,313,1
V58,184,1
V59,53,1
V60,83,1
V61,389,1
V62,739,1
V63,73,1
V64,109,1
V69,301,1
V70,314,1
V71,51,1
V72,105,1
V73,79,1
V74,255,1
V75,777,1
V76,950,1
V78,679,1
V80,117,1
V81,171,1
V82,590,1
V83,946,1
V84,61,1
V85,130,1
V87,887,1
V90,428,1
V91,420,1
V92,80,1
V93,85,1
V94,68,1
V95,63,1
V96,597,1
V97,139,1
V99,450,1
V100,72,1
V126,564,1
V127,1762,1
V128,763,1
V130,1678,1
V131,559,1
V138,6,1
V139,402,1
V140,239,1
V143,687,1
V145,580,1
V146,69,1
V147,72,1
V149,265,1
V150,606,1
V151,303,1
V152,194,1
V154,53,1
V156,279,1
V158,49,1
V159,550,1
V160,510,1
V161,33,1
V162,18,1
V163,37,1
V164,623,1
V165,737,1
V166,744,1
V167,85,1
V169,92,1
V170,146,1
V171,168,1
V172,53,1
V173,23,1
V175,55,1
V176,49,1
V177,38,1
V178,64,1
V180,76,1
V182,52,1
V184,34,1
V187,69,1
V188,47,1
V189,117,1
V195,20,1
V197,39,1
V200,55,1
V201,84,1
V202,203,1
V203,457,1
V204,293,1
V205,138,1
V206,113,1
V207,202,1
V208,156,1
V209,159,1
V210,138,1
V212,177,1
V213,123,1
V214,176,1
V215,185,1
V216,133,1
V217,119,1
V219,106,1
V220,41,1
V221,402,1
V222,294,1
V223,78,1
V224,158,1
V225,65,1
V226,41,1
V227,31,1
V228,44,1
V229,114,1
V231,29,1
V233,52,1
V234,133,1
V238,59,1
V239,51,1
V242,41,1
V243,85,1
V244,50,1
V245,325,1
V246,34,1
V247,35,1
V249,53,1
V251,124,1
V253,81,1
V256,121,1
V257,72,1
V258,262,1
V259,242,1
V261,203,1
V262,112,1
V263,295,1
V264,616,1
V265,383,1
V266,151,1
V267,285,1
V268,157,1
V270,177,1
V271,168,1
V272,122,1
V273,123,1
V274,248,1
V275,135,1
V276,165,1
V277,174,1
V278,132,1
V279,210,1
V280,246,1
V282,521,1
V283,616,1
V285,924,1
V287,158,1
V288,40,1
V289,258,1
V291,491,1
V292,132,1
V294,712,1
V303,33,1
V304,85,1
V306,834,1
V307,2973,1
V308,1271,1
V310,2972,1
V312,1213,1
V313,1536,1
V314,1522,1
V315,1318,1
V317,1155,1
V322,34,1
V323,174,1
V324,55,1
V326,73,1
V329,71,1
V331,115,1
V332,216,1
V333,169,1
V335,76,1
V336,48,1
V338,106,1
id_01,1449,1
id_02,6855,1
id_03,198,1
id_05,2159,1
id_06,2332,1
id_09,529,1
id_11,321,1
id_12,23,1
id_13,1907,1
id_14,1104,1
id_15,214,1
id_17,253,1
id_19,5836,1
id_20,4748,1
id_30,1638,1
id_31,2499,1
id_32,370,1
id_33,1706,1
id_36,31,1
id_37,97,1
id_38,477,1
DeviceType,273,1
DeviceInfo,1511,1
f103__TransactionAmt_decimal,5772,1
f103__card1_count_full,17753,1
f103__Transaction_day_of_week,6150,1
f103__Transaction_hour,11361,1
f103__id_02__id_20,4715,1
f103__id_02__D8,3049,1
f103__D11__DeviceInfo,3055,1
f103__DeviceInfo__P_emaildomain,6051,1
f103__P_emaildomain__C2,9709,1
f103__card2__dist1,11993,1
f103__card1__card5,16470,1
f103__card2__id_20,10013,1
f103__card5__P_emaildomain,9381,1
f103__addr1__card1,17342,1
id_34_count_full,217,1
id_36_count_full,44,1
id_01_count_dist,918,1
id_31_count_dist,3891,1
id_33_count_dist,3264,1
id_35_count_dist,12,1
id_36_count_dist,21,1
TransactionAmt,13557,2
ProductCD,779,2
card1,13493,2
card2,12660,2
card3,529,2
card4,923,2
card5,3867,2
card6,937,2
addr1,11542,2
addr2,184,2
dist1,6409,2
P_emaildomain,3545,2
R_emaildomain,2067,2
C1,3180,2
C2,2761,2
C4,444,2
C5,926,2
C6,2321,2
C7,217,2
C8,531,2
C9,1830,2
C10,657,2
C11,2106,2
C12,474,2
C13,5254,2
C14,2378,2
D1,5023,2
D2,5902,2
D3,3407,2
D4,7094,2
D5,3472,2
D6,829,2
D8,3209,2
D9,2137,2
D10,6550,2
D11,2653,2
D12,720,2
D13,464,2
D14,931,2
D15,7032,2
M2,447,2
M3,954,2
M4,1218,2
M5,1204,2
M6,1499,2
M7,347,2
M8,403,2
M9,395,2
V3,141,2
V4,348,2
V5,411,2
V6,93,2
V7,261,2
V8,26,2
V9,53,2
V10,142,2
V11,176,2
V12,502,2
V13,695,2
V17,59,2
V19,531,2
V20,656,2
V29,193,2
V30,313,2
V33,76,2
V34,100,2
V35,661,2
V36,764,2
V37,451,2
V38,586,2
V40,172,2
V44,540,2
V45,629,2
V46,87,2
V47,278,2
V48,370,2
V49,316,2
V51,114,2
V52,199,2
V53,609,2
V54,729,2
V56,438,2
V58,104,2
V59,75,2
V60,78,2
V61,533,2
V62,854,2
V63,109,2
V64,171,2
V69,273,2
V70,342,2
V71,65,2
V72,49,2
V73,87,2
V74,193,2
V75,743,2
V76,881,2
V78,745,2
V80,77,2
V81,129,2
V82,619,2
V83,872,2
V84,48,2
V85,113,2
V87,740,2
V90,358,2
V91,354,2
V92,95,2
V93,105,2
V94,44,2
V95,78,2
V96,546,2
V97,133,2
V99,426,2
V100,93,2
V126,524,2
V127,1452,2
V128,635,2
V130,1595,2
V131,762,2
V138,9,2
V139,241,2
V140,189,2
V143,411,2
V145,254,2
V146,39,2
V147,64,2
V149,243,2
V150,246,2
V151,131,2
V152,245,2
V154,60,2
V156,223,2
V158,57,2
V159,208,2
V160,315,2
V161,134,2
V162,103,2
V163,87,2
V164,344,2
V165,468,2
V166,290,2
V167,61,2
V169,52,2
V170,138,2
V171,152,2
V172,49,2
V173,44,2
V175,28,2
V176,45,2
V177,31,2
V178,95,2
V180,73,2
V182,56,2
V184,44,2
V187,127,2
V188,63,2
V189,121,2
V195,9,2
V197,38,2
V200,75,2
V201,66,2
V202,174,2
V203,279,2
V204,249,2
V205,121,2
V206,97,2
V207,153,2
V208,171,2
V209,174,2
V210,128,2
V212,124,2
V213,104,2
V214,124,2
V215,183,2
V216,110,2
V217,100,2
V219,119,2
V220,87,2
V221,299,2
V222,279,2
V223,75,2
V224,178,2
V225,65,2
V226,79,2
V227,42,2
V228,73,2
V229,170,2
V231,35,2
V233,73,2
V234,214,2
V238,47,2
V239,55,2
V242,33,2
V243,116,2
V244,44,2
V245,269,2
V246,30,2
V247,19,2
V249,41,2
V251,139,2
V253,82,2
V256,128,2
V257,75,2
V258,301,2
V259,163,2
V261,240,2
V262,183,2
V263,283,2
V264,582,2
V265,414,2
V266,214,2
V267,306,2
V268,153,2
V270,196,2
V271,197,2
V272,201,2
V273,128,2
V274,326,2
V275,192,2
V276,125,2
V277,226,2
V278,145,2
V279,178,2
V280,261,2
V282,644,2
V283,719,2
V285,713,2
V287,141,2
V288,68,2
V289,225,2
V291,429,2
V292,135,2
V294,586,2
V303,47,2
V304,40,2
V306,861,2
V307,2285,2
V308,1156,2
V310,2288,2
V312,1140,2
V313,2139,2
V314,1336,2
V315,1394,2
V317,1086,2
V322,34,2
V323,207,2
V324,100,2
V326,66,2
V329,59,2
V331,84,2
V332,241,2
V333,156,2
V335,115,2
V336,68,2
V338,90,2
id_01,1191,2
id_02,5176,2
id_03,333,2
id_05,1691,2
id_06,2063,2
id_09,455,2
id_11,220,2
id_12,30,2
id_13,1425,2
id_14,920,2
id_15,241,2
id_17,365,2
id_19,3990,2
id_20,3816,2
id_30,1393,2
id_31,2062,2
id_32,363,2
id_33,1220,2
id_36,59,2
id_37,219,2
id_38,459,2
DeviceType,305,2
DeviceInfo,1505,2
f103__TransactionAmt_decimal,4767,2
f103__card1_count_full,15376,2
f103__Transaction_day_of_week,5159,2
f103__Transaction_hour,7970,2
f103__id_02__id_20,2838,2
f103__id_02__D8,2136,2
f103__D11__DeviceInfo,2645,2
f103__DeviceInfo__P_emaildomain,4819,2
f103__P_emaildomain__C2,7832,2
f103__card2__dist1,9616,2
f103__card1__card5,13214,2
f103__card2__id_20,7437,2
f103__card5__P_emaildomain,8177,2
f103__addr1__card1,13938,2
id_34_count_full,170,2
id_36_count_full,38,2
id_01_count_dist,871,2
id_31_count_dist,3029,2
id_33_count_dist,2385,2
id_35_count_dist,10,2
id_36_count_dist,26,2
TransactionAmt,18635,3
ProductCD,1153,3
card1,19573,3
card2,18414,3
card3,907,3
card4,1682,3
card5,5757,3
card6,1158,3
addr1,16544,3
addr2,247,3
dist1,9732,3
P_emaildomain,5535,3
R_emaildomain,3166,3
C1,4827,3
C2,4377,3
C4,695,3
C5,1631,3
C6,3579,3
C7,378,3
C8,829,3
C9,2881,3
C10,985,3
C11,3258,3
C12,833,3
C13,8052,3
C14,3885,3
D1,7442,3
D2,8501,3
D3,4353,3
D4,10096,3
D5,4807,3
D6,1578,3
D8,4770,3
D9,2655,3
D10,9409,3
D11,3761,3
D12,1323,3
D13,782,3
D14,1531,3
D15,11105,3
M2,645,3
M3,1221,3
M4,2040,3
M5,2021,3
M6,2374,3
M7,649,3
M8,641,3
M9,817,3
V3,297,3
V4,480,3
V5,699,3
V6,171,3
V7,330,3
V8,70,3
V9,86,3
V10,255,3
V11,277,3
V12,862,3
V13,1053,3
V17,108,3
V19,883,3
V20,1041,3
V29,351,3
V30,470,3
V33,149,3
V34,213,3
V35,1137,3
V36,1159,3
V37,775,3
V38,1145,3
V40,312,3
V44,765,3
V45,1180,3
V46,166,3
V47,519,3
V48,609,3
V49,570,3
V51,236,3
V52,375,3
V53,1057,3
V54,1202,3
V56,674,3
V58,236,3
V59,115,3
V60,167,3
V61,1111,3
V62,1579,3
V63,156,3
V64,213,3
V69,428,3
V70,537,3
V71,90,3
V72,140,3
V73,187,3
V74,385,3
V75,1194,3
V76,1363,3
V78,1284,3
V80,131,3
V81,174,3
V82,1287,3
V83,1554,3
V84,68,3
V85,159,3
V87,1406,3
V90,530,3
V91,608,3
V92,119,3
V93,190,3
V94,108,3
V95,135,3
V96,674,3
V97,190,3
V99,692,3
V100,129,3
V126,846,3
V127,2227,3
V128,1020,3
V130,2178,3
V131,1163,3
V138,16,3
V139,400,3
V140,273,3
V143,434,3
V145,343,3
V146,58,3
V147,87,3
V149,326,3
V150,317,3
V151,196,3
V152,369,3
V154,140,3
V156,297,3
V158,110,3
V159,336,3
V160,574,3
V161,177,3
V162,136,3
V163,125,3
V164,486,3
V165,743,3
V166,400,3
V167,72,3
V169,70,3
V170,204,3
V171,194,3
V172,60,3
V173,71,3
V175,50,3
V176,90,3
V177,72,3
V178,127,3
V180,112,3
V182,74,3
V184,73,3
V187,257,3
V188,122,3
V189,241,3
V195,21,3
V197,33,3
V200,184,3
V201,172,3
V202,273,3
V203,574,3
V204,358,3
V205,221,3
V206,186,3
V207,293,3
V208,246,3
V209,248,3
V210,225,3
V212,213,3
V213,158,3
V214,186,3
V215,287,3
V216,217,3
V217,149,3
V219,203,3
V220,90,3
V221,541,3
V222,494,3
V223,118,3
V224,228,3
V225,117,3
V226,168,3
V227,85,3
V228,90,3
V229,279,3
V231,93,3
V233,155,3
V234,292,3
V238,77,3
V239,109,3
V242,47,3
V243,155,3
V244,87,3
V245,298,3
V246,72,3
V247,33,3
V249,37,3
V251,297,3
V253,144,3
V256,208,3
V257,212,3
V258,437,3
V259,243,3
V261,498,3
V262,240,3
V263,472,3
V264,876,3
V265,667,3
V266,329,3
V267,542,3
V268,334,3
V270,334,3
V271,421,3
V272,287,3
V273,239,3
V274,461,3
V275,368,3
V276,280,3
V277,489,3
V278,392,3
V279,321,3
V280,366,3
V282,1114,3
V283,1260,3
V285,1105,3
V287,237,3
V288,138,3
V289,343,3
V291,719,3
V292,240,3
V294,845,3
V303,57,3
V304,45,3
V306,1227,3
V307,3422,3
V308,1636,3
V310,3611,3
V312,1721,3
V313,3193,3
V314,2264,3
V315,2608,3
V317,1549,3
V322,66,3
V323,298,3
V324,118,3
V326,102,3
V329,96,3
V331,144,3
V332,320,3
V333,217,3
V335,149,3
V336,146,3
V338,134,3
id_01,2031,3
id_02,6524,3
id_03,504,3
id_05,2761,3
id_06,2779,3
id_09,638,3
id_11,385,3
id_12,52,3
id_13,2552,3
id_14,1244,3
id_15,332,3
id_17,683,3
id_19,5735,3
id_20,5471,3
id_30,1826,3
id_31,3254,3
id_32,338,3
id_33,1843,3
id_36,133,3
id_37,277,3
id_38,945,3
DeviceType,518,3
DeviceInfo,2551,3
f103__TransactionAmt_decimal,6973,3
f103__card1_count_full,21472,3
f103__Transaction_day_of_week,7222,3
f103__Transaction_hour,10848,3
f103__id_02__id_20,3660,3
f103__id_02__D8,2264,3
f103__D11__DeviceInfo,3666,3
f103__DeviceInfo__P_emaildomain,7113,3
f103__P_emaildomain__C2,11344,3
f103__card2__dist1,13635,3
f103__card1__card5,18804,3
f103__card2__id_20,10713,3
f103__card5__P_emaildomain,11561,3
f103__addr1__card1,21137,3
id_34_count_full,294,3
id_36_count_full,97,3
id_01_count_dist,1393,3
id_31_count_dist,4875,3
id_33_count_dist,3163,3
id_35_count_dist,19,3
id_36_count_dist,63,3
TransactionAmt,19271,4
ProductCD,1119,4
card1,21023,4
card2,19144,4
card3,1329,4
card4,2014,4
card5,6353,4
card6,1267,4
addr1,17541,4
addr2,261,4
dist1,10176,4
P_emaildomain,5770,4
R_emaildomain,3420,4
C1,5513,4
C2,4910,4
C4,805,4
C5,1854,4
C6,4124,4
C7,408,4
C8,926,4
C9,3252,4
C10,1178,4
C11,3815,4
C12,1189,4
C13,8818,4
C14,4553,4
D1,8707,4
D2,8956,4
D3,4336,4
D4,11281,4
D5,4636,4
D6,1686,4
D8,5030,4
D9,2664,4
D10,10098,4
D11,5222,4
D12,1517,4
D13,991,4
D14,1680,4
D15,12277,4
M2,743,4
M3,1422,4
M4,2376,4
M5,2434,4
M6,2735,4
M7,844,4
M8,903,4
M9,1132,4
V3,419,4
V4,663,4
V5,948,4
V6,324,4
V7,450,4
V8,100,4
V9,161,4
V10,390,4
V11,431,4
V12,1022,4
V13,1103,4
V17,96,4
V19,1092,4
V20,1152,4
V29,405,4
V30,523,4
V33,287,4
V34,340,4
V35,1448,4
V36,1420,4
V37,739,4
V38,1266,4
V40,377,4
V44,956,4
V45,1240,4
V46,150,4
V47,516,4
V48,657,4
V49,636,4
V51,337,4
V52,457,4
V53,1384,4
V54,1432,4
V56,810,4
V58,257,4
V59,163,4
V60,184,4
V61,1252,4
V62,1788,4
V63,170,4
V64,248,4
V69,602,4
V70,616,4
V71,119,4
V72,195,4
V73,299,4
V74,519,4
V75,1441,4
V76,1571,4
V78,1517,4
V80,157,4
V81,246,4
V82,1503,4
V83,1858,4
V84,107,4
V85,218,4
V87,1618,4
V90,561,4
V91,641,4
V92,116,4
V93,215,4
V94,240,4
V95,155,4
V96,729,4
V97,215,4
V99,672,4
V100,129,4
V126,980,4
V127,2209,4
V128,1066,4
V130,2128,4
V131,1194,4
V138,12,4
V139,475,4
V140,314,4
V143,364,4
V145,306,4
V146,63,4
V147,107,4
V149,364,4
V150,322,4
V151,183,4
V152,416,4
V154,126,4
V156,268,4
V158,117,4
V159,292,4
V160,595,4
V161,152,4
V162,125,4
V163,159,4
V164,487,4
V165,808,4
V166,377,4
V167,81,4
V169,162,4
V170,220,4
V171,217,4
V172,65,4
V173,53,4
V175,73,4
V176,105,4
V177,100,4
V178,131,4
V180,94,4
V182,91,4
V184,89,4
V187,345,4
V188,106,4
V189,272,4
V195,27,4
V197,32,4
V200,215,4
V201,219,4
V202,279,4
V203,561,4
V204,362,4
V205,296,4
V206,215,4
V207,433,4
V208,337,4
V209,377,4
V210,334,4
V212,282,4
V213,221,4
V214,191,4
V215,268,4
V216,238,4
V217,157,4
V219,171,4
V220,160,4
V221,490,4
V222,432,4
V223,140,4
V224,280,4
V225,128,4
V226,202,4
V227,106,4
V228,148,4
V229,319,4
V231,105,4
V233,132,4
V234,317,4
V238,89,4
V239,103,4
V242,62,4
V243,201,4
V244,65,4
V245,299,4
V246,91,4
V247,25,4
V249,48,4
V251,299,4
V253,141,4
V256,236,4
V257,228,4
V258,435,4
V259,290,4
V261,492,4
V262,275,4
V263,493,4
V264,884,4
V265,580,4
V266,459,4
V267,630,4
V268,376,4
V270,369,4
V271,517,4
V272,363,4
V273,274,4
V274,516,4
V275,397,4
V276,300,4
V277,542,4
V278,379,4
V279,459,4
V280,457,4
V282,1380,4
V283,1392,4
V285,1165,4
V287,233,4
V288,235,4
V289,337,4
V291,829,4
V292,310,4
V294,904,4
V303,115,4
V304,58,4
V306,1333,4
V307,3569,4
V308,1888,4
V310,3738,4
V312,1906,4
V313,3773,4
V314,2311,4
V315,2802,4
V317,1620,4
V322,58,4
V323,327,4
V324,120,4
V326,86,4
V329,99,4
V331,175,4
V332,342,4
V333,201,4
V335,157,4
V336,93,4
V338,158,4
id_01,1940,4
id_02,6129,4
id_03,578,4
id_05,2799,4
id_06,2850,4
id_09,671,4
id_11,346,4
id_12,35,4
id_13,2889,4
id_14,1320,4
id_15,339,4
id_17,649,4
id_19,5578,4
id_20,5657,4
id_30,1944,4
id_31,3737,4
id_32,354,4
id_33,1934,4
id_36,158,4
id_37,255,4
id_38,1126,4
DeviceType,568,4
DeviceInfo,2687,4
f103__TransactionAmt_decimal,7565,4
f103__card1_count_full,23415,4
f103__Transaction_day_of_week,7415,4
f103__Transaction_hour,11000,4
f103__id_02__id_20,3210,4
f103__id_02__D8,2022,4
f103__D11__DeviceInfo,4235,4
f103__DeviceInfo__P_emaildomain,7385,4
f103__P_emaildomain__C2,12102,4
f103__card2__dist1,14450,4
f103__card1__card5,20350,4
f103__card2__id_20,10961,4
f103__card5__P_emaildomain,12267,4
f103__addr1__card1,22248,4
id_34_count_full,250,4
id_36_count_full,101,4
id_01_count_dist,1486,4
id_31_count_dist,5255,4
id_33_count_dist,3355,4
id_35_count_dist,15,4
id_36_count_dist,70,4
TransactionAmt,19769,5
ProductCD,1110,5
card1,22603,5
card2,20760,5
card3,1676,5
card4,2185,5
card5,6954,5
card6,1296,5
