feature,gain,fold
TransactionAmt,8917,1
ProductCD,53,1
card1,1657,1
card2,1161,1
card3,47,1
card4,19,1
card5,468,1
card6,117,1
addr1,1336,1
addr2,14,1
dist1,4137,1
P_emaildomain,525,1
R_emaildomain,213,1
C1,2406,1
C2,1840,1
C4,429,1
C5,462,1
C6,1764,1
C7,288,1
C8,624,1
C9,1120,1
C10,561,1
C11,1707,1
C12,477,1
C13,3955,1
C14,1825,1
D1,3254,1
D2,3931,1
D3,2372,1
D4,4677,1
D5,2253,1
D6,539,1
D8,2535,1
D9,1604,1
D10,4203,1
D11,1766,1
D12,618,1
D13,236,1
D14,495,1
D15,4597,1
M2,806,1
M3,983,1
M4,1151,1
M5,1154,1
M6,1220,1
M7,494,1
M8,466,1
M9,374,1
V3,241,1
V4,314,1
V5,412,1
V6,89,1
V7,223,1
V8,29,1
V9,109,1
V10,218,1
V11,188,1
V12,604,1
V13,674,1
V17,118,1
V19,566,1
V20,515,1
V29,202,1
V30,278,1
V33,156,1
V34,187,1
V35,711,1
V36,486,1
V37,449,1
V38,620,1
V40,258,1
V44,420,1
V45,599,1
V46,101,1
V47,257,1
V48,314,1
V49,290,1
V51,180,1
V52,264,1
V53,492,1
V54,611,1
V56,226,1
V58,123,1
V59,61,1
V60,89,1
V61,420,1
V62,609,1
V63,119,1
V64,94,1
V69,210,1
V70,260,1
V71,61,1
V72,139,1
V73,102,1
V74,147,1
V75,683,1
V76,805,1
V78,652,1
V80,120,1
V81,191,1
V82,456,1
V83,616,1
V84,85,1
V85,151,1
V87,586,1
V90,332,1
V91,360,1
V92,147,1
V93,140,1
V94,87,1
V95,110,1
V96,535,1
V97,191,1
V99,315,1
V100,96,1
V126,373,1
V127,1606,1
V128,664,1
V130,1215,1
V131,425,1
V138,14,1
V139,211,1
V140,228,1
V143,326,1
V145,316,1
V146,67,1
V147,86,1
V149,185,1
V150,297,1
V151,108,1
V152,117,1
V154,109,1
V156,205,1
V158,123,1
V159,220,1
V160,242,1
V161,53,1
V162,47,1
V163,67,1
V164,313,1
V165,398,1
V166,334,1
V167,101,1
V169,31,1
V170,114,1
V171,177,1
V172,44,1
V173,28,1
V175,65,1
V176,66,1
V177,57,1
V178,84,1
V180,69,1
V182,37,1
V184,31,1
V187,84,1
V188,62,1
V189,136,1
V195,32,1
V197,59,1
V200,97,1
V201,109,1
V202,241,1
V203,396,1
V204,285,1
V205,96,1
V206,51,1
V207,142,1
V208,100,1
V209,133,1
V210,113,1
V212,171,1
V213,126,1
V214,104,1
V215,115,1
V216,87,1
V217,142,1
V219,168,1
V220,46,1
V221,247,1
V222,247,1
V223,59,1
V224,85,1
V225,68,1
V226,28,1
V227,51,1
