feature,gain,fold
TransactionAmt,9006,1
ProductCD,62,1
card1,1609,1
card2,1106,1
card3,49,1
card4,14,1
card5,457,1
card6,114,1
addr1,1348,1
addr2,18,1
dist1,4133,1
P_emaildomain,503,1
R_emaildomain,223,1
C1,2330,1
C2,1933,1
C4,450,1
C5,435,1
C6,1773,1
C7,270,1
C8,621,1
C9,1168,1
C10,562,1
C11,1711,1
C12,490,1
C13,3909,1
C14,1759,1
D1,3256,1
D2,3909,1
D3,2421,1
D4,4751,1
D5,2130,1
D6,533,1
D8,2569,1
D9,1678,1
D10,4339,1
D11,1717,1
D12,646,1
D13,239,1
D14,506,1
D15,4501,1
M2,852,1
M3,956,1
M4,1264,1
M5,1098,1
M6,1264,1
M7,547,1
M8,500,1
M9,407,1
V3,232,1
V4,293,1
V5,390,1
V6,100,1
V7,221,1
V8,31,1
V9,105,1
V10,235,1
V11,200,1
V12,586,1
V13,604,1
V17,136,1
V19,596,1
V20,499,1
V29,171,1
V30,289,1
V33,151,1
V34,190,1
V35,706,1
V36,490,1
V37,463,1
V38,612,1
V40,252,1
V44,403,1
V45,655,1
V46,90,1
V47,268,1
V48,315,1
V49,293,1
V51,192,1
V52,285,1
V53,469,1
V54,604,1
V56,216,1
V58,117,1
V59,67,1
V60,93,1
V61,373,1
V62,665,1
V63,115,1
V64,99,1
V69,199,1
V70,257,1
V71,63,1
V72,121,1
V73,99,1
V74,147,1
V75,657,1
V76,802,1
V78,640,1
V80,157,1
V81,207,1
V82,451,1
V83,674,1
V84,86,1
V85,148,1
V87,532,1
V90,340,1
V91,382,1
V92,148,1
V93,137,1
V94,103,1
V95,93,1
V96,553,1
V97,198,1
V99,294,1
V100,87,1
V126,361,1
V127,1620,1
V128,662,1
V130,1285,1
V131,444,1
V138,17,1
V139,224,1
V140,248,1
V143,350,1
V145,333,1
V146,70,1
V147,97,1
V149,223,1
V150,306,1
V151,118,1
V152,132,1
V154,113,1
V156,193,1
V158,170,1
V159,242,1
V160,259,1
V161,58,1
V162,50,1
V163,72,1
V164,367,1
V165,452,1
V166,352,1
V167,108,1
V169,37,1
V170,126,1
V171,200,1
V172,50,1
V173,26,1
V175,54,1
V176,74,1
V177,54,1
V178,97,1
V180,67,1
V182,58,1
V184,38,1
V187,95,1
V188,64,1
V189,135,1
