feature,gain,fold
TransactionAmt,8677,1
ProductCD,8,1
card1,1896,1
card2,1115,1
card3,10,1
card4,0,1
card5,240,1
card6,32,1
addr1,1476,1
addr2,3,1
dist1,3915,1
P_emaildomain,336,1
R_emaildomain,165,1
C1,2133,1
C2,1310,1
C4,309,1
C5,482,1
C6,1454,1
C7,146,1
C8,424,1
C9,863,1
C10,379,1
C11,1251,1
C12,265,1
C13,3360,1
C14,1402,1
D1,2484,1
D2,3418,1
D3,2532,1
D4,4174,1
D5,2014,1
D6,407,1
D8,2001,1
D9,1380,1
D10,3178,1
D11,1502,1
D12,373,1
D13,145,1
D14,386,1
D15,4285,1
M2,644,1
M3,796,1
M4,1059,1
M5,1053,1
M6,1572,1
M7,489,1
M8,471,1
M9,284,1
V3,87,1
V4,139,1
V5,262,1
V6,23,1
V7,156,1
V8,9,1
V9,43,1
V10,122,1
V11,104,1
V12,416,1
V13,419,1
V17,61,1
V19,297,1
V20,412,1
V29,125,1
V30,227,1
V33,88,1
V34,84,1
V35,346,1
V36,305,1
V37,281,1
V38,358,1
V40,138,1
V44,229,1
V45,446,1
V46,30,1
V47,179,1
V48,236,1
V49,181,1
V51,70,1
V52,147,1
V53,354,1
V54,434,1
V56,148,1
V58,109,1
V59,37,1
V60,63,1
V61,243,1
V62,442,1
V63,57,1
V64,52,1
V69,143,1
V70,221,1
V71,34,1
V72,56,1
V73,36,1
V74,109,1
V75,456,1
V76,512,1
V78,426,1
V80,77,1
V81,101,1
V82,316,1
V83,448,1
V84,49,1
V85,53,1
V87,537,1
V90,223,1
V91,218,1
V92,49,1
V93,46,1
V94,44,1
V95,32,1
V96,236,1
V97,81,1
V99,154,1
V100,28,1
V126,177,1
V127,767,1
V128,323,1
V130,686,1
V131,234,1
V138,12,1
V139,172,1
V140,189,1
V143,282,1
V145,291,1
V146,51,1
V147,51,1
V149,145,1
V150,363,1
V151,134,1
V152,89,1
V154,49,1
V156,132,1
V158,45,1
V159,258,1
V160,221,1
V161,61,1
V162,39,1
V163,54,1
V164,286,1
V165,358,1
V166,403,1
V167,59,1
V169,11,1
V170,80,1
V171,94,1
V172,19,1
V173,20,1
V175,23,1
V176,34,1
V177,26,1
V178,38,1
V180,44,1
V182,19,1
V184,18,1
V187,64,1
V188,25,1
V189,70,1
V195,29,1
V197,54,1
V200,59,1
V201,59,1
V202,106,1
V203,178,1
V204,137,1
V205,40,1
V206,40,1
V207,104,1
V208,46,1
V209,59,1
V210,35,1
V212,105,1
V213,86,1
V214,68,1
V215,55,1
V216,50,1
V217,50,1
V219,63,1
V220,23,1
V221,165,1
V222,146,1
V223,54,1
V224,75,1
V225,31,1
V226,14,1
V227,23,1
V228,22,1
V229,82,1
V231,30,1
V233,24,1
V234,61,1
V238,27,1
V239,26,1
V242,19,1
V243,63,1
V244,51,1
V245,184,1
V246,35,1
V247,27,1
V249,37,1
V251,75,1
V253,64,1
V256,80,1
V257,67,1
V258,186,1
V259,122,1
V261,116,1
V262,77,1
V263,137,1
V264,313,1
V265,215,1
V266,93,1
V267,141,1
V268,70,1
V270,82,1
V271,82,1
V272,59,1
V273,74,1
V274,142,1
V275,91,1
V276,52,1
V277,76,1
V278,52,1
V279,120,1
V280,191,1
V282,303,1
V283,337,1
V285,390,1
V287,58,1
V288,27,1
V289,75,1
V291,169,1
V292,58,1
V294,464,1
V303,34,1
V304,57,1
V306,395,1
V307,1638,1
V308,576,1
V310,1381,1
V312,535,1
V313,609,1
V314,535,1
V315,595,1
V317,698,1
V322,25,1
V323,64,1
V324,30,1
V326,56,1
V329,10,1
V331,50,1
V332,89,1
V333,51,1
V335,42,1
V336,19,1
V338,30,1
id_01,630,1
id_02,3220,1
id_03,99,1
id_05,848,1
id_06,908,1
id_09,213,1
id_11,150,1
id_12,111,1
id_13,11,1
id_14,0,1
id_15,408,1
id_17,0,1
id_19,513,1
id_20,445,1
id_30,190,1
id_31,304,1
id_32,227,1
id_33,211,1
id_36,49,1
id_37,265,1
id_38,355,1
DeviceType,336,1
DeviceInfo,68,1
f103__TransactionAmt_decimal,2437,1
f103__card1_count_full,8434,1
f103__Transaction_day_of_week,3347,1
f103__Transaction_hour,5313,1
f103__id_02__id_20,2049,1
f103__id_02__D8,1255,1
f103__D11__DeviceInfo,1774,1
f103__DeviceInfo__P_emaildomain,2759,1
f103__P_emaildomain__C2,3993,1
f103__card2__dist1,6243,1
f103__card1__card5,7098,1
f103__card2__id_20,4642,1
f103__card5__P_emaildomain,4931,1
f103__addr1__card1,7681,1
id_34_count_full,88,1
id_36_count_full,25,1
id_01_count_dist,401,1
id_31_count_dist,1540,1
id_33_count_dist,1242,1
id_35_count_dist,9,1
id_36_count_dist,8,1
f201__DeviceInfo_CE,849,1
f201__DeviceType_CE,78,1
f201__M1_CE,18,1
f201__M2_CE,190,1
f201__M3_CE,349,1
f201__M4_CE,535,1
f201__M5_CE,578,1
f201__M6_CE,616,1
f201__M7_CE,45,1
f201__M8_CE,67,1
f201__M9_CE,51,1
f201__P_emaildomain_CE,2648,1
f201__ProductCD_CE,339,1
f201__R_emaildomain_CE,859,1
f201__addr1_CE,4543,1
f201__addr2_CE,111,1
f201__card4_CE,365,1
f201__card6_CE,581,1
f201__id_01_CE,243,1
f201__id_03_CE,39,1
f201__id_04_CE,11,1
f201__id_05_CE,483,1
f201__id_06_CE,603,1
f201__id_07_CE,18,1
f201__id_08_CE,20,1
f201__id_09_CE,93,1
f201__id_10_CE,18,1
f201__id_11_CE,142,1
f201__id_12_CE,6,1
f201__id_13_CE,377,1
f201__id_14_CE,275,1
f201__id_15_CE,110,1
f201__id_16_CE,92,1
f201__id_17_CE,60,1
f201__id_18_CE,257,1
f201__id_19_CE,1444,1
f201__id_20_CE,1498,1
f201__id_21_CE,12,1
f201__id_22_CE,2,1
f201__id_23_CE,5,1
f201__id_24_CE,2,1
f201__id_25_CE,6,1
f201__id_26_CE,12,1
f201__id_27_CE,0,1
f201__id_28_CE,48,1
f201__id_29_CE,47,1
f201__id_30_CE,682,1
f201__id_31_CE,941,1
f201__id_32_CE,85,1
f201__id_33_CE,489,1
f201__id_34_CE,41,1
f201__id_35_CE,2,1
f201__id_36_CE,2,1
f201__id_37_CE,47,1
f201__id_38_CE,133,1
TransactionAmt,13642,2
ProductCD,46,2
card1,4644,2
card2,2412,2
card3,46,2
card4,2,2
card5,554,2
card6,73,2
addr1,3020,2
addr2,2,2
dist1,6266,2
P_emaildomain,849,2
R_emaildomain,500,2
C1,3766,2
C2,2471,2
C4,555,2
C5,944,2
C6,2539,2
C7,275,2
C8,733,2
C9,1559,2
C10,646,2
C11,2253,2
C12,601,2
C13,5775,2
C14,2559,2
D1,4387,2
D2,5650,2
D3,3326,2
D4,6847,2
D5,2995,2
D6,750,2
D8,3220,2
D9,1913,2
D10,5110,2
D11,2184,2
D12,755,2
D13,397,2
D14,716,2
D15,7336,2
M2,666,2
M3,1086,2
M4,1680,2
M5,1806,2
M6,2170,2
M7,724,2
M8,543,2
M9,500,2
V3,208,2
V4,310,2
V5,435,2
V6,101,2
V7,194,2
V8,19,2
V9,56,2
V10,208,2
V11,168,2
V12,703,2
V13,792,2
V17,91,2
V19,557,2
V20,665,2
V29,272,2
V30,358,2
V33,130,2
V34,140,2
V35,740,2
V36,652,2
V37,378,2
V38,614,2
V40,221,2
V44,527,2
V45,829,2
V46,79,2
V47,264,2
V48,364,2
V49,333,2
V51,126,2
V52,195,2
V53,711,2
V54,726,2
V56,423,2
V58,173,2
V59,67,2
V60,113,2
V61,654,2
V62,812,2
V63,101,2
V64,177,2
V69,308,2
V70,361,2
V71,79,2
V72,115,2
V73,113,2
V74,255,2
V75,854,2
V76,801,2
V78,782,2
V80,85,2
V81,164,2
V82,697,2
V83,901,2
V84,55,2
V85,86,2
V87,853,2
V90,441,2
V91,348,2
V92,75,2
V93,103,2
V94,84,2
V95,50,2
V96,479,2
V97,112,2
V99,390,2
V100,73,2
V126,390,2
V127,1419,2
V128,708,2
V130,1259,2
V131,627,2
V138,19,2
V139,227,2
V140,262,2
V143,321,2
V145,239,2
V146,52,2
V147,90,2
V149,217,2
V150,192,2
V151,104,2
V152,151,2
V154,87,2
V156,215,2
V158,76,2
V159,172,2
V160,252,2
V161,127,2
V162,80,2
V163,93,2
V164,322,2
V165,468,2
V166,274,2
V167,66,2
V169,30,2
V170,105,2
V171,109,2
V172,37,2
V173,33,2
V175,42,2
V176,60,2
V177,43,2
V178,70,2
V180,52,2
V182,32,2
V184,26,2
V187,141,2
V188,79,2
V189,149,2
V195,17,2
V197,34,2
V200,112,2
V201,97,2
V202,154,2
V203,324,2
V204,221,2
V205,88,2
V206,84,2
V207,108,2
V208,133,2
V209,147,2
V210,91,2
V212,172,2
V213,109,2
V214,66,2
V215,135,2
V216,86,2
V217,114,2
V219,130,2
V220,46,2
V221,236,2
V222,212,2
V223,90,2
V224,130,2
V225,75,2
V226,42,2
V227,42,2
V228,74,2
V229,178,2
V231,46,2
V233,65,2
V234,172,2
V238,66,2
V239,58,2
V242,48,2
V243,151,2
V244,87,2
V245,318,2
V246,83,2
V247,28,2
V249,58,2
V251,141,2
V253,100,2
V256,99,2
V257,125,2
V258,326,2
V259,140,2
V261,248,2
V262,189,2
V263,269,2
V264,536,2
V265,370,2
V266,192,2
V267,260,2
V268,173,2
V270,172,2
V271,159,2
V272,115,2
V273,126,2
V274,333,2
V275,178,2
V276,100,2
V277,213,2
V278,116,2
V279,176,2
V280,329,2
V282,674,2
V283,663,2
V285,767,2
V287,119,2
V288,95,2
V289,150,2
V291,329,2
V292,130,2
V294,656,2
V303,71,2
V304,47,2
V306,724,2
V307,2328,2
V308,957,2
V310,2137,2
V312,1009,2
V313,1464,2
V314,1124,2
V315,1224,2
V317,1119,2
V322,37,2
V323,197,2
V324,86,2
V326,41,2
V329,22,2
V331,92,2
V332,183,2
V333,114,2
V335,74,2
V336,49,2
V338,41,2
id_01,891,2
id_02,4547,2
id_03,271,2
id_05,1214,2
id_06,1672,2
id_09,294,2
id_11,177,2
id_12,81,2
id_13,27,2
id_14,0,2
id_15,501,2
id_17,1,2
id_19,985,2
id_20,912,2
id_30,413,2
id_31,717,2
id_32,337,2
id_33,496,2
id_36,40,2
id_37,283,2
id_38,689,2
DeviceType,492,2
DeviceInfo,370,2
f103__TransactionAmt_decimal,4631,2
f103__card1_count_full,12354,2
f103__Transaction_day_of_week,5156,2
f103__Transaction_hour,7648,2
f103__id_02__id_20,3023,2
f103__id_02__D8,2075,2
f103__D11__DeviceInfo,2813,2
f103__DeviceInfo__P_emaildomain,4727,2
f103__P_emaildomain__C2,6413,2
f103__card2__dist1,9240,2
f103__card1__card5,10484,2
f103__card2__id_20,7198,2
f103__card5__P_emaildomain,7366,2
f103__addr1__card1,12117,2
id_34_count_full,171,2
id_36_count_full,20,2
id_01_count_dist,701,2
id_31_count_dist,2776,2
id_33_count_dist,1967,2
id_35_count_dist,14,2
id_36_count_dist,9,2
f201__DeviceInfo_CE,1694,2
f201__DeviceType_CE,152,2
f201__M1_CE,7,2
f201__M2_CE,288,2
