feature,gain,fold
TransactionAmt,15068,1
ProductCD,109,1
card1,2128,1
card2,14920,1
card3,418,1
card4,38,1
card5,6247,1
card6,174,1
addr1,12567,1
addr2,440,1
dist1,7381,1
P_emaildomain,836,1
R_emaildomain,408,1
C1,650,1
C2,635,1
C4,122,1
C5,230,1
C6,533,1
C7,96,1
C8,215,1
C9,499,1
C10,180,1
C11,559,1
C12,175,1
C13,1149,1
C14,558,1
D1,5230,1
D2,5925,1
D3,4603,1
D4,6539,1
D5,4276,1
D6,1030,1
D8,3954,1
D9,3022,1
D10,7014,1
D11,3148,1
D12,1253,1
D13,493,1
D14,842,1
D15,8317,1
M2,1566,1
M3,1688,1
M4,2041,1
M5,1789,1
M6,2229,1
M7,1007,1
M8,1077,1
M9,916,1
V3,487,1
V4,702,1
V5,803,1
V6,149,1
V7,540,1
V8,102,1
V9,232,1
V10,354,1
V11,443,1
V12,1007,1
V13,1003,1
V17,280,1
V19,963,1
V20,1175,1
V29,395,1
V30,434,1
V33,340,1
V34,349,1
V35,1162,1
V36,1157,1
V37,820,1
V38,1159,1
V40,490,1
V44,758,1
V45,1055,1
V46,239,1
V47,505,1
V48,581,1
V49,579,1
V51,409,1
V52,449,1
V53,872,1
V54,857,1
V56,454,1
V58,228,1
V59,139,1
V60,162,1
V61,571,1
V62,785,1
V63,157,1
V64,180,1
V69,400,1
V70,420,1
V71,121,1
V72,219,1
V73,192,1
V74,320,1
V75,1241,1
V76,1503,1
V78,952,1
V80,241,1
V81,336,1
V82,975,1
V83,1138,1
V84,211,1
V85,253,1
V87,945,1
V90,517,1
V91,602,1
V92,209,1
V93,236,1
V94,198,1
V95,195,1
V96,1203,1
V97,483,1
V99,808,1
V100,187,1
V126,837,1
V127,3076,1
V128,1375,1
V130,2155,1
V131,874,1
V138,18,1
V139,362,1
V140,330,1
V143,491,1
V145,457,1
V146,101,1
V147,106,1
V149,311,1
V150,523,1
V151,240,1
V152,234,1
V154,149,1
V156,293,1
V158,177,1
V159,413,1
V160,475,1
V161,81,1
V162,64,1
V163,86,1
V164,590,1
V165,623,1
V166,496,1
V167,167,1
V169,86,1
V170,268,1
V171,304,1
V172,39,1
V173,48,1
V175,79,1
V176,126,1
V177,83,1
V178,155,1
V180,115,1
V182,96,1
V184,39,1
V187,138,1
V188,91,1
V189,179,1
V195,52,1
V197,93,1
V200,116,1
V201,170,1
V202,466,1
V203,790,1
V204,461,1
V205,176,1
V206,95,1
V207,292,1
V208,188,1
V209,293,1
V210,204,1
V212,354,1
V213,216,1
V214,191,1
V215,193,1
V216,194,1
V217,227,1
V219,294,1
V220,63,1
V221,510,1
V222,564,1
V223,108,1
V224,229,1
V225,92,1
V226,60,1
V227,71,1
V228,143,1
V229,281,1
V231,112,1
V233,148,1
V234,138,1
V238,79,1
V239,88,1
V242,62,1
V243,115,1
V244,112,1
V245,391,1
V246,88,1
V247,43,1
V249,62,1
V251,214,1
V253,113,1
V256,259,1
V257,170,1
V258,285,1
V259,309,1
V261,271,1
V262,204,1
V263,525,1
V264,1107,1
V265,655,1
V266,189,1
V267,385,1
V268,270,1
V270,243,1
V271,238,1
V272,207,1
V273,226,1
V274,397,1
V275,261,1
V276,200,1
V277,250,1
V278,164,1
V279,438,1
V280,872,1
V282,901,1
V283,1101,1
V285,1459,1
V287,356,1
V288,218,1
V289,321,1
V291,738,1
V292,339,1
V294,984,1
V303,104,1
V304,112,1
V306,1471,1
V307,4608,1
V308,2493,1
V310,3764,1
V312,1725,1
V313,1610,1
V314,1954,1
V315,2044,1
V317,1579,1
V322,96,1
V323,213,1
V324,89,1
V326,82,1
V329,77,1
V331,163,1
V332,326,1
V333,185,1
V335,125,1
V336,64,1
V338,89,1
id_01,1803,1
id_02,7003,1
id_03,401,1
id_05,1857,1
id_06,2295,1
id_09,600,1
id_11,289,1
id_12,194,1
id_13,1926,1
id_14,861,1
id_15,1040,1
id_17,268,1
id_19,4348,1
id_20,4050,1
id_30,448,1
id_31,735,1
id_32,358,1
id_33,444,1
id_36,156,1
id_37,539,1
id_38,614,1
DeviceType,733,1
DeviceInfo,340,1
f201__DeviceInfo_CE,1838,1
f201__DeviceType_CE,331,1
f201__M1_CE,69,1
f201__M2_CE,569,1
f201__M3_CE,824,1
f201__M4_CE,1238,1
f201__M5_CE,1084,1
f201__M6_CE,1411,1
f201__M7_CE,306,1
f201__M8_CE,377,1
f201__M9_CE,290,1
f201__P_emaildomain_CE,5571,1
f201__ProductCD_CE,733,1
f201__R_emaildomain_CE,2128,1
f201__addr1_CE,11852,1
f201__addr2_CE,230,1
f201__card4_CE,1263,1
f201__card6_CE,965,1
f201__id_01_CE,1267,1
f201__id_03_CE,141,1
f201__id_04_CE,62,1
f201__id_05_CE,1173,1
f201__id_06_CE,1425,1
f201__id_07_CE,31,1
f201__id_08_CE,29,1
f201__id_09_CE,256,1
f201__id_10_CE,80,1
f201__id_11_CE,133,1
f201__id_12_CE,42,1
f201__id_13_CE,1008,1
f201__id_14_CE,597,1
f201__id_15_CE,372,1
f201__id_16_CE,300,1
f201__id_17_CE,104,1
f201__id_18_CE,805,1
f201__id_19_CE,3755,1
f201__id_20_CE,3612,1
f201__id_21_CE,9,1
f201__id_22_CE,8,1
f201__id_23_CE,8,1
f201__id_24_CE,8,1
f201__id_25_CE,7,1
f201__id_26_CE,9,1
f201__id_27_CE,3,1
f201__id_28_CE,157,1
f201__id_29_CE,155,1
f201__id_30_CE,1269,1
f201__id_31_CE,3096,1
f201__id_32_CE,189,1
f201__id_33_CE,1624,1
f201__id_34_CE,161,1
f201__id_35_CE,34,1
f201__id_36_CE,22,1
f201__id_37_CE,165,1
f201__id_38_CE,255,1
TransactionAmt,17780,2
ProductCD,155,2
card1,3430,2
card2,18607,2
card3,694,2
card4,93,2
card5,8270,2
card6,249,2
addr1,15560,2
addr2,404,2
dist1,10429,2
P_emaildomain,1169,2
R_emaildomain,705,2
C1,1026,2
C2,1059,2
C4,201,2
C5,333,2
C6,767,2
C7,169,2
C8,316,2
C9,703,2
C10,237,2
C11,820,2
C12,282,2
C13,1879,2
C14,796,2
D1,7636,2
D2,8078,2
D3,5914,2
D4,9963,2
D5,6108,2
D6,1609,2
D8,4991,2
D9,4271,2
D10,9575,2
D11,4724,2
D12,1891,2
D13,820,2
D14,1498,2
D15,11451,2
M2,1760,2
M3,1752,2
M4,2870,2
M5,2128,2
M6,2565,2
M7,1220,2
M8,1408,2
M9,1151,2
V3,757,2
V4,969,2
V5,1132,2
V6,314,2
V7,747,2
V8,160,2
V9,339,2
V10,469,2
