feature,gain
TransactionAmt,14811
ProductCD,538
card1,15019
card2,12143
card3,1905
card4,1909
card5,4513
card6,1439
addr1,11169
addr2,252
dist1,6860
P_emaildomain,4431
R_emaildomain,2204
C1,5302
C2,4453
C4,764
C5,1636
C6,3600
C7,560
C8,1481
C9,2989
C10,1276
C11,3864
C12,1654
C13,7597
C14,4059
D1,7207
D2,8513
D3,3722
D4,7859
D5,3463
D6,1839
D8,5199
D9,1802
D10,6522
D11,7372
D12,1621
D13,1272
D14,2309
D15,9744
M2,937
M3,1401
M4,2429
M5,2248
M6,2174
M7,1091
M8,1484
M9,1461
V3,558
V4,858
V5,1140
V6,444
V7,526
V8,248
V9,219
V10,697
V11,652
V12,1101
V13,1053
V17,146
V19,1009
V20,1232
V29,695
V30,643
V33,261
V34,378
V35,1133
V36,1124
V37,740
V38,1102
V40,506
V44,1058
V45,1401
V46,191
V47,409
V48,762
V49,785
V51,390
V52,520
V53,1145
V54,1151
V56,796
V58,309
V59,257
V60,225
V61,1054
V62,1342
V63,185
V64,323
V69,645
V70,696
V71,167
V72,193
V73,321
V74,492
V75,1303
V76,1331
V78,1179
V80,199
V81,444
V82,1023
V83,1389
V84,153
V85,343
V87,1734
V90,641
V91,692
V92,138
V93,184
V94,355
V95,212
V96,625
V97,246
V99,689
V100,164
V126,896
V127,1804
V128,927
V130,1875
V131,978
V138,13
V139,269
V140,304
V143,194
V145,131
V146,114
V147,77
V149,315
V150,240
V151,109
V152,166
V154,176
V156,321
V158,133
V159,276
V160,286
V161,61
V162,105
V163,62
V164,159
V165,269
V166,194
V167,104
V169,205
V170,432
V171,298
V172,48
V173,29
V175,128
V176,196
V177,89
V178,162
V180,130
V182,102
V184,120
V187,507
V188,133
V189,185
V195,77
V197,152
V200,195
V201,291
V202,294
V203,587
V204,433
V205,296
V206,232
V207,571
V208,658
V209,588
V210,569
V212,373
V213,301
V214,215
V215,404
V216,286
V217,170
V219,262
V220,412
V221,662
V222,513
V223,88
V224,220
V225,159
V226,98
V227,104
V228,199
V229,342
V231,107
V233,171
V234,276
V238,146
V239,150
V242,130
V243,294
V244,152
V245,327
V246,174
V247,72
V249,130
V251,303
V253,154
V256,211
V257,300
V258,440
V259,561
V261,669
V262,473
V263,448
V264,836
V265,475
V266,342
V267,846
V268,451
V270,347
V271,450
V272,319
V273,258
V274,639
V275,327
V276,301
V277,571
V278,340
V279,487
V280,528
V282,1347
V283,1186
V285,1036
V287,254
V288,318
V289,353
V291,913
V292,415
V294,564
V303,70
V304,23
V306,959
V307,2655
V308,1334
V310,2761
V312,1458
V313,2952
V314,2236
V315,2338
V317,1251
V322,57
V323,156
V324,121
V326,147
V329,117
V331,131
V332,254
V333,178
V335,207
V336,57
V338,241
id_01,1681
id_02,3840
id_03,687
id_05,2412
id_06,2770
id_09,408
id_11,286
id_12,47
id_13,2254
id_14,1155
id_15,313
id_17,553
id_19,5099
id_20,6344
id_30,1136
id_31,2896
id_32,354
id_33,1247
id_36,88
id_37,298
id_38,293
DeviceType,665
DeviceInfo,2780
f103__TransactionAmt_decimal,6003
f103__card1_count_full,14673
f103__Transaction_day_of_week,4618
f103__Transaction_hour,7752
f103__id_02__id_20,2265
f103__id_02__D8,1545
f103__D11__DeviceInfo,4615
f103__DeviceInfo__P_emaildomain,6243
f103__P_emaildomain__C2,9424
f103__card2__dist1,10759
f103__card1__card5,15101
f103__card2__id_20,8521
f103__card5__P_emaildomain,10230
f103__addr1__card1,16694
id_34_count_full,175
id_36_count_full,69
id_01_count_dist,1157
id_31_count_dist,4015
id_33_count_dist,1689
id_35_count_dist,20
id_36_count_dist,58
f203__date_block_num,2270
f203__TransactionAmt_min__lag1,1687
f203__TransactionAmt_mean__lag1,1280
f203__TransactionAmt_max__lag1,1269
f203__TransactionAmt_std__lag1,855
f203__dist1_min__lag1,0
f203__dist1_mean__lag1,721
f203__dist1_max__lag1,475
f203__dist1_std__lag1,338
f203__dist2_min__lag1,0
f203__dist2_mean__lag1,349
f203__dist2_max__lag1,609
f203__dist2_std__lag1,405
f203__TransactionAmt_min__lag2,268
f203__TransactionAmt_mean__lag2,434
f203__TransactionAmt_max__lag2,219
f203__TransactionAmt_std__lag2,130
f203__dist1_min__lag2,0
f203__dist1_mean__lag2,134
f203__dist1_max__lag2,80
f203__dist1_std__lag2,72
f203__dist2_min__lag2,0
f203__dist2_mean__lag2,121
f203__dist2_max__lag2,175
f203__dist2_std__lag2,156
f203__TransactionAmt_min__lag3,58
f203__TransactionAmt_mean__lag3,89
f203__TransactionAmt_max__lag3,50
f203__TransactionAmt_std__lag3,28
f203__dist1_min__lag3,0
f203__dist1_mean__lag3,41
f203__dist1_max__lag3,59
f203__dist1_std__lag3,9
f203__dist2_min__lag3,0
f203__dist2_mean__lag3,12
f203__dist2_max__lag3,48
f203__dist2_std__lag3,19
f204__date_block_num,11
f204__card1_counts__lag1,13803
f204__card1_counts__lag2,10903
f204__card1_counts__lag3,6872
