feature,gain
TransactionAmt,33107
ProductCD,1743
card1,33602
card2,28109
card3,2750
card4,3516
card5,9990
card6,3302
addr1,26018
addr2,427
dist1,15833
P_emaildomain,7053
R_emaildomain,4410
C1,11096
C2,10101
C4,1491
C5,3319
C6,6918
C7,1296
C8,3413
C9,6475
C10,2749
C11,7837
C12,3586
C13,17704
C14,9270
D1,13774
D2,16134
D3,7353
D4,17772
D5,7111
D6,3510
D8,9631
D9,4531
D10,16636
D11,11242
D12,3422
D13,2618
D14,3873
D15,21105
M2,1555
M3,2941
M4,6137
M5,5946
M6,6479
M7,2073
M8,2086
M9,2542
V3,989
V4,1636
V5,2016
V6,767
V7,1018
V8,510
V9,509
V10,1037
V11,1205
V12,2578
V13,2220
V17,233
V19,1430
V20,1829
V29,1117
V30,1173
V33,475
V34,577
V35,2767
V36,2768
V37,1554
V38,2475
V40,976
V44,1954
V45,2251
V46,426
V47,763
V48,1090
V49,1273
V51,934
V52,1119
V53,2660
V54,2404
V56,1808
V58,446
V59,342
V60,378
V61,1939
V62,2286
V63,325
V64,630
V69,986
V70,1218
V71,262
V72,361
V73,722
V74,1023
V75,3112
V76,2623
V78,2362
V80,487
V81,755
V82,2448
V83,2612
V84,217
V85,606
V87,3054
V90,801
V91,1193
V92,241
V93,385
V94,692
V95,509
V96,1791
V97,794
V99,1662
V100,289
V126,1882
V127,4153
V128,2381
V130,5044
V131,2788
V138,23
V139,1174
V140,610
V143,508
V145,376
V146,169
V147,534
V149,749
V150,588
V151,103
V152,699
V154,233
V156,817
V158,452
V159,278
V160,815
V161,128
V162,311
V163,107
V164,543
V165,1490
V166,454
V167,169
V169,393
V170,646
V171,644
V172,52
V173,34
V175,134
V176,600
V177,199
V178,368
V180,208
V182,311
V184,416
V187,1237
V188,229
V189,331
V195,91
V197,76
V200,382
V201,619
V202,938
V203,1891
V204,1163
V205,417
V206,515
V207,1246
V208,1747
V209,1320
V210,1185
V212,1016
V213,682
V214,677
V215,912
V216,671
V217,450
V219,746
V220,401
V221,1415
V222,1294
V223,118
V224,375
V225,157
V226,164
V227,129
V228,374
V229,897
V231,269
V233,498
V234,379
V238,149
V239,362
V242,236
V243,522
V244,305
V245,640
V246,446
V247,78
V249,386
V251,774
V253,379
V256,485
V257,842
V258,917
V259,1111
V261,896
V262,463
V263,1136
V264,2194
V265,1752
V266,1175
V267,1775
V268,1135
V270,1032
V271,1255
V272,903
V273,800
V274,1444
V275,816
V276,582
V277,1833
V278,1095
V279,824
V280,1267
V282,2477
V283,2977
V285,2475
V287,461
V288,594
V289,788
V291,1855
V292,768
V294,2135
V303,271
V304,96
V306,2366
V307,7158
V308,3595
V310,7617
V312,3653
V313,7047
V314,5090
V315,5576
V317,3406
V322,87
V323,358
V324,161
V326,218
V329,189
V331,343
V332,727
V333,339
V335,512
V336,358
V338,453
id_01,4036
id_02,10918
id_03,1115
id_05,4185
id_06,5282
id_09,945
id_11,1213
id_12,185
id_13,5290
id_14,2305
id_15,793
id_17,1022
id_19,9532
id_20,10845
id_30,2720
id_31,6075
id_32,549
id_33,2434
id_36,68
id_37,498
id_38,1580
DeviceType,1352
DeviceInfo,5014
f103__TransactionAmt_decimal,12160
f103__card1_count_full,35839
f103__Transaction_day_of_week,11371
f103__Transaction_hour,16167
f103__id_02__id_20,4604
f103__id_02__D8,3956
f103__D11__DeviceInfo,8655
f103__DeviceInfo__P_emaildomain,13126
f103__P_emaildomain__C2,18123
f103__card2__dist1,23784
f103__card1__card5,33865
f103__card2__id_20,19903
f103__card5__P_emaildomain,21215
f103__addr1__card1,38795
id_34_count_full,282
id_36_count_full,49
id_01_count_dist,2630
id_31_count_dist,9102
id_33_count_dist,3954
id_35_count_dist,33
id_36_count_dist,29
f203__date_block_num,3589
f203__TransactionAmt_min__lag1,5231
f203__TransactionAmt_mean__lag1,7059
f203__TransactionAmt_max__lag1,5193
f203__TransactionAmt_std__lag1,3549
f203__dist1_min__lag1,61
f203__dist1_mean__lag1,6342
f203__dist1_max__lag1,4842
f203__dist1_std__lag1,3633
f203__dist2_min__lag1,26
f203__dist2_mean__lag1,4405
f203__dist2_max__lag1,2321
f203__dist2_std__lag1,4249
f203__TransactionAmt_min__lag2,3117
f203__TransactionAmt_mean__lag2,2014
f203__TransactionAmt_max__lag2,1806
f203__TransactionAmt_std__lag2,1207
f203__dist1_min__lag2,40
f203__dist1_mean__lag2,2227
f203__dist1_max__lag2,1862
f203__dist1_std__lag2,1299
f203__dist2_min__lag2,8
f203__dist2_mean__lag2,1566
f203__dist2_max__lag2,1023
f203__dist2_std__lag2,1044
f203__TransactionAmt_min__lag3,228
f203__TransactionAmt_mean__lag3,183
f203__TransactionAmt_max__lag3,170
f203__TransactionAmt_std__lag3,103
f203__dist1_min__lag3,41
f203__dist1_mean__lag3,53
f203__dist1_max__lag3,362
f203__dist1_std__lag3,39
f203__dist2_min__lag3,16
f203__dist2_mean__lag3,224
f203__dist2_max__lag3,168
f203__dist2_std__lag3,138
f203__TransactionAmt_min__lag6,0
f203__TransactionAmt_mean__lag6,0
f203__TransactionAmt_max__lag6,0
f203__TransactionAmt_std__lag6,0
f203__dist1_min__lag6,0
f203__dist1_mean__lag6,0
f203__dist1_max__lag6,0
f203__dist1_std__lag6,0
f203__dist2_min__lag6,0
f203__dist2_mean__lag6,0
f203__dist2_max__lag6,0
f203__dist2_std__lag6,0
f204__date_block_num,12
f204__card1_counts__lag1,35423
f204__card1_counts__lag2,29707
f204__card1_counts__lag3,19857
f204__card1_counts__lag6,0
