feature,gain
TransactionAmt,18173
ProductCD,913
card1,20604
card2,16362
card3,1247
card4,1952
card5,5795
card6,2079
addr1,15342
addr2,320
dist1,10084
P_emaildomain,5114
R_emaildomain,2619
C1,7871
C2,6246
C4,1116
C5,2578
C6,5432
C7,821
C8,2025
C9,4153
C10,2092
C11,5405
C12,2210
C13,10251
C14,5727
D1,9203
D2,10641
D3,4731
D4,11350
D5,4546
D6,2812
D8,7192
D9,2798
D10,10121
D11,7158
D12,2479
D13,2067
D14,3061
D15,13643
M2,847
M3,1350
M4,2458
M5,2867
M6,3068
M7,882
M8,1166
M9,1305
V3,448
V4,1039
V5,1349
V6,554
V7,573
V8,336
V9,242
V10,644
V11,679
V12,1391
V13,1687
V17,166
V19,1252
V20,1547
V29,942
V30,848
V33,423
V34,414
V35,1698
V36,1576
V37,1271
V38,1828
V40,745
V44,1641
V45,2019
V46,341
V47,711
V48,962
V49,1025
V51,553
V52,698
V53,1867
V54,1769
V56,1464
V58,416
V59,312
V60,351
V61,1834
V62,2124
V63,247
V64,509
V69,863
V70,922
V71,182
V72,297
V73,444
V74,814
V75,1967
V76,1951
V78,1898
V80,359
V81,687
V82,1843
V83,2269
V84,222
V85,585
V87,2299
V90,943
V91,955
V92,213
V93,314
V94,535
V95,262
V96,834
V97,310
V99,915
V100,195
V126,1203
V127,2247
V128,1321
V130,2778
V131,1658
V138,19
V139,736
V140,434
V143,481
V145,324
V146,185
V147,206
V149,615
V150,423
V151,254
V152,517
V154,254
V156,473
V158,290
V159,377
V160,666
V161,178
V162,248
V163,168
V164,446
V165,1075
V166,495
V167,124
V169,374
V170,455
V171,423
V172,102
V173,56
V175,114
V176,184
V177,104
V178,296
V180,189
V182,188
V184,210
V187,788
V188,330
V189,341
V195,87
V197,265
V200,307
V201,349
V202,476
V203,898
V204,539
V205,396
V206,452
V207,615
V208,755
V209,669
V210,653
V212,546
V213,407
V214,444
V215,549
V216,475
V217,238
V219,330
V220,509
V221,739
V222,639
V223,217
V224,373
V225,183
V226,201
V227,137
V228,256
V229,527
V231,184
V233,255
V234,387
V238,160
V239,199
V242,152
V243,347
V244,187
V245,479
V246,236
V247,105
V249,201
V251,488
V253,215
V256,528
V257,428
V258,575
V259,638
V261,809
V262,543
V263,546
V264,1150
V265,776
V266,681
V267,1005
V268,782
V270,675
V271,791
V272,579
V273,463
V274,808
V275,449
V276,539
V277,965
V278,817
V279,718
V280,757
V282,1726
V283,1937
V285,1534
V287,318
V288,495
V289,583
V291,1109
V292,492
V294,1167
V303,143
V304,76
V306,1446
V307,3950
V308,2100
V310,4367
V312,2269
V313,4577
V314,3214
V315,3943
V317,2198
V322,93
V323,292
V324,179
V326,195
V329,226
V331,197
V332,424
V333,228
V335,296
V336,199
V338,417
id_01,2388
id_02,6115
id_03,1047
id_05,3403
id_06,3679
id_09,936
id_11,466
id_12,60
id_13,2858
id_14,1419
id_15,318
id_17,665
id_19,5696
id_20,7100
id_30,1941
id_31,4198
id_32,328
id_33,1868
id_36,125
id_37,324
id_38,703
DeviceType,599
DeviceInfo,3570
f103__TransactionAmt_decimal,8417
f103__card1_count_full,17710
f103__Transaction_day_of_week,5730
f103__Transaction_hour,9083
f103__id_02__id_20,3056
f103__id_02__D8,2095
f103__D11__DeviceInfo,5006
f103__DeviceInfo__P_emaildomain,7273
f103__P_emaildomain__C2,10985
f103__card2__dist1,14152
f103__card1__card5,19457
f103__card2__id_20,11534
f103__card5__P_emaildomain,11817
f103__addr1__card1,22106
id_34_count_full,253
id_36_count_full,126
id_01_count_dist,1903
id_31_count_dist,5125
id_33_count_dist,2611
id_35_count_dist,27
id_36_count_dist,92
f201__ProductCD_CE,894
f201__card2_CE,16519
f201__card3_CE,1493
f201__card4_CE,1707
f201__card5_CE,5020
f201__card6_CE,1508
f201__addr1_CE,15055
f201__addr2_CE,287
f201__P_emaildomain_CE,8462
f201__R_emaildomain_CE,3712
f201__M1_CE,95
f201__M2_CE,618
f201__M3_CE,896
f201__M4_CE,2341
f201__M5_CE,1937
f201__M6_CE,2000
f201__M7_CE,675
f201__M8_CE,778
f201__M9_CE,623
f201__DeviceType_CE,474
f201__DeviceInfo_CE,5234
f201__id_12_CE,35
f201__id_13_CE,2012
f201__id_14_CE,1049
f201__id_15_CE,276
f201__id_16_CE,317
f201__id_17_CE,671
f201__id_18_CE,1020
f201__id_19_CE,5021
f201__id_20_CE,4987
f201__id_21_CE,499
f201__id_22_CE,41
f201__id_23_CE,104
f201__id_24_CE,143
f201__id_25_CE,383
f201__id_26_CE,101
f201__id_27_CE,15
f201__id_28_CE,114
f201__id_29_CE,80
f201__id_30_CE,1697
f201__id_31_CE,3595
f201__id_32_CE,143
f201__id_33_CE,1544
f201__id_35_CE,24
f201__id_37_CE,185
f201__id_38_CE,431
f203__date_block_num,2322
f203__TransactionAmt_min__lag0,1667
f203__TransactionAmt_mean__lag0,2152
f203__TransactionAmt_max__lag0,1615
f203__TransactionAmt_std__lag0,1213
f203__dist1_min__lag0,0
f203__dist1_mean__lag0,1725
f203__dist1_max__lag0,1436
f203__dist1_std__lag0,923
f203__dist2_min__lag0,0
f203__dist2_mean__lag0,1423
f203__dist2_max__lag0,1735
f203__dist2_std__lag0,1526
f203__TransactionAmt_min__lag1,2489
f203__TransactionAmt_mean__lag1,2503
f203__TransactionAmt_max__lag1,1622
f203__TransactionAmt_std__lag1,1189
f203__dist1_min__lag1,42
f203__dist1_mean__lag1,2463
f203__dist1_max__lag1,1996
f203__dist1_std__lag1,1357
f203__dist2_min__lag1,18
f203__dist2_mean__lag1,2028
f203__dist2_max__lag1,1744
f203__dist2_std__lag1,2008
f203__TransactionAmt_min__lag2,964
f203__TransactionAmt_mean__lag2,1074
f203__TransactionAmt_max__lag2,608
f203__TransactionAmt_std__lag2,496
f203__dist1_min__lag2,31
f203__dist1_mean__lag2,682
f203__dist1_max__lag2,970
f203__dist1_std__lag2,397
f203__dist2_min__lag2,14
f203__dist2_mean__lag2,457
f203__dist2_max__lag2,593
f203__dist2_std__lag2,795
f203__TransactionAmt_min__lag3,179
f203__TransactionAmt_mean__lag3,190
f203__TransactionAmt_max__lag3,116
f203__TransactionAmt_std__lag3,91
f203__dist1_min__lag3,17
f203__dist1_mean__lag3,64
f203__dist1_max__lag3,248
f203__dist1_std__lag3,27
f203__dist2_min__lag3,7
f203__dist2_mean__lag3,211
f203__dist2_max__lag3,161
f203__dist2_std__lag3,141
f203__TransactionAmt_min__lag6,0
f203__TransactionAmt_mean__lag6,0
f203__TransactionAmt_max__lag6,0
f203__TransactionAmt_std__lag6,0
f203__dist1_min__lag6,0
f203__dist1_mean__lag6,0
f203__dist1_max__lag6,0
f203__dist1_std__lag6,0
f203__dist2_min__lag6,0
f203__dist2_mean__lag6,0
f203__dist2_max__lag6,0
f203__dist2_std__lag6,0
f204__card1_counts__lag0,17786
f204__card1_counts__lag1,20344
f204__card1_counts__lag2,17005
f204__card1_counts__lag3,13393
f204__card1_counts__lag6,0
