feature,gain
TransactionAmt,22087
ProductCD,919
card1,24341
card2,20617
card3,1356
card4,2474
card5,7091
card6,2626
addr1,17714
addr2,363
dist1,11690
P_emaildomain,5887
R_emaildomain,2879
C1,8877
C2,7177
C4,1260
C5,2898
C6,5682
C7,944
C8,2350
C9,4582
C10,2361
C11,6149
C12,2372
C13,11638
C14,6200
D1,10696
D2,11580
D3,5890
D4,13157
D5,5655
D6,3082
D8,7715
D9,3006
D10,11885
D11,8704
D12,2873
D13,2171
D14,3349
D15,15170
M2,1015
M3,1498
M4,2867
M5,3526
M6,3568
M7,1171
M8,1429
M9,1520
V3,594
V4,1196
V5,1544
V6,703
V7,662
V8,417
V9,341
V10,818
V11,793
V12,1789
V13,1919
V17,209
V19,1556
V20,1801
V29,1008
V30,1039
V33,484
V34,489
V35,1958
V36,1907
V37,1499
V38,1989
V40,850
V44,1809
V45,2444
V46,361
V47,831
V48,1197
V49,1225
V51,648
V52,850
V53,2229
V54,2040
V56,1642
V58,467
V59,342
V60,398
V61,2018
V62,2341
V63,308
V64,512
V69,954
V70,955
V71,250
V72,323
V73,500
V74,883
V75,2262
V76,2385
V78,2061
V80,415
V81,685
V82,2120
V83,2419
V84,238
V85,568
V87,2744
V90,1066
V91,1176
V92,219
V93,351
V94,550
V95,304
V96,981
V97,378
V99,1072
V100,258
V126,1457
V127,2877
V128,1607
V130,3367
V131,1937
V138,15
V139,829
V140,507
V143,504
V145,387
V146,225
V147,236
V149,711
V150,468
V151,258
V152,569
V154,272
V156,528
V158,322
V159,453
V160,700
V161,210
V162,265
V163,179
V164,484
V165,1154
V166,551
V167,134
V169,420
V170,458
V171,421
V172,79
V173,55
V175,131
V176,237
V177,117
V178,285
V180,188
V182,186
V184,253
V187,969
V188,307
V189,424
V195,103
V197,259
V200,331
V201,349
V202,517
V203,1038
V204,660
V205,432
V206,509
V207,686
V208,852
V209,727
V210,740
V212,577
V213,446
V214,456
V215,622
V216,579
V217,280
V219,396
V220,492
V221,993
V222,704
V223,229
V224,457
V225,227
V226,238
V227,205
V228,300
V229,612
V231,206
V233,323
V234,446
V238,190
V239,244
V242,188
V243,441
V244,241
V245,590
V246,219
V247,97
V249,238
V251,544
V253,230
V256,562
V257,487
V258,667
V259,731
V261,957
V262,583
V263,642
V264,1347
V265,945
V266,782
V267,1191
V268,792
V270,714
V271,848
V272,665
V273,522
V274,943
V275,520
V276,612
V277,1125
V278,894
V279,784
V280,876
V282,2021
V283,2134
V285,1871
V287,353
V288,525
V289,701
V291,1320
V292,614
V294,1346
V303,173
V304,98
V306,1699
V307,4718
V308,2418
V310,4688
V312,2740
V313,5490
V314,3745
V315,4293
V317,2532
V322,99
V323,348
V324,158
V326,211
V329,214
V331,210
V332,501
V333,232
V335,322
V336,282
V338,381
id_01,2694
id_02,7535
id_03,1145
id_05,3968
id_06,4443
id_09,1004
id_11,593
id_12,86
id_13,3404
id_14,1484
id_15,417
id_17,745
id_19,6934
id_20,7879
id_30,2226
id_31,4683
id_32,356
id_33,2041
id_36,152
id_37,376
id_38,777
DeviceType,748
DeviceInfo,3969
f103__TransactionAmt_decimal,10700
f103__card1_count_full,22784
f103__Transaction_day_of_week,7352
f103__Transaction_hour,11810
f103__id_02__id_20,3757
f103__id_02__D8,2911
f103__D11__DeviceInfo,5883
f103__DeviceInfo__P_emaildomain,8713
f103__P_emaildomain__C2,13058
f103__card2__dist1,16809
f103__card1__card5,23800
f103__card2__id_20,14214
f103__card5__P_emaildomain,14526
f103__addr1__card1,25326
id_34_count_full,297
id_36_count_full,139
id_01_count_dist,2160
id_31_count_dist,6241
id_33_count_dist,3316
id_35_count_dist,43
id_36_count_dist,114
f201__ProductCD_CE,968
f201__card2_CE,19028
f201__card3_CE,1625
f201__card4_CE,1869
f201__card5_CE,5856
f201__card6_CE,1789
f201__addr1_CE,18064
f201__addr2_CE,301
f201__P_emaildomain_CE,9516
f201__R_emaildomain_CE,4213
f201__M1_CE,127
f201__M2_CE,795
f201__M3_CE,1161
f201__M4_CE,2666
f201__M5_CE,2359
f201__M6_CE,2374
f201__M7_CE,759
f201__M8_CE,927
f201__M9_CE,713
f201__DeviceType_CE,561
f201__DeviceInfo_CE,5714
f201__id_12_CE,38
f201__id_13_CE,2346
f201__id_14_CE,1149
f201__id_15_CE,336
f201__id_16_CE,396
f201__id_17_CE,757
f201__id_18_CE,1174
f201__id_19_CE,5529
f201__id_20_CE,5659
f201__id_21_CE,507
f201__id_22_CE,66
f201__id_23_CE,99
f201__id_24_CE,170
f201__id_25_CE,486
f201__id_26_CE,84
f201__id_27_CE,12
f201__id_28_CE,147
f201__id_29_CE,125
f201__id_30_CE,1975
f201__id_31_CE,4134
f201__id_32_CE,152
f201__id_33_CE,1662
f201__id_35_CE,20
f201__id_37_CE,240
f201__id_38_CE,482
f203__date_block_num,2565
f203__TransactionAmt_min__lag0,2017
f203__TransactionAmt_mean__lag0,2333
f203__TransactionAmt_max__lag0,1782
f203__TransactionAmt_std__lag0,1360
f203__dist1_min__lag0,0
f203__dist1_mean__lag0,1828
f203__dist1_max__lag0,1603
f203__dist1_std__lag0,1161
f203__dist2_min__lag0,0
f203__dist2_mean__lag0,1593
f203__dist2_max__lag0,1944
f203__dist2_std__lag0,1990
f203__TransactionAmt_min__lag1,2726
f203__TransactionAmt_mean__lag1,2942
f203__TransactionAmt_max__lag1,1838
f203__TransactionAmt_std__lag1,1283
f203__dist1_min__lag1,46
f203__dist1_mean__lag1,2743
f203__dist1_max__lag1,2072
f203__dist1_std__lag1,1470
f203__dist2_min__lag1,12
f203__dist2_mean__lag1,2389
f203__dist2_max__lag1,2053
f203__dist2_std__lag1,2199
f203__TransactionAmt_min__lag2,1230
f203__TransactionAmt_mean__lag2,1109
f203__TransactionAmt_max__lag2,813
f203__TransactionAmt_std__lag2,552
f203__dist1_min__lag2,41
f203__dist1_mean__lag2,818
f203__dist1_max__lag2,1083
f203__dist1_std__lag2,403
f203__dist2_min__lag2,29
f203__dist2_mean__lag2,585
f203__dist2_max__lag2,690
f203__dist2_std__lag2,946
f203__TransactionAmt_min__lag3,228
f203__TransactionAmt_mean__lag3,227
f203__TransactionAmt_max__lag3,155
f203__TransactionAmt_std__lag3,116
f203__dist1_min__lag3,18
f203__dist1_mean__lag3,82
f203__dist1_max__lag3,293
f203__dist1_std__lag3,37
f203__dist2_min__lag3,7
f203__dist2_mean__lag3,229
f203__dist2_max__lag3,180
f203__dist2_std__lag3,145
f203__TransactionAmt_min__lag6,0
f203__TransactionAmt_mean__lag6,0
f203__TransactionAmt_max__lag6,0
f203__TransactionAmt_std__lag6,0
f203__dist1_min__lag6,0
f203__dist1_mean__lag6,0
f203__dist1_max__lag6,0
f203__dist1_std__lag6,0
f203__dist2_min__lag6,0
f203__dist2_mean__lag6,0
f203__dist2_max__lag6,0
f203__dist2_std__lag6,0
f204__card1_counts__lag0,20493
f204__card1_counts__lag1,23085
f204__card1_counts__lag2,19596
f204__card1_counts__lag3,16018
f204__card1_counts__lag6,0
f205__motnthly_count,602
f205__daily_count,20022
