feature,gain
TransactionAmt,20716
ProductCD,735
card1,47247
card2,9888
card3,1143
card4,245
card5,3820
card6,415
addr1,12873
addr2,294
dist1,7094
P_emaildomain,7421
R_emaildomain,2819
C1,9744
C2,6077
C4,734
C5,2357
C6,4521
C7,540
C8,1948
C9,2908
C10,2076
C11,4467
C12,1387
C13,12187
C14,4231
D1,8821
D2,8222
D3,3775
D4,8155
D5,3750
D6,2217
D8,6013
D9,1978
D10,8950
D11,5252
D12,1838
D13,1577
D14,2529
D15,11401
M2,1145
M3,1646
M4,3895
M5,3778
M6,3355
M7,1395
M8,1754
M9,1662
V3,359
V4,611
V5,879
V6,400
V7,336
V8,249
V9,136
V10,547
V11,492
V12,1354
V13,1391
V17,239
V19,1390
V20,1533
V29,755
V30,699
V33,308
V34,317
V35,1432
V36,1168
V37,1006
V38,1185
V40,570
V44,1194
V45,1794
V46,191
V47,403
V48,688
V49,712
V51,282
V52,402
V53,1990
V54,1824
V56,1160
V58,426
V59,310
V60,339
V61,1563
V62,1801
V63,257
V64,319
V69,726
V70,731
V71,204
V72,246
V73,311
V74,518
V75,1583
V76,1676
V78,1520
V80,305
V81,536
V82,1533
V83,1603
V84,145
V85,441
V87,2134
V90,641
V91,764
V92,172
V93,291
V94,275
V95,238
V96,839
V97,245
V99,862
V100,169
V126,1010
V127,1980
V128,1058
V130,2117
V131,1170
V138,43
V139,584
V140,440
V143,436
V145,354
V146,147
V147,168
V149,711
V150,333
V151,168
V152,425
V154,182
V156,485
V158,247
V159,299
V160,472
V161,108
V162,150
V163,80
V164,369
V165,814
V166,277
V167,120
V169,347
V170,341
V171,298
V172,70
V173,48
V175,100
V176,202
V177,89
V178,186
V180,172
V182,185
V184,162
V187,589
V188,239
V189,399
V195,75
V197,211
V200,287
V201,334
V202,281
V203,625
V204,432
V205,244
V206,303
V207,411
V208,543
V209,489
V210,452
V212,435
V213,305
V214,249
V215,409
V216,406
V217,384
V219,317
V220,454
V221,696
V222,595
V223,231
V224,252
V225,144
V226,133
V227,128
V228,183
V229,314
V231,129
V233,163
V234,318
V238,151
V239,155
V242,181
V243,342
V244,152
V245,486
V246,168
V247,70
V249,107
V251,426
V253,211
V256,517
V257,451
V258,504
V259,577
V261,727
V262,435
V263,415
V264,885
V265,531
V266,573
V267,619
V268,428
V270,425
V271,528
V272,382
V273,266
V274,642
V275,346
V276,297
V277,720
V278,455
V279,679
V280,719
V282,1837
V283,1826
V285,1722
V287,328
V288,398
V289,573
V291,1040
V292,570
V294,1224
V303,249
V304,169
V306,1256
V307,3900
V308,2088
V310,4121
V312,1955
V313,4030
V314,2704
V315,3052
V317,2032
V322,127
V323,275
V324,177
V326,148
V329,117
V331,100
V332,250
V333,117
V335,205
V336,144
V338,254
id_01,1955
id_02,6522
id_03,780
id_05,2826
id_06,3472
id_09,724
id_11,473
id_12,150
id_13,2258
id_14,951
id_15,780
id_17,531
id_19,5205
id_20,6336
id_30,4104
id_31,9845
id_32,147
id_33,3495
id_36,163
id_37,483
id_38,845
DeviceType,685
DeviceInfo,8787
f103__TransactionAmt_decimal,10639
f103__card1_count_full,17969
f103__Transaction_day_of_week,6500
f103__Transaction_hour,10435
f103__id_02__id_20,3845
f103__id_02__D8,2894
f103__D11__DeviceInfo,5400
f103__DeviceInfo__P_emaildomain,7666
f103__P_emaildomain__C2,11349
f103__card2__dist1,11652
f103__card1__card5,14638
f103__card2__id_20,10480
f103__card5__P_emaildomain,10764
f103__addr1__card1,21383
id_34_count_full,231
id_36_count_full,80
id_01_count_dist,2371
id_31_count_dist,3529
id_33_count_dist,1405
id_35_count_dist,27
id_36_count_dist,47
f201__ProductCD_CE,1025
f201__card2_CE,11291
f201__card3_CE,1163
f201__card4_CE,1625
f201__card5_CE,3983
f201__card6_CE,1881
f201__addr1_CE,15030
f201__addr2_CE,285
f201__P_emaildomain_CE,6776
f201__R_emaildomain_CE,2855
f201__M1_CE,121
f201__M2_CE,811
f201__M3_CE,1272
f201__M4_CE,2488
f201__M5_CE,2207
f201__M6_CE,2158
f201__M7_CE,587
f201__M8_CE,709
f201__M9_CE,672
f201__DeviceType_CE,363
f201__DeviceInfo_CE,3534
f201__id_12_CE,67
f201__id_13_CE,2316
f201__id_14_CE,1242
f201__id_15_CE,388
f201__id_16_CE,529
f201__id_17_CE,676
f201__id_18_CE,1014
f201__id_19_CE,5420
f201__id_20_CE,6009
f201__id_21_CE,490
f201__id_22_CE,59
f201__id_23_CE,116
f201__id_24_CE,144
f201__id_25_CE,309
f201__id_26_CE,88
f201__id_27_CE,24
f201__id_28_CE,175
f201__id_29_CE,151
f201__id_30_CE,1105
f201__id_31_CE,3349
f201__id_32_CE,127
f201__id_33_CE,1328
f201__id_35_CE,58
f201__id_37_CE,233
f201__id_38_CE,474
f203__date_block_num,3133
f203__TransactionAmt_min__lag0,2286
f203__TransactionAmt_mean__lag0,3183
f203__TransactionAmt_max__lag0,2376
f203__TransactionAmt_std__lag0,1651
f203__dist1_min__lag0,0
f203__dist1_mean__lag0,2364
f203__dist1_max__lag0,1790
f203__dist1_std__lag0,1306
f203__dist2_min__lag0,0
f203__dist2_mean__lag0,2036
f203__dist2_max__lag0,2238
f203__dist2_std__lag0,2135
f203__TransactionAmt_min__lag1,1482
f203__TransactionAmt_mean__lag1,1637
f203__TransactionAmt_max__lag1,701
f203__TransactionAmt_std__lag1,416
f203__dist1_min__lag1,73
f203__dist1_mean__lag1,1706
f203__dist1_max__lag1,1383
f203__dist1_std__lag1,892
f203__dist2_min__lag1,21
f203__dist2_mean__lag1,1381
f203__dist2_max__lag1,1952
f203__dist2_std__lag1,1920
f203__TransactionAmt_min__lag2,780
f203__TransactionAmt_mean__lag2,526
f203__TransactionAmt_max__lag2,444
f203__TransactionAmt_std__lag2,286
f203__dist1_min__lag2,66
f203__dist1_mean__lag2,552
f203__dist1_max__lag2,716
f203__dist1_std__lag2,271
f203__dist2_min__lag2,53
f203__dist2_mean__lag2,197
f203__dist2_max__lag2,625
f203__dist2_std__lag2,799
f203__TransactionAmt_min__lag3,185
f203__TransactionAmt_mean__lag3,210
f203__TransactionAmt_max__lag3,150
f203__TransactionAmt_std__lag3,122
f203__dist1_min__lag3,37
f203__dist1_mean__lag3,73
f203__dist1_max__lag3,389
f203__dist1_std__lag3,37
f203__dist2_min__lag3,25
f203__dist2_mean__lag3,41
f203__dist2_max__lag3,223
f203__dist2_std__lag3,41
f203__TransactionAmt_min__lag6,0
f203__TransactionAmt_mean__lag6,0
f203__TransactionAmt_max__lag6,0
f203__TransactionAmt_std__lag6,0
f203__dist1_min__lag6,0
f203__dist1_mean__lag6,0
f203__dist1_max__lag6,0
f203__dist1_std__lag6,0
f203__dist2_min__lag6,0
f203__dist2_mean__lag6,0
f203__dist2_max__lag6,0
f203__dist2_std__lag6,0
f204__card1_counts__lag0,19496
f204__card1_counts__lag1,14791
f204__card1_counts__lag2,11300
f204__card1_counts__lag3,8882
f204__card1_counts__lag6,0
f205__motnthly_count,1490
f205__daily_count,18247
