feature,gain,fold
TransactionAmt,11846,1
ProductCD,397,1
card1,23306,1
card2,7524,1
card3,742,1
card4,127,1
card5,2877,1
card6,308,1
addr1,9064,1
addr2,192,1
dist1,6304,1
P_emaildomain,3853,1
R_emaildomain,1409,1
C1,6060,1
C2,3302,1
C4,344,1
C5,1373,1
C6,2483,1
C7,253,1
C8,975,1
C9,1624,1
C10,950,1
C11,2520,1
C12,649,1
C13,6926,1
C14,2479,1
D1,5818,1
D2,6793,1
D3,4020,1
D4,7223,1
D5,3548,1
D6,1552,1
D8,3839,1
D9,1493,1
D10,6574,1
D11,4846,1
D12,1388,1
D13,924,1
D14,1500,1
D15,8575,1
M2,617,1
M3,1022,1
M4,2409,1
M5,2142,1
M6,2044,1
M7,902,1
M8,1040,1
M9,899,1
V3,348,1
V4,563,1
V5,820,1
V6,279,1
V7,344,1
V8,181,1
V9,143,1
V10,442,1
V11,431,1
V12,901,1
V13,926,1
V17,119,1
V19,940,1
V20,1002,1
V29,673,1
V30,563,1
V33,249,1
V34,244,1
V35,1003,1
V36,967,1
V37,585,1
V38,966,1
V40,381,1
V44,858,1
V45,1412,1
V46,156,1
V47,448,1
V48,701,1
V49,753,1
V51,347,1
V52,448,1
V53,1019,1
V54,1068,1
V56,761,1
V58,285,1
V59,157,1
V60,216,1
V61,984,1
V62,1225,1
V63,175,1
V64,265,1
V69,634,1
V70,624,1
V71,135,1
V72,187,1
V73,285,1
V74,486,1
V75,1120,1
V76,1122,1
V78,1107,1
V80,160,1
V81,356,1
V82,1146,1
V83,1209,1
V84,94,1
V85,245,1
V87,1474,1
V90,607,1
V91,725,1
V92,127,1
V93,196,1
V94,281,1
V95,172,1
V96,613,1
V97,215,1
V99,640,1
V100,166,1
V126,741,1
V127,1642,1
V128,888,1
V130,1468,1
V131,865,1
V138,4,1
V139,340,1
V140,266,1
V143,321,1
V145,221,1
V146,107,1
V147,104,1
V149,363,1
V150,222,1
V151,136,1
V152,241,1
V154,134,1
V156,336,1
V158,117,1
V159,203,1
V160,341,1
V161,127,1
V162,141,1
V163,92,1
V164,277,1
V165,579,1
V166,209,1
V167,124,1
V169,157,1
V170,297,1
V171,229,1
V172,54,1
V173,33,1
V175,103,1
V176,112,1
V177,115,1
V178,186,1
V180,107,1
V182,116,1
V184,97,1
V187,441,1
V188,128,1
V189,211,1
V195,54,1
V197,64,1
V200,167,1
V201,231,1
V202,303,1
V203,547,1
V204,347,1
V205,218,1
V206,164,1
V207,327,1
V208,418,1
V209,373,1
V210,364,1
V212,365,1
V213,215,1
V214,153,1
V215,247,1
V216,185,1
V217,205,1
V219,203,1
V220,204,1
V221,394,1
V222,374,1
V223,110,1
V224,141,1
V225,109,1
V226,61,1
V227,49,1
V228,149,1
V229,292,1
V231,128,1
V233,144,1
V234,211,1
V238,84,1
V239,122,1
V242,100,1
V243,259,1
V244,111,1
V245,267,1
V246,137,1
V247,35,1
V249,88,1
V251,200,1
V253,146,1
V256,275,1
V257,294,1
V258,430,1
V259,319,1
V261,365,1
V262,226,1
V263,428,1
V264,707,1
V265,515,1
V266,357,1
V267,560,1
V268,328,1
V270,318,1
V271,345,1
V272,305,1
V273,230,1
V274,508,1
V275,304,1
V276,217,1
V277,420,1
V278,293,1
V279,459,1
V280,547,1
V282,1270,1
V283,1271,1
V285,1222,1
V287,222,1
V288,273,1
V289,334,1
V291,680,1
V292,374,1
V294,701,1
V303,105,1
V304,77,1
V306,914,1
V307,2853,1
V308,1509,1
V310,2909,1
V312,1308,1
V313,2387,1
V314,1918,1
V315,2001,1
V317,1335,1
V322,77,1
V323,242,1
V324,116,1
V326,119,1
V329,81,1
V331,122,1
V332,286,1
V333,148,1
V335,131,1
V336,118,1
V338,168,1
id_01,1347,1
id_02,4118,1
id_03,474,1
id_05,1967,1
id_06,2210,1
id_09,558,1
id_11,298,1
id_12,46,1
id_13,1646,1
id_14,730,1
id_15,377,1
id_17,413,1
id_19,3260,1
id_20,3995,1
id_30,2042,1
id_31,4646,1
id_32,161,1
id_33,1789,1
id_36,97,1
id_37,190,1
id_38,462,1
DeviceType,369,1
DeviceInfo,3366,1
f103__TransactionAmt_decimal,5213,1
f103__card1_count_full,10882,1
f103__Transaction_day_of_week,3621,1
f103__Transaction_hour,5804,1
f103__id_02__id_20,1966,1
f103__id_02__D8,1346,1
f103__D11__DeviceInfo,2960,1
f103__DeviceInfo__P_emaildomain,4062,1
f103__P_emaildomain__C2,6220,1
f103__card2__dist1,6259,1
f103__card1__card5,8326,1
f103__card2__id_20,5245,1
f103__card5__P_emaildomain,6021,1
f103__addr1__card1,11192,1
id_34_count_full,123,1
id_36_count_full,77,1
id_01_count_dist,1092,1
id_31_count_dist,2429,1
id_33_count_dist,1203,1
id_35_count_dist,26,1
id_36_count_dist,55,1
f201__ProductCD_CE,612,1
f201__card2_CE,6422,1
f201__card3_CE,725,1
f201__card4_CE,895,1
f201__card5_CE,2292,1
f201__card6_CE,1217,1
f201__addr1_CE,8127,1
f201__addr2_CE,131,1
f201__P_emaildomain_CE,4126,1
f201__R_emaildomain_CE,1598,1
f201__M1_CE,49,1
f201__M2_CE,481,1
f201__M3_CE,767,1
f201__M4_CE,1349,1
f201__M5_CE,1323,1
f201__M6_CE,1271,1
f201__M7_CE,359,1
f201__M8_CE,416,1
f201__M9_CE,393,1
f201__DeviceType_CE,204,1
f201__DeviceInfo_CE,1771,1
f201__id_12_CE,18,1
f201__id_13_CE,1037,1
f201__id_14_CE,548,1
f201__id_15_CE,178,1
f201__id_16_CE,262,1
f201__id_17_CE,213,1
f201__id_18_CE,442,1
f201__id_19_CE,2363,1
f201__id_20_CE,2792,1
f201__id_21_CE,127,1
f201__id_22_CE,18,1
f201__id_23_CE,30,1
f201__id_24_CE,44,1
f201__id_25_CE,71,1
f201__id_26_CE,37,1
f201__id_27_CE,5,1
f201__id_28_CE,82,1
f201__id_29_CE,66,1
f201__id_30_CE,672,1
f201__id_31_CE,1431,1
f201__id_32_CE,83,1
f201__id_33_CE,560,1
f201__id_35_CE,16,1
f201__id_37_CE,93,1
f201__id_38_CE,226,1
f203__date_block_num,1362,1
f203__TransactionAmt_min__lag0,954,1
f203__TransactionAmt_mean__lag0,1304,1
f203__TransactionAmt_max__lag0,904,1
f203__TransactionAmt_std__lag0,663,1
f203__dist1_min__lag0,0,1
f203__dist1_mean__lag0,1020,1
f203__dist1_max__lag0,802,1
f203__dist1_std__lag0,564,1
f203__dist2_min__lag0,0,1
f203__dist2_mean__lag0,888,1
f203__dist2_max__lag0,1026,1
f203__dist2_std__lag0,850,1
f203__TransactionAmt_min__lag1,1399,1
f203__TransactionAmt_mean__lag1,1443,1
f203__TransactionAmt_max__lag1,901,1
f203__TransactionAmt_std__lag1,595,1
f203__dist1_min__lag1,24,1
f203__dist1_mean__lag1,1458,1
f203__dist1_max__lag1,975,1
f203__dist1_std__lag1,804,1
f203__dist2_min__lag1,4,1
f203__dist2_mean__lag1,1250,1
f203__dist2_max__lag1,1041,1
f203__dist2_std__lag1,1243,1
f203__TransactionAmt_min__lag2,626,1
f203__TransactionAmt_mean__lag2,519,1
f203__TransactionAmt_max__lag2,391,1
f203__TransactionAmt_std__lag2,204,1
f203__dist1_min__lag2,22,1
f203__dist1_mean__lag2,363,1
f203__dist1_max__lag2,527,1
f203__dist1_std__lag2,229,1
f203__dist2_min__lag2,6,1
f203__dist2_mean__lag2,288,1
f203__dist2_max__lag2,308,1
f203__dist2_std__lag2,417,1
f203__TransactionAmt_min__lag3,96,1
f203__TransactionAmt_mean__lag3,89,1
f203__TransactionAmt_max__lag3,80,1
f203__TransactionAmt_std__lag3,36,1
f203__dist1_min__lag3,10,1
f203__dist1_mean__lag3,31,1
f203__dist1_max__lag3,143,1
f203__dist1_std__lag3,14,1
f203__dist2_min__lag3,3,1
f203__dist2_mean__lag3,114,1
f203__dist2_max__lag3,87,1
f203__dist2_std__lag3,87,1
f203__TransactionAmt_min__lag6,0,1
f203__TransactionAmt_mean__lag6,0,1
f203__TransactionAmt_max__lag6,0,1
f203__TransactionAmt_std__lag6,0,1
f203__dist1_min__lag6,0,1
f203__dist1_mean__lag6,0,1
f203__dist1_max__lag6,0,1
f203__dist1_std__lag6,0,1
f203__dist2_min__lag6,0,1
f203__dist2_mean__lag6,0,1
f203__dist2_max__lag6,0,1
f203__dist2_std__lag6,0,1
f204__card1_counts__lag0,10628,1
f204__card1_counts__lag1,12387,1
f204__card1_counts__lag2,9668,1
f204__card1_counts__lag3,7763,1
f204__card1_counts__lag6,0,1
f205__motnthly_count,280,1
f205__daily_count,9969,1
TransactionAmt,8970,2
ProductCD,323,2
card1,18258,2
card2,5652,2
card3,660,2
card4,111,2
card5,2234,2
card6,1134,2
addr1,6890,2
addr2,122,2
dist1,4820,2
P_emaildomain,3048,2
R_emaildomain,1186,2
C1,5148,2
C2,2622,2
C4,274,2
C5,1086,2
C6,1931,2
C7,200,2
C8,822,2
C9,1347,2
C10,741,2
C11,2048,2
C12,552,2
C13,5539,2
C14,2021,2
D1,4793,2
D2,5552,2
D3,2954,2
D4,5614,2
D5,2218,2
D6,1159,2
D8,3122,2
D9,1171,2
D10,5116,2
D11,3870,2
D12,1100,2
D13,715,2
D14,1033,2
D15,6608,2
M2,516,2
M3,702,2
M4,1834,2
M5,1774,2
M6,1615,2
M7,525,2
M8,711,2
M9,694,2
V3,238,2
V4,448,2
V5,551,2
V6,188,2
V7,251,2
V8,97,2
V9,123,2
V10,302,2
V11,278,2
V12,730,2
V13,747,2
V17,74,2
V19,762,2
V20,853,2
V29,459,2
V30,473,2
V33,207,2
V34,252,2
V35,803,2
V36,661,2
V37,476,2
V38,752,2
V40,283,2
V44,682,2
V45,1159,2
V46,125,2
V47,349,2
V48,559,2
V49,551,2
V51,251,2
V52,367,2
V53,864,2
V54,929,2
V56,563,2
V58,241,2
V59,130,2
V60,146,2
V61,827,2
V62,1091,2
V63,144,2
V64,266,2
V69,493,2
V70,503,2
V71,128,2
V72,160,2
V73,229,2
V74,455,2
V75,861,2
V76,885,2
V78,856,2
V80,111,2
V81,240,2
V82,966,2
V83,1066,2
V84,72,2
V85,179,2
V87,1150,2
V90,446,2
V91,591,2
V92,101,2
V93,141,2
V94,244,2
V95,137,2
V96,525,2
V97,174,2
V99,595,2
V100,116,2
V126,538,2
V127,1252,2
V128,735,2
V130,1149,2
V131,733,2
V138,12,2
V139,274,2
V140,212,2
V143,249,2
V145,172,2
V146,74,2
V147,90,2
V149,315,2
V150,160,2
V151,117,2
V152,218,2
V154,122,2
V156,257,2
V158,101,2
V159,140,2
V160,316,2
V161,80,2
V162,104,2
V163,74,2
V164,203,2
V165,450,2
V166,181,2
V167,68,2
V169,167,2
V170,227,2
V171,186,2
V172,35,2
V173,39,2
V175,88,2
V176,70,2
V177,82,2
V178,144,2
V180,120,2
V182,105,2
V184,80,2
V187,388,2
V188,98,2
V189,199,2
V195,42,2
V197,65,2
V200,150,2
V201,220,2
V202,186,2
V203,462,2
V204,243,2
V205,158,2
V206,125,2
V207,293,2
V208,318,2
V209,336,2
V210,310,2
V212,308,2
V213,182,2
V214,130,2
V215,200,2
V216,181,2
V217,167,2
V219,172,2
V220,178,2
V221,255,2
V222,264,2
V223,92,2
V224,110,2
V225,73,2
V226,64,2
V227,56,2
V228,108,2
V229,220,2
V231,101,2
V233,114,2
V234,170,2
V238,66,2
V239,105,2
V242,90,2
V243,238,2
V244,88,2
V245,213,2
V246,90,2
V247,34,2
V249,79,2
V251,184,2
V253,114,2
V256,189,2
V257,257,2
V258,362,2
V259,258,2
V261,304,2
V262,171,2
V263,270,2
V264,490,2
V265,361,2
V266,288,2
V267,423,2
V268,292,2
V270,233,2
V271,334,2
V272,236,2
V273,167,2
V274,359,2
V275,198,2
V276,185,2
V277,336,2
V278,215,2
V279,374,2
V280,468,2
V282,1077,2
V283,1109,2
V285,1069,2
V287,155,2
V288,228,2
V289,303,2
V291,511,2
V292,249,2
V294,629,2
V303,77,2
V304,32,2
V306,810,2
V307,2219,2
V308,1202,2
V310,2353,2
V312,1036,2
V313,1887,2
V314,1438,2
V315,1511,2
V317,1024,2
V322,61,2
V323,194,2
V324,110,2
V326,98,2
V329,75,2
V331,86,2
V332,249,2
V333,140,2
V335,134,2
V336,101,2
V338,138,2
id_01,986,2
id_02,2982,2
id_03,458,2
id_05,1463,2
id_06,1661,2
id_09,451,2
id_11,239,2
id_12,66,2
id_13,1184,2
id_14,540,2
id_15,287,2
id_17,352,2
id_19,2355,2
id_20,3009,2
id_30,1609,2
id_31,3773,2
id_32,165,2
id_33,1378,2
id_36,73,2
id_37,118,2
id_38,259,2
DeviceType,314,2
DeviceInfo,2485,2
f103__TransactionAmt_decimal,3237,2
f103__card1_count_full,8575,2
f103__Transaction_day_of_week,2253,2
f103__Transaction_hour,3871,2
f103__id_02__id_20,1253,2
f103__id_02__D8,955,2
f103__D11__DeviceInfo,2211,2
f103__DeviceInfo__P_emaildomain,3027,2
f103__P_emaildomain__C2,5168,2
f103__card2__dist1,4921,2
f103__card1__card5,6344,2
f103__card2__id_20,3970,2
