feature,gain,fold
TransactionAmt,7521,1
ProductCD,238,1
card1,12862,1
card2,4890,1
card3,528,1
card4,70,1
card5,2020,1
card6,284,1
addr1,5576,1
addr2,123,1
dist1,4097,1
P_emaildomain,2288,1
R_emaildomain,955,1
C1,4515,1
C2,1925,1
C4,244,1
C5,827,1
C6,1469,1
C7,134,1
C8,498,1
C9,992,1
C10,512,1
C11,1652,1
C12,424,1
C13,4229,1
C14,1511,1
D1,4088,1
D2,4577,1
D3,2590,1
D4,4479,1
D5,1980,1
D6,919,1
D8,2560,1
D9,863,1
D10,4312,1
D11,3028,1
D12,763,1
D13,603,1
D14,676,1
D15,5688,1
M2,364,1
M3,675,1
M4,1632,1
M5,1441,1
M6,1384,1
M7,507,1
M8,525,1
M9,634,1
V3,196,1
V4,355,1
V5,403,1
V6,142,1
V7,228,1
V8,50,1
V9,104,1
V10,232,1
V11,210,1
V12,658,1
V13,670,1
V17,56,1
V19,617,1
V20,699,1
V29,409,1
V30,385,1
V33,183,1
V34,180,1
V35,655,1
V36,628,1
V37,337,1
V38,597,1
V40,269,1
V44,615,1
V45,1025,1
V46,125,1
V47,343,1
V48,415,1
V49,509,1
V51,232,1
V52,343,1
V53,708,1
V54,761,1
V56,432,1
V58,260,1
V59,99,1
V60,149,1
V61,688,1
V62,951,1
V63,103,1
V64,206,1
V69,408,1
V70,469,1
V71,114,1
V72,168,1
V73,189,1
V74,376,1
V75,757,1
V76,795,1
V78,645,1
V80,74,1
V81,194,1
V82,814,1
V83,892,1
V84,57,1
V85,137,1
V87,865,1
V90,360,1
V91,511,1
V92,89,1
V93,133,1
V94,195,1
V95,97,1
V96,467,1
V97,185,1
V99,428,1
V100,109,1
V126,430,1
V127,1119,1
V128,674,1
V130,1021,1
V131,620,1
V138,5,1
V139,200,1
V140,199,1
V143,189,1
V145,147,1
V146,62,1
V147,72,1
V149,272,1
V150,130,1
V151,84,1
V152,222,1
V154,123,1
V156,232,1
V158,88,1
V159,118,1
V160,284,1
V161,107,1
V162,125,1
V163,70,1
V164,130,1
V165,385,1
V166,128,1
V167,49,1
V169,129,1
V170,173,1
V171,118,1
V172,35,1
V173,31,1
V175,60,1
V176,48,1
V177,62,1
V178,118,1
V180,71,1
V182,51,1
V184,52,1
V187,279,1
V188,77,1
V189,176,1
V195,26,1
V197,41,1
V200,118,1
V201,160,1
V202,141,1
V203,332,1
V204,233,1
V205,133,1
V206,91,1
V207,188,1
V208,225,1
V209,254,1
V210,200,1
V212,222,1
V213,150,1
V214,89,1
V215,154,1
V216,134,1
V217,152,1
V219,131,1
V220,113,1
V221,201,1
V222,189,1
V223,98,1
V224,88,1
V225,63,1
V226,53,1
V227,44,1
V228,83,1
V229,162,1
V231,86,1
V233,104,1
V234,108,1
V238,35,1
V239,53,1
V242,59,1
V243,196,1
V244,71,1
V245,175,1
V246,88,1
V247,20,1
V249,38,1
V251,170,1
V253,102,1
V256,127,1
V257,205,1
V258,358,1
V259,163,1
V261,241,1
V262,144,1
V263,226,1
V264,412,1
V265,286,1
V266,271,1
V267,368,1
V268,195,1
V270,203,1
V271,265,1
V272,193,1
V273,130,1
V274,306,1
V275,197,1
V276,151,1
V277,237,1
V278,167,1
V279,310,1
V280,352,1
V282,1076,1
V283,1004,1
V285,924,1
V287,164,1
V288,214,1
V289,285,1
V291,443,1
V292,227,1
V294,497,1
V303,58,1
V304,41,1
V306,665,1
V307,1922,1
V308,1109,1
V310,2060,1
V312,978,1
V313,1599,1
V314,1249,1
V315,1350,1
V317,917,1
V322,53,1
V323,173,1
V324,98,1
V326,82,1
V329,53,1
V331,77,1
V332,200,1
V333,123,1
V335,116,1
V336,69,1
V338,69,1
id_01,794,1
id_02,2161,1
id_03,342,1
id_05,1213,1
id_06,1213,1
id_09,430,1
id_11,171,1
id_12,52,1
id_13,788,1
id_14,373,1
id_15,242,1
id_17,263,1
id_19,1697,1
id_20,2335,1
id_30,1181,1
id_31,2533,1
id_32,102,1
id_33,1001,1
