feature,gain,fold
TransactionAmt,20909,1
ProductCD,901,1
card1,26275,1
card2,18070,1
card3,988,1
card4,2137,1
card5,6697,1
card6,2504,1
addr1,17135,1
addr2,89,1
dist1,7627,1
dist2,2454,1
P_emaildomain,5701,1
R_emaildomain,1612,1
C1,4009,1
C2,3334,1
C3,153,1
C4,402,1
C5,1316,1
C6,2839,1
C7,181,1
C8,702,1
C9,2250,1
C10,793,1
C11,2571,1
C12,933,1
C13,6954,1
C14,3103,1
D1,5112,1
D2,6111,1
D3,3032,1
D4,6769,1
D5,2843,1
D6,1102,1
D7,421,1
D8,4829,1
D9,1883,1
D10,7730,1
D11,5909,1
D12,1075,1
D13,1169,1
D14,2006,1
D15,10900,1
M1,101,1
M2,738,1
M3,1498,1
M4,3506,1
M5,3400,1
M6,3391,1
M7,1327,1
M8,1424,1
M9,1358,1
V1,15,1
V2,219,1
V3,297,1
V4,529,1
V5,742,1
V6,222,1
V7,378,1
V8,86,1
V9,122,1
V10,420,1
V11,361,1
V12,972,1
V13,879,1
V14,3,1
V15,56,1
V16,52,1
V17,63,1
V18,45,1
V19,645,1
V20,806,1
V21,29,1
V22,28,1
V23,305,1
V24,529,1
V25,280,1
V26,194,1
V27,1,1
V28,0,1
V29,430,1
V30,330,1
V31,25,1
V32,26,1
V33,161,1
V34,230,1
V35,1040,1
V36,960,1
V37,553,1
V38,883,1
V39,125,1
V40,184,1
V41,0,1
V42,72,1
V43,229,1
V44,695,1
V45,1273,1
V46,204,1
V47,445,1
V48,527,1
V49,521,1
V50,51,1
V51,268,1
V52,269,1
V53,1162,1
V54,1141,1
V55,460,1
V56,668,1
V57,120,1
V58,263,1
V59,115,1
V60,173,1
V61,967,1
V62,1282,1
V63,115,1
V64,228,1
V65,1,1
V66,451,1
V67,649,1
V68,2,1
V69,444,1
V70,534,1
V71,37,1
V72,105,1
V73,154,1
V74,263,1
V75,1194,1
V76,1124,1
V77,717,1
V78,1000,1
V79,219,1
V80,135,1
V81,374,1
V82,1363,1
V83,1504,1
V84,50,1
V85,140,1
V86,759,1
V87,1257,1
V88,0,1
V89,1,1
V90,460,1
V91,519,1
V92,58,1
V93,89,1
