feature,gain,fold
TransactionAmt,1832,1
ProductCD,540,1
card1,3362,1
card2,2362,1
card3,62,1
card4,266,1
card5,397,1
card6,422,1
addr1,2614,1
addr2,22,1
dist1,1980,1
dist2,852,1
P_emaildomain,3388,1
R_emaildomain,1160,1
C1,1802,1
C2,1161,1
C3,188,1
C4,171,1
C5,457,1
C6,1039,1
C7,101,1
C8,486,1
C9,767,1
C10,385,1
C11,1212,1
C12,508,1
C13,2969,1
C14,1449,1
D1,804,1
D2,931,1
D3,224,1
D4,441,1
D5,223,1
D6,106,1
D7,31,1
D8,480,1
D9,557,1
D10,513,1
D11,308,1
D12,96,1
D13,29,1
D14,147,1
D15,661,1
M1,15,1
M2,318,1
M3,601,1
M4,1151,1
M5,1225,1
M6,1142,1
M7,315,1
M8,237,1
M9,328,1
V1,0,1
V2,46,1
V3,72,1
V4,106,1
V5,166,1
V6,57,1
V7,81,1
V8,35,1
V9,24,1
V10,121,1
V11,88,1
V12,225,1
V13,184,1
V14,0,1
V15,9,1
V16,6,1
V17,10,1
V18,6,1
V19,159,1
V20,282,1
V21,3,1
V22,6,1
V23,84,1
V24,141,1
V25,74,1
V26,66,1
V27,0,1
V28,0,1
V29,218,1
V30,143,1
V31,3,1
V32,14,1
V33,47,1
V34,39,1
V35,184,1
V36,168,1
V37,182,1
V38,299,1
V39,49,1
V40,74,1
V41,0,1
V42,57,1
V43,91,1
V44,208,1
V45,617,1
V46,23,1
V47,121,1
V48,264,1
V49,206,1
V50,6,1
V51,47,1
V52,122,1
V53,329,1
V54,418,1
V55,288,1
V56,206,1
V57,27,1
V58,108,1
V59,33,1
V60,70,1
V61,256,1
V62,543,1
V63,35,1
V64,128,1
V65,1,1
V66,149,1
V67,342,1
V68,0,1
V69,135,1
V70,318,1
V71,8,1
V72,38,1
V73,41,1
V74,124,1
V75,279,1
V76,383,1
V77,177,1
V78,348,1
V79,109,1
V80,38,1
V81,190,1
V82,408,1
V83,533,1
V84,7,1
V85,97,1
V86,269,1
V87,692,1
V88,1,1
V89,0,1
V90,199,1
V91,246,1
V92,16,1
V93,28,1
V94,89,1
V95,4,1
V96,82,1
V97,30,1
V98,13,1
V99,112,1
V100,5,1
V101,4,1
V102,67,1
V103,15,1
V104,3,1
V105,61,1
V106,9,1
V107,0,1
V108,52,1
V109,61,1
V110,11,1
V111,20,1
V112,23,1
V113,0,1
V114,18,1
V115,53,1
V116,10,1
V117,1,1
V118,2,1
V119,0,1
V120,0,1
V121,4,1
V122,0,1
V123,30,1
V124,79,1
V125,22,1
V126,55,1
V127,245,1
V128,136,1
V129,165,1
V130,309,1
V131,206,1
V132,54,1
V133,225,1
V134,59,1
V135,72,1
V136,227,1
V137,69,1
V138,6,1
V139,192,1
V140,70,1
V141,12,1
V142,2,1
V143,267,1
V144,12,1
V145,60,1
V146,47,1
V147,84,1
