feature,gain,fold
TransactionAmt,1640,1
ProductCD,407,1
card1,3187,1
card2,2270,1
card3,42,1
card4,200,1
card5,434,1
card6,349,1
addr1,2481,1
addr2,17,1
dist1,2028,1
dist2,834,1
P_emaildomain,2411,1
R_emaildomain,833,1
C1,1613,1
C2,1066,1
C3,126,1
C4,153,1
C5,362,1
C6,931,1
C7,92,1
C8,456,1
C9,622,1
C10,322,1
C11,1089,1
C12,403,1
C13,2616,1
C14,1375,1
D1,863,1
D2,951,1
D3,338,1
D4,488,1
D5,246,1
D6,81,1
D7,37,1
D8,413,1
D9,483,1
D10,471,1
D11,355,1
D12,70,1
D13,45,1
D14,132,1
D15,866,1
M1,6,1
M2,269,1
M3,540,1
M4,1072,1
M5,1114,1
M6,1033,1
M7,229,1
M8,302,1
M9,259,1
V1,1,1
V2,23,1
V3,71,1
V4,113,1
V5,191,1
V6,43,1
V7,85,1
V8,12,1
V9,55,1
V10,108,1
V11,94,1
V12,205,1
V13,212,1
V14,0,1
V15,15,1
V16,16,1
V17,11,1
V18,6,1
V19,203,1
V20,288,1
V21,11,1
V22,6,1
V23,103,1
V24,142,1
V25,70,1
V26,58,1
V27,0,1
V28,0,1
V29,172,1
V30,129,1
V31,5,1
V32,7,1
V33,46,1
V34,45,1
V35,229,1
V36,176,1
V37,135,1
V38,250,1
V39,41,1
V40,83,1
V41,0,1
V42,14,1
V43,62,1
V44,219,1
V45,653,1
V46,17,1
V47,120,1
V48,272,1
V49,210,1
V50,4,1
V51,42,1
V52,125,1
V53,338,1
V54,402,1
V55,220,1
V56,167,1
V57,16,1
V58,55,1
V59,24,1
V60,51,1
V61,199,1
V62,450,1
V63,29,1
V64,128,1
V65,0,1
V66,152,1
V67,321,1
V68,0,1
V69,134,1
V70,299,1
V71,4,1
V72,27,1
V73,30,1
V74,118,1
V75,267,1
V76,339,1
V77,184,1
V78,354,1
V79,48,1
V80,19,1
V81,148,1
V82,304,1
V83,416,1
V84,19,1
V85,71,1
V86,259,1
V87,609,1
V88,0,1
V89,0,1
V90,174,1
V91,207,1
V92,11,1
V93,17,1
V94,76,1
V95,13,1
V96,115,1
V97,34,1
V98,11,1
V99,107,1
V100,18,1
V101,16,1
V102,67,1
V103,18,1
V104,2,1
V105,47,1
V106,8,1
V107,0,1
V108,12,1
V109,42,1
V110,10,1
V111,8,1
V112,4,1
V113,1,1
V114,18,1
V115,70,1
V116,14,1
V117,0,1
V118,1,1
V119,0,1
V120,0,1
V121,2,1
V122,0,1
V123,33,1
V124,90,1
V125,34,1
V126,149,1
V127,399,1
