feature,gain,fold
TransactionAmt,1413,1
ProductCD,557,1
card1,2875,1
card2,2033,1
card3,34,1
card4,228,1
card5,315,1
card6,328,1
addr1,2301,1
addr2,27,1
dist1,2055,1
dist2,1007,1
P_emaildomain,2472,1
R_emaildomain,1119,1
C1,1588,1
C2,944,1
C3,128,1
C4,207,1
C5,487,1
C6,909,1
C7,85,1
C8,340,1
C9,630,1
C10,331,1
C11,1042,1
C12,369,1
C13,2591,1
C14,1173,1
D1,686,1
D2,861,1
D3,205,1
D4,454,1
D5,172,1
D6,181,1
D7,25,1
D8,362,1
D9,621,1
D10,522,1
D11,202,1
D12,82,1
D13,26,1
D14,133,1
D15,658,1
M1,7,1
M2,198,1
M3,504,1
M4,975,1
M5,1158,1
M6,1065,1
M7,178,1
M8,158,1
M9,207,1
V1,0,1
V2,37,1
V3,21,1
V4,72,1
V5,113,1
V6,49,1
V7,52,1
V8,10,1
V9,9,1
V10,96,1
V11,78,1
V12,202,1
V13,207,1
V14,0,1
V15,7,1
V16,7,1
V17,11,1
V18,10,1
V19,179,1
V20,205,1
V21,3,1
V22,15,1
V23,81,1
V24,113,1
V25,36,1
V26,27,1
V27,0,1
V28,0,1
V29,144,1
V30,183,1
V31,4,1
V32,3,1
V33,20,1
V34,47,1
V35,124,1
V36,175,1
V37,127,1
V38,275,1
V39,33,1
V40,86,1
V41,0,1
V42,40,1
V43,81,1
V44,228,1
V45,465,1
V46,21,1
V47,131,1
V48,157,1
V49,180,1
V50,10,1
V51,35,1
V52,106,1
V53,280,1
V54,422,1
V55,167,1
V56,136,1
V57,22,1
V58,121,1
V59,27,1
V60,81,1
V61,344,1
V62,471,1
V63,40,1
V64,85,1
V65,0,1
V66,146,1
V67,363,1
V68,0,1
V69,142,1
V70,301,1
V71,13,1
V72,29,1
V73,32,1
V74,92,1
V75,267,1
V76,241,1
V77,171,1
V78,306,1
V79,131,1
V80,31,1
V81,85,1
V82,402,1
V83,608,1
V84,8,1
V85,44,1
V86,219,1
V87,493,1
V88,0,1
V89,0,1
V90,171,1
V91,169,1
V92,9,1
V93,34,1
V94,26,1
V95,5,1
V96,63,1
