feature,gain,fold
TransactionAmt,1497,1
ProductCD,445,1
card1,2864,1
card2,2152,1
card3,35,1
card4,223,1
card5,306,1
card6,384,1
addr1,2402,1
addr2,26,1
dist1,2080,1
dist2,808,1
P_emaildomain,2613,1
R_emaildomain,987,1
C1,1782,1
C2,1070,1
C3,64,1
C4,217,1
C5,458,1
C6,1002,1
C7,82,1
C8,417,1
C9,755,1
C10,314,1
C11,1170,1
C12,484,1
C13,2867,1
C14,1319,1
D1,737,1
D2,859,1
D3,258,1
D4,417,1
D5,204,1
D6,157,1
D7,32,1
D8,369,1
D9,602,1
D10,443,1
D11,291,1
D12,51,1
D13,29,1
D14,135,1
D15,634,1
M1,10,1
M2,179,1
M3,572,1
M4,1154,1
M5,1208,1
M6,1133,1
M7,223,1
M8,188,1
M9,306,1
V1,1,1
V2,22,1
V3,32,1
V4,81,1
V5,126,1
V6,20,1
V7,62,1
V8,18,1
V9,19,1
V10,81,1
V11,72,1
V12,209,1
V13,229,1
V14,1,1
V15,4,1
V16,6,1
V17,12,1
V18,10,1
V19,146,1
V20,226,1
V21,8,1
V22,7,1
V23,81,1
V24,122,1
V25,33,1
V26,62,1
V27,0,1
V28,0,1
V29,219,1
V30,142,1
V31,4,1
V32,5,1
V33,25,1
V34,18,1
V35,154,1
V36,177,1
V37,163,1
V38,274,1
V39,39,1
V40,89,1
V41,0,1
V42,19,1
V43,91,1
V44,195,1
V45,597,1
V46,23,1
V47,144,1
V48,178,1
V49,231,1
V50,4,1
V51,33,1
V52,109,1
V53,278,1
V54,448,1
V55,204,1
V56,153,1
V57,46,1
V58,134,1
V59,46,1
V60,97,1
V61,224,1
V62,491,1
V63,52,1
V64,112,1
V65,0,1
V66,122,1
V67,337,1
V68,0,1
V69,169,1
V70,327,1
V71,18,1
V72,46,1
V73,28,1
V74,141,1
V75,279,1
V76,291,1
V77,220,1
V78,303,1
V79,141,1
V80,30,1
V81,97,1
V82,365,1
V83,467,1
V84,5,1
V85,46,1
V86,228,1
V87,526,1
V88,1,1
V89,0,1
V90,177,1
V91,221,1
V92,9,1
V93,42,1
V94,59,1
V95,16,1
V96,88,1
V97,18,1
V98,8,1
V99,106,1
V100,6,1
V101,18,1
V102,71,1
V103,13,1
V104,6,1
V105,54,1
V106,13,1
V107,0,1
V108,44,1
V109,32,1
V110,7,1
V111,7,1
V112,5,1
V113,4,1
V114,10,1
V115,38,1
V116,10,1
V117,0,1
V118,0,1
V119,0,1
V120,0,1
V121,1,1
V122,0,1
V123,27,1
V124,78,1
V125,39,1
V126,86,1
V127,256,1
V128,162,1
V129,100,1
V130,272,1
V131,157,1
V132,45,1
V133,154,1
V134,64,1
V135,56,1
V136,221,1
V137,79,1
V138,3,1
V139,115,1
V140,36,1
V141,1,1
V142,3,1
V143,121,1
V144,21,1
V145,51,1
V146,36,1
V147,64,1
V148,15,1
V149,209,1
V150,49,1
V151,22,1
V152,185,1
V153,22,1
V154,55,1
V155,20,1
V156,246,1
V157,11,1
V158,11,1
V159,48,1
V160,135,1
V161,49,1
V162,123,1
V163,37,1
V164,79,1
V165,363,1
V166,36,1
V167,23,1
V168,24,1
V169,235,1
V170,75,1
V171,42,1
V172,66,1
V173,14,1
V174,6,1
V175,17,1
V176,23,1
V177,14,1
V178,43,1
V179,18,1
V180,14,1
V181,11,1
V182,34,1
V183,10,1
V184,52,1
V185,14,1
V186,16,1
V187,298,1
V188,55,1
V189,256,1
V190,21,1
V191,16,1
V192,21,1
V193,13,1
V194,15,1
V195,1,1
V196,13,1
V197,41,1
V198,18,1
V199,34,1
V200,51,1
V201,86,1
V202,59,1
V203,128,1
V204,52,1
V205,105,1
V206,78,1
V207,133,1
V208,103,1
V209,143,1
V210,83,1
V211,46,1
V212,102,1
V213,54,1
V214,55,1
V215,92,1
V216,86,1
V217,73,1
V218,66,1
V219,40,1
V220,112,1
V221,124,1
V222,71,1
V223,72,1
V224,54,1
V225,19,1
V226,21,1
V227,10,1
V228,30,1
V229,70,1
V230,29,1
V231,45,1
V232,47,1
V233,42,1
V234,64,1
V235,17,1
V236,16,1
V237,11,1
V238,38,1
V239,47,1
V240,0,1
V241,0,1
V242,40,1
V243,176,1
V244,59,1
V245,128,1
V246,56,1
V247,11,1
V248,46,1
V249,16,1
V250,21,1
V251,119,1
V252,5,1
V253,57,1
V254,34,1
V255,12,1
V256,190,1
V257,139,1
V258,386,1
V259,122,1
V260,40,1
V261,230,1
V262,89,1
V263,72,1
V264,228,1
V265,122,1
V266,239,1
V267,180,1
V268,99,1
V269,0,1
V270,92,1
V271,152,1
V272,77,1
V273,53,1
V274,175,1
V275,79,1
V276,98,1
V277,144,1
V278,97,1
V279,101,1
V280,48,1
V281,290,1
V282,184,1
V283,350,1
V284,9,1
V285,249,1
V286,62,1
V287,30,1
V288,29,1
V289,67,1
V290,46,1
V291,104,1
V292,40,1
V293,79,1
V294,286,1
V295,39,1
V296,161,1
V297,6,1
V298,64,1
V299,10,1
V300,61,1
V301,62,1
V302,10,1
V303,31,1
V304,13,1
V305,0,1
V306,105,1
V307,764,1
V308,350,1
V309,188,1
V310,586,1
V311,295,1
V312,268,1
V313,517,1
V314,321,1
V315,390,1
V316,94,1
V317,277,1
V318,86,1
V319,39,1
V320,340,1
V321,59,1
V322,16,1
V323,89,1
V324,50,1
V325,0,1
V326,11,1
V327,6,1
V328,1,1
V329,18,1
V330,5,1
V331,27,1
V332,78,1
V333,39,1
V334,6,1
V335,37,1
V336,33,1
V337,12,1
V338,43,1
V339,26,1
is_december,153,1
is_holiday,13,1
card1_fq_enc,736,1
card2_fq_enc,1428,1
card3_fq_enc,46,1
card5_fq_enc,137,1
uid_fq_enc,651,1
uid2_fq_enc,625,1
uid3_fq_enc,941,1
uid4_fq_enc,1449,1
uid5_fq_enc,1096,1
card3_DT_D_hour_dist,2016,1
card3_DT_W_week_day_dist,1634,1
card3_DT_M_month_day_dist,1451,1
card3_DT_D_hour_dist_best,1670,1
card3_DT_W_week_day_dist_best,639,1
card3_DT_M_month_day_dist_best,1545,1
card5_DT_D_hour_dist,1625,1
card5_DT_W_week_day_dist,1540,1
card5_DT_M_month_day_dist,1385,1
card5_DT_D_hour_dist_best,1472,1
card5_DT_W_week_day_dist_best,705,1
card5_DT_M_month_day_dist_best,2045,1
bank_type_DT_D_hour_dist,1705,1
bank_type_DT_W_week_day_dist,1323,1
