feature,gain,fold
TransactionAmt,449,1
ProductCD,129,1
card1,775,1
card2,558,1
card3,10,1
card4,44,1
card5,129,1
card6,112,1
addr1,559,1
addr2,22,1
dist1,445,1
dist2,230,1
P_emaildomain,223,1
R_emaildomain,119,1
C1,608,1
C2,239,1
C3,2,1
C4,99,1
C5,95,1
C6,237,1
C7,64,1
C8,163,1
C9,102,1
C10,93,1
C11,222,1
C12,106,1
C13,759,1
C14,516,1
D1,144,1
D2,403,1
D3,80,1
D4,68,1
D5,72,1
D6,43,1
D7,6,1
D8,52,1
D9,116,1
D10,159,1
D11,55,1
D12,13,1
D13,3,1
D14,23,1
D15,171,1
M1,5,1
M2,44,1
M3,83,1
M4,225,1
M5,234,1
M6,153,1
M7,59,1
M8,33,1
M9,52,1
V1,2,1
V2,3,1
V3,12,1
V4,21,1
V5,27,1
V6,2,1
V7,14,1
V8,2,1
V9,5,1
V10,110,1
V11,21,1
V12,45,1
V13,44,1
V14,0,1
V15,1,1
V16,2,1
V17,9,1
V18,2,1
V19,28,1
V20,57,1
V21,2,1
V22,1,1
V23,12,1
V24,25,1
V25,5,1
V26,11,1
V27,0,1
V28,0,1
V29,64,1
V30,53,1
V31,4,1
V32,1,1
V33,9,1
V34,9,1
V35,34,1
V36,35,1
V37,30,1
V38,50,1
V39,13,1
V40,28,1
V41,0,1
V42,5,1
V43,7,1
V44,125,1
V45,198,1
V46,9,1
V47,39,1
V48,115,1
V49,51,1
V50,3,1
V51,13,1
V52,20,1
V53,69,1
V54,109,1
V55,10,1
V56,44,1
V57,10,1
V58,18,1
V59,8,1
V60,14,1
V61,38,1
V62,119,1
V63,10,1
V64,14,1
V65,0,1
V66,25,1
V67,98,1
V68,0,1
V69,115,1
V70,125,1
V71,3,1
V72,8,1
V73,21,1
V74,31,1
V75,61,1
V76,63,1
V77,51,1
V78,57,1
V79,12,1
V80,8,1
V81,27,1
V82,38,1
V83,53,1
V84,1,1
V85,5,1
V86,80,1
V87,113,1
V88,0,1
V89,0,1
V90,92,1
V91,50,1
V92,3,1
V93,5,1
V94,3,1
V95,19,1
V96,53,1
V97,31,1
V98,2,1
V99,32,1
V100,5,1
V101,2,1
V102,27,1
V103,15,1
V104,0,1
V105,7,1
V106,7,1
V107,0,1
V108,0,1
V109,6,1
V110,2,1
V111,1,1
V112,0,1
V113,0,1
V114,1,1
V115,1,1
V116,1,1
V117,0,1
V118,0,1
V119,0,1
V120,0,1
V121,0,1
V122,0,1
V123,3,1
V124,18,1
V125,1,1
V126,74,1
V127,109,1
V128,94,1
V129,32,1
V130,66,1
V131,61,1
V132,18,1
V133,53,1
V134,19,1
V135,6,1
V136,35,1
V137,32,1
V138,0,1
V139,15,1
V140,19,1
V141,1,1
V142,0,1
V143,37,1
V144,4,1
V145,7,1
V146,5,1
V147,7,1
V148,11,1
V149,42,1
V150,40,1
V151,7,1
V152,32,1
V153,1,1
V154,5,1
V155,10,1
V156,30,1
V157,9,1
V158,17,1
V159,14,1
V160,29,1
V161,9,1
V162,35,1
V163,7,1
V164,18,1
V165,57,1
V166,8,1
V167,18,1
V168,26,1
V169,10,1
V170,24,1
V171,50,1
V172,7,1
V173,2,1
V174,4,1
V175,4,1
V176,8,1
V177,8,1
V178,15,1
V179,12,1
V180,5,1
V181,3,1
V182,3,1
V183,3,1
V184,2,1
V185,3,1
V186,8,1
V187,67,1
V188,24,1
V189,44,1
V190,20,1
V191,0,1
V192,8,1
V193,5,1
V194,11,1
V195,9,1
V196,2,1
V197,6,1
V198,11,1
V199,11,1
V200,37,1
V201,94,1
V202,47,1
V203,122,1
V204,53,1
V205,38,1
V206,20,1
V207,47,1
V208,15,1
V209,28,1
V210,19,1
V211,24,1
V212,38,1
V213,13,1
V214,16,1
V215,24,1
V216,15,1
V217,31,1
V218,59,1
V219,102,1
V220,15,1
V221,54,1
V222,36,1
V223,15,1
V224,20,1
V225,7,1
V226,4,1
V227,4,1
V228,16,1
V229,36,1
V230,32,1
V231,25,1
V232,38,1
V233,78,1
V234,12,1
V235,4,1
V236,7,1
V237,4,1
V238,9,1
V239,10,1
V240,0,1
V241,0,1
V242,14,1
V243,52,1
V244,48,1
V245,22,1
V246,51,1
V247,4,1
V248,20,1
V249,11,1
V250,3,1
V251,4,1
V252,6,1
V253,40,1
V254,33,1
V255,4,1
V256,19,1
V257,94,1
V258,367,1
V259,48,1
V260,24,1
V261,31,1
V262,24,1
V263,82,1
V264,135,1
V265,151,1
V266,98,1
V267,39,1
V268,37,1
V269,0,1
V270,19,1
V271,35,1
V272,20,1
V273,37,1
V274,84,1
V275,62,1
V276,29,1
V277,34,1
V278,18,1
V279,68,1
V280,254,1
V281,73,1
V282,64,1
V283,295,1
V284,6,1
V285,58,1
V286,6,1
V287,18,1
V288,8,1
V289,11,1
V290,8,1
V291,21,1
V292,11,1
V293,5,1
V294,324,1
V295,52,1
V296,44,1
V297,5,1
V298,21,1
V299,0,1
V300,8,1
V301,7,1
V302,1,1
V303,4,1
V304,6,1
V305,0,1
V306,121,1
V307,641,1
V308,353,1
V309,84,1
V310,155,1
V311,62,1
