feature,gain,fold
TransactionAmt,1721,1
ProductCD,502,1
card1,3478,1
card2,2549,1
card3,56,1
card4,238,1
card5,400,1
card6,423,1
addr1,2791,1
addr2,24,1
dist1,1245,1
dist2,1033,1
P_emaildomain,2917,1
R_emaildomain,1148,1
C1,2015,1
C2,1152,1
C3,65,1
C4,199,1
C5,440,1
C6,1149,1
C7,93,1
C8,418,1
C9,822,1
C10,363,1
C11,1290,1
C12,594,1
C13,2115,1
C14,1295,1
D1,778,1
D2,975,1
D3,326,1
D4,552,1
D5,262,1
D6,181,1
D7,34,1
D8,423,1
D9,680,1
D10,519,1
D11,358,1
D12,77,1
D13,45,1
D14,184,1
D15,751,1
M1,11,1
M2,208,1
M3,590,1
M4,1236,1
M5,1320,1
M6,1184,1
M7,237,1
M8,194,1
M9,351,1
V1,1,1
V2,27,1
V3,41,1
V4,89,1
V5,153,1
V6,22,1
V7,54,1
V8,30,1
V9,33,1
V10,119,1
V11,90,1
V12,245,1
V13,258,1
V14,0,1
V15,9,1
V16,10,1
V17,11,1
V18,20,1
V19,173,1
V20,248,1
V21,5,1
V22,7,1
V23,96,1
V24,104,1
V25,56,1
V26,53,1
V27,0,1
V28,0,1
V29,229,1
V30,171,1
V31,3,1
V32,4,1
V33,25,1
V34,33,1
V35,193,1
V36,191,1
V37,166,1
V38,311,1
V39,43,1
V40,101,1
V41,0,1
V42,29,1
V43,122,1
V44,262,1
V45,642,1
V46,23,1
V47,154,1
V48,213,1
V49,249,1
V50,9,1
V51,41,1
V52,122,1
V53,299,1
V54,494,1
V55,246,1
V56,158,1
V57,42,1
V58,148,1
V59,43,1
V60,116,1
V61,250,1
V62,526,1
V63,44,1
V64,141,1
V65,0,1
V66,151,1
V67,367,1
V68,0,1
V69,205,1
V70,345,1
V71,14,1
V72,50,1
V73,24,1
V74,143,1
V75,290,1
V76,349,1
V77,296,1
V78,385,1
V79,128,1
V80,42,1
V81,132,1
V82,402,1
V83,518,1
V84,8,1
V85,51,1
V86,253,1
V87,586,1
V88,0,1
V89,0,1
V90,206,1
V91,254,1
V92,14,1
V93,65,1
V94,55,1
V95,10,1
V96,85,1
V97,32,1
V98,8,1
V99,110,1
V100,11,1
V101,13,1
V102,85,1
V103,12,1
V104,1,1
V105,67,1
V106,7,1
V107,0,1
V108,56,1
V109,25,1
V110,17,1
V111,3,1
V112,4,1
V113,3,1
V114,3,1
V115,40,1
V116,11,1
V117,0,1
V118,1,1
V119,0,1
V120,0,1
V121,0,1
V122,0,1
V123,44,1
V124,82,1
V125,43,1
V126,108,1
V127,310,1
V128,198,1
V129,123,1
V130,293,1
V131,182,1
V132,40,1
V133,158,1
V134,66,1
V135,69,1
