feature,gain,fold
TransactionAmt,3642,1
ProductCD,789,1
card1,6635,1
card2,4934,1
card3,70,1
card4,385,1
card5,790,1
card6,591,1
addr1,5292,1
addr2,46,1
dist1,4708,1
dist2,2386,1
P_emaildomain,5445,1
R_emaildomain,1682,1
C1,3285,1
C2,2148,1
C3,188,1
C4,296,1
C5,833,1
C6,1824,1
C7,178,1
C8,833,1
C9,1329,1
C10,706,1
C11,2031,1
C12,771,1
C13,4920,1
C14,2427,1
D1,1612,1
D2,1683,1
D3,632,1
D4,1001,1
D5,505,1
D6,282,1
D7,86,1
D8,901,1
D9,1090,1
D10,1107,1
D11,736,1
D12,214,1
D13,54,1
D14,306,1
D15,1686,1
M1,20,1
M2,465,1
M3,888,1
M4,2203,1
M5,2157,1
M6,1762,1
M7,648,1
M8,622,1
M9,648,1
V1,2,1
V2,79,1
V3,145,1
V4,235,1
V5,390,1
V6,121,1
V7,159,1
V8,104,1
V9,45,1
V10,247,1
V11,235,1
V12,479,1
V13,415,1
V14,0,1
V15,30,1
V16,9,1
V17,32,1
V18,21,1
V19,309,1
V20,464,1
V21,11,1
V22,8,1
V23,298,1
V24,302,1
V25,169,1
V26,91,1
V27,0,1
V28,0,1
V29,413,1
V30,267,1
V31,6,1
V32,21,1
V33,91,1
V34,76,1
V35,453,1
V36,398,1
V37,436,1
V38,560,1
V39,122,1
V40,142,1
V41,0,1
V42,86,1
V43,138,1
V44,580,1
V45,1041,1
V46,46,1
V47,264,1
V48,465,1
V49,328,1
V50,16,1
V51,108,1
V52,208,1
V53,557,1
V54,722,1
V55,489,1
V56,386,1
V57,49,1
V58,131,1
V59,65,1
V60,151,1
V61,441,1
V62,813,1
V63,75,1
V64,221,1
V65,0,1
V66,297,1
V67,521,1
V68,0,1
V69,344,1
V70,447,1
V71,28,1
V72,73,1
V73,68,1
V74,181,1
V75,619,1
V76,724,1
V77,488,1
V78,779,1
V79,173,1
V80,102,1
V81,311,1
V82,664,1
V83,839,1
V84,24,1
V85,143,1
V86,587,1
V87,1209,1
V88,0,1
V89,0,1
V90,354,1
V91,441,1
V92,25,1
V93,69,1
V94,126,1
V95,25,1
V96,194,1
V97,53,1
V98,17,1
V99,224,1
V100,29,1
V101,18,1
V102,113,1
V103,27,1
V104,11,1
V105,90,1
V106,21,1
V107,0,1
V108,119,1
V109,66,1
V110,27,1
V111,19,1
V112,36,1
V113,2,1
V114,19,1
V115,65,1
V116,43,1
V117,0,1
V118,24,1
V119,1,1
V120,3,1
V121,10,1
V122,14,1
V123,74,1
V124,203,1
V125,71,1
V126,283,1
V127,713,1
V128,328,1
V129,293,1
V130,749,1
V131,359,1
V132,128,1
V133,394,1
V134,126,1
V135,204,1
V136,347,1
V137,118,1
V138,4,1
V139,385,1
V140,142,1
V141,5,1
V142,3,1
V143,446,1
V144,70,1
V145,128,1
V146,70,1
V147,180,1
V148,28,1
V149,399,1
V150,159,1
V151,75,1
V152,214,1
V153,45,1
V154,81,1
V155,29,1
V156,406,1
V157,14,1
V158,26,1
V159,158,1
V160,255,1
V161,64,1
V162,102,1
V163,44,1
V164,179,1
V165,518,1
V166,150,1
V167,71,1
V168,51,1
V169,279,1
V170,178,1
V171,139,1
V172,79,1
V173,27,1
V174,28,1
V175,15,1
V176,134,1
V177,52,1
V178,107,1
V179,36,1
V180,58,1
V181,39,1
V182,50,1
V183,62,1
V184,89,1
V185,39,1
