feature,gain,fold
TransactionAmt,3429,1
ProductCD,687,1
card1,2246,1
card2,1595,1
card3,73,1
card4,105,1
card5,407,1
card6,380,1
addr1,2229,1
addr2,28,1
dist1,4135,1
dist2,2365,1
P_emaildomain,1986,1
R_emaildomain,1098,1
C1,3282,1
C2,2187,1
C3,31,1
C4,352,1
C5,569,1
C6,1655,1
C7,149,1
C8,616,1
C9,913,1
C10,659,1
C11,1976,1
C12,887,1
C13,4525,1
C14,1892,1
D1,1442,1
D2,1557,1
D3,446,1
D4,850,1
D5,355,1
D6,321,1
D7,50,1
D8,582,1
D9,1169,1
D10,923,1
D11,507,1
D12,132,1
D13,67,1
D14,242,1
D15,1402,1
M1,21,1
M2,365,1
M3,959,1
M4,1159,1
M5,2004,1
M6,2032,1
M7,496,1
M8,486,1
M9,606,1
V1,1,1
V2,44,1
V3,83,1
V4,180,1
V5,212,1
V6,24,1
V7,88,1
V8,15,1
V9,20,1
V10,197,1
V11,132,1
V12,467,1
V13,421,1
V14,1,1
V15,22,1
V16,12,1
V17,23,1
V18,28,1
V19,272,1
V20,287,1
V21,14,1
V22,16,1
V23,226,1
V24,198,1
V25,62,1
V26,35,1
V27,0,1
V28,0,1
V29,225,1
V30,243,1
V31,7,1
V32,5,1
V33,49,1
V34,55,1
V35,382,1
V36,300,1
V37,395,1
V38,533,1
V39,103,1
V40,158,1
V41,0,1
V42,82,1
V43,175,1
V44,653,1
V45,1218,1
V46,60,1
V47,255,1
V48,214,1
V49,258,1
V50,21,1
V51,83,1
V52,184,1
V53,616,1
V54,683,1
V55,395,1
V56,391,1
V57,72,1
V58,228,1
V59,97,1
V60,167,1
V61,423,1
V62,619,1
V63,96,1
V64,225,1
V65,0,1
V66,174,1
V67,448,1
V68,0,1
V69,228,1
V70,387,1
V71,33,1
V72,98,1
V73,74,1
V74,255,1
V75,619,1
V76,533,1
V77,488,1
V78,668,1
V79,193,1
V80,47,1
V81,127,1
V82,479,1
V83,687,1
V84,26,1
V85,80,1
V86,560,1
V87,955,1
V88,0,1
V89,0,1
V90,191,1
V91,281,1
V92,19,1
V93,80,1
V94,68,1
V95,43,1
V96,250,1
V97,91,1
V98,9,1
V99,228,1
V100,24,1
V101,19,1
V102,92,1
V103,22,1
V104,2,1
V105,86,1
V106,14,1
V107,0,1
V108,54,1
V109,18,1
V110,12,1
V111,8,1
V112,2,1
V113,2,1
V114,18,1
V115,26,1
V116,14,1
V117,1,1
V118,1,1
V119,0,1
V120,0,1
V121,0,1
V122,0,1
V123,76,1
V124,127,1
V125,89,1
V126,268,1
V127,928,1
V128,497,1
V129,158,1
V130,746,1
V131,333,1
V132,87,1
V133,340,1
V134,116,1
V135,136,1
V136,289,1
V137,84,1
V138,4,1
V139,186,1
V140,64,1
V141,5,1
V142,1,1
V143,161,1
V144,18,1
V145,52,1
V146,48,1
V147,102,1
V148,12,1
V149,322,1
V150,62,1
V151,21,1
V152,230,1
V153,57,1
V154,99,1
V155,49,1
V156,336,1
V157,7,1
V158,22,1
V159,58,1
V160,119,1
V161,60,1
V162,92,1
V163,31,1
V164,107,1
V165,548,1
V166,50,1
V167,63,1
V168,64,1
V169,371,1
V170,162,1
V171,132,1
V172,92,1
V173,26,1
V174,21,1
V175,26,1
V176,83,1
V177,34,1
V178,86,1
V179,40,1
V180,45,1
V181,25,1
V182,49,1
V183,22,1
V184,79,1
V185,38,1
V186,36,1
V187,490,1
V188,154,1
V189,379,1
V190,59,1
V191,16,1
V192,35,1
V193,10,1
V194,12,1
V195,14,1
V196,18,1
V197,41,1
V198,27,1
V199,77,1
V200,156,1
V201,164,1
V202,185,1
V203,368,1
V204,204,1
V205,166,1
V206,117,1
V207,240,1
V208,196,1
V209,240,1
V210,126,1
V211,97,1
V212,225,1
V213,108,1
V214,103,1
V215,191,1
V216,133,1
V217,155,1
V218,164,1
V219,166,1
V220,191,1
V221,378,1
V222,231,1
V223,87,1
V224,136,1
V225,81,1
V226,44,1
V227,19,1
V228,81,1
V229,185,1
V230,86,1
V231,101,1
V232,118,1
V233,121,1
V234,144,1
V235,45,1
V236,45,1
V237,31,1
V238,60,1
V239,122,1
V240,0,1
V241,0,1
V242,139,1
V243,268,1
V244,186,1
V245,299,1
V246,125,1
V247,17,1
V248,77,1
V249,27,1
V250,49,1
V251,154,1
V252,17,1
V253,61,1
V254,15,1
V255,35,1
V256,294,1
V257,242,1
V258,401,1
V259,210,1
V260,133,1
V261,418,1
V262,129,1
V263,281,1
V264,631,1
V265,297,1
V266,339,1
V267,343,1
V268,225,1
V269,0,1
V270,127,1
V271,170,1
V272,118,1
V273,150,1
V274,353,1
V275,184,1
V276,203,1
V277,345,1
V278,206,1
V279,168,1
V280,121,1
V281,540,1
V282,435,1
V283,669,1
V284,25,1
V285,382,1
V286,42,1
V287,59,1
V288,46,1
V289,135,1
V290,112,1
V291,310,1
V292,83,1
V293,125,1
V294,477,1
V295,47,1
V296,206,1
V297,16,1
V298,66,1
V299,19,1
V300,66,1
V301,45,1
V302,5,1
V303,46,1
V304,18,1
V305,0,1
V306,327,1
V307,1914,1
V308,730,1
V309,317,1
V310,1579,1
V311,283,1
V312,688,1
V313,1193,1
V314,975,1
V315,793,1
V316,192,1
V317,716,1
V318,135,1
V319,33,1
V320,392,1
V321,66,1
V322,20,1
V323,133,1
V324,66,1
V325,1,1
V326,9,1
V327,1,1
V328,4,1
V329,10,1
V330,8,1
V331,23,1
V332,132,1
V333,65,1
V334,1,1
V335,29,1
V336,17,1
V337,27,1
V338,53,1
V339,32,1
is_december,39,1
is_holiday,25,1
uid,25111,1
uid2,23612,1
uid3,22461,1
uid4,26060,1
uid5,19603,1
card1_fq_enc,1695,1
card2_fq_enc,1228,1
card3_fq_enc,55,1
card5_fq_enc,180,1
uid_fq_enc,2282,1
uid2_fq_enc,2078,1
uid3_fq_enc,3862,1
uid4_fq_enc,6327,1
uid5_fq_enc,4235,1
card3_DT_D_hour_dist,6410,1
card3_DT_W_week_day_dist,4998,1
card3_DT_M_month_day_dist,4498,1
card3_DT_D_hour_dist_best,5405,1
card3_DT_W_week_day_dist_best,2072,1
card3_DT_M_month_day_dist_best,4430,1
card5_DT_D_hour_dist,5877,1
card5_DT_W_week_day_dist,5311,1
card5_DT_M_month_day_dist,4968,1
card5_DT_D_hour_dist_best,5149,1
card5_DT_W_week_day_dist_best,2445,1
card5_DT_M_month_day_dist_best,4877,1
bank_type_DT_D_hour_dist,5439,1
bank_type_DT_W_week_day_dist,4902,1
bank_type_DT_M_month_day_dist,4418,1
bank_type_DT_D_hour_dist_best,4245,1
bank_type_DT_W_week_day_dist_best,2026,1
