feature,gain,fold
TransactionAmt,1707,1
ProductCD,493,1
card1,3333,1
card2,2487,1
card3,40,1
card4,213,1
card5,348,1
card6,415,1
addr1,2723,1
addr2,24,1
dist1,2354,1
dist2,957,1
P_emaildomain,2832,1
R_emaildomain,1084,1
C1,1854,1
C2,1113,1
C3,62,1
C4,194,1
C5,483,1
C6,1064,1
C7,73,1
C8,425,1
C9,791,1
C10,316,1
C11,1200,1
C12,554,1
C13,2940,1
C14,1388,1
D1,750,1
D2,936,1
D3,289,1
D4,488,1
D5,235,1
D6,178,1
D7,32,1
D8,382,1
D9,635,1
D10,479,1
D11,305,1
D12,72,1
D13,40,1
D14,155,1
D15,664,1
M1,12,1
M2,192,1
M3,562,1
M4,1181,1
M5,1325,1
M6,1146,1
M7,268,1
M8,210,1
M9,405,1
V1,0,1
V2,27,1
V3,42,1
V4,104,1
V5,164,1
V6,28,1
V7,49,1
V8,29,1
V9,22,1
V10,105,1
V11,71,1
V12,231,1
V13,244,1
V14,1,1
V15,8,1
V16,9,1
V17,13,1
V18,11,1
V19,142,1
V20,230,1
V21,7,1
V22,6,1
V23,84,1
V24,120,1
V25,46,1
V26,61,1
V27,0,1
V28,0,1
V29,204,1
V30,138,1
V31,3,1
V32,2,1
V33,30,1
V34,31,1
V35,169,1
V36,171,1
V37,174,1
V38,270,1
V39,52,1
V40,89,1
V41,1,1
V42,20,1
V43,129,1
V44,221,1
V45,625,1
V46,32,1
V47,141,1
V48,179,1
V49,257,1
V50,6,1
V51,47,1
V52,127,1
V53,311,1
V54,467,1
V55,214,1
V56,198,1
V57,32,1
V58,145,1
V59,53,1
V60,109,1
V61,278,1
V62,521,1
V63,45,1
V64,117,1
V65,0,1
V66,147,1
V67,369,1
V68,0,1
V69,172,1
V70,334,1
V71,10,1
V72,60,1
V73,35,1
V74,148,1
V75,298,1
V76,340,1
V77,258,1
V78,357,1
V79,160,1
V80,35,1
V81,118,1
V82,395,1
V83,532,1
V84,5,1
V85,69,1
V86,248,1
V87,546,1
V88,0,1
V89,0,1
V90,203,1
V91,229,1
V92,14,1
V93,43,1
V94,67,1
V95,10,1
V96,92,1
V97,26,1
V98,5,1
V99,122,1
V100,15,1
V101,11,1
V102,70,1
V103,11,1
V104,5,1
V105,51,1
V106,13,1
V107,0,1
V108,54,1
V109,33,1
V110,13,1
V111,4,1
V112,4,1
V113,2,1
V114,4,1
V115,38,1
V116,9,1
V117,0,1
V118,1,1
V119,0,1
V120,0,1
V121,2,1
V122,0,1
V123,32,1
V124,68,1
V125,32,1
V126,100,1
V127,277,1
V128,182,1
V129,96,1
V130,296,1
V131,158,1
V132,57,1
V133,171,1
V134,51,1
V135,63,1
V136,230,1
V137,86,1
V138,7,1
V139,141,1
V140,35,1
V141,5,1
V142,6,1
V143,133,1
V144,19,1
V145,79,1
V146,40,1
V147,56,1
V148,19,1
V149,220,1
V150,75,1
V151,21,1
V152,220,1
V153,17,1
V154,68,1
V155,30,1
V156,257,1
V157,8,1
V158,23,1
V159,55,1
V160,140,1
V161,59,1
V162,122,1
V163,29,1
V164,101,1
V165,396,1
V166,46,1
V167,19,1
V168,26,1
V169,261,1
V170,85,1
V171,48,1
V172,69,1
V173,17,1
V174,16,1
V175,13,1
V176,19,1
V177,21,1
V178,47,1
V179,20,1
V180,25,1
V181,13,1
V182,30,1
V183,14,1
V184,75,1
V185,14,1
V186,19,1
V187,303,1
V188,70,1
V189,242,1
V190,28,1
V191,28,1
V192,19,1
V193,15,1
V194,10,1
V195,4,1
V196,11,1
V197,57,1
V198,19,1
V199,33,1
V200,67,1
V201,105,1
V202,68,1
V203,130,1
V204,82,1
V205,118,1
V206,89,1
V207,132,1
V208,132,1
V209,133,1
V210,82,1
V211,41,1
V212,115,1
V213,42,1
V214,50,1
V215,126,1
V216,82,1
V217,123,1
V218,70,1
V219,59,1
V220,150,1
V221,121,1
V222,76,1
V223,67,1
V224,69,1
V225,23,1
V226,29,1
V227,12,1
V228,30,1
V229,80,1
V230,43,1
V231,45,1
V232,50,1
V233,44,1
V234,70,1
V235,29,1
V236,19,1
V237,19,1
V238,34,1
V239,67,1
V240,0,1
V241,0,1
V242,42,1
V243,188,1
V244,63,1
V245,135,1
V246,61,1
V247,12,1
V248,51,1
V249,9,1
V250,30,1
V251,133,1
V252,12,1
V253,55,1
V254,35,1
V255,10,1
V256,208,1
V257,138,1
V258,420,1
V259,130,1
V260,50,1
V261,278,1
V262,77,1
V263,95,1
V264,223,1
V265,136,1
V266,273,1
V267,209,1
V268,117,1
V269,3,1
V270,102,1
V271,164,1
V272,79,1
V273,46,1
V274,203,1
V275,92,1
V276,96,1
V277,151,1
V278,119,1
V279,104,1
V280,36,1
V281,298,1
V282,206,1
V283,364,1
V284,12,1
V285,260,1
V286,54,1
V287,33,1
V288,32,1
V289,80,1
V290,52,1
V291,111,1
V292,45,1
V293,86,1
V294,290,1
V295,36,1
V296,180,1
V297,7,1
V298,63,1
V299,12,1
V300,72,1
V301,55,1
V302,6,1
V303,24,1
V304,20,1
V305,0,1
V306,131,1
V307,786,1
V308,361,1
V309,211,1
V310,647,1
V311,280,1
V312,324,1
V313,601,1
V314,366,1
V315,412,1
V316,98,1
V317,304,1
V318,76,1
V319,31,1
V320,340,1
V321,77,1
V322,17,1
V323,85,1
V324,44,1
V325,1,1
V326,13,1
V327,6,1
V328,3,1
V329,23,1
V330,7,1
V331,32,1
V332,75,1
V333,37,1
V334,5,1
V335,39,1
V336,26,1
V337,16,1
V338,31,1
V339,22,1
is_december,161,1
is_holiday,11,1
card1_fq_enc,814,1
card2_fq_enc,1547,1
card3_fq_enc,48,1
card5_fq_enc,152,1
uid_fq_enc,675,1
uid2_fq_enc,707,1
uid3_fq_enc,1091,1
uid4_fq_enc,1630,1
uid5_fq_enc,1127,1
card3_DT_D_hour_dist,2312,1
card3_DT_W_week_day_dist,1861,1
card3_DT_M_month_day_dist,1583,1
card3_DT_D_hour_dist_best,2014,1
card3_DT_W_week_day_dist_best,715,1
card3_DT_M_month_day_dist_best,1876,1
card5_DT_D_hour_dist,2038,1
card5_DT_W_week_day_dist,1849,1
card5_DT_M_month_day_dist,1667,1
card5_DT_D_hour_dist_best,1662,1
card5_DT_W_week_day_dist_best,838,1
card5_DT_M_month_day_dist_best,2141,1
bank_type_DT_D_hour_dist,1868,1
bank_type_DT_W_week_day_dist,1552,1
bank_type_DT_M_month_day_dist,1591,1
bank_type_DT_D_hour_dist_best,1291,1
bank_type_DT_W_week_day_dist_best,622,1
bank_type_DT_M_month_day_dist_best,1439,1
bank_type_DT_M,956,1
bank_type_DT_W,1403,1
bank_type_DT_D,1767,1
uid_D1_mean,686,1
uid_D1_std,684,1
uid2_D1_mean,588,1
uid2_D1_std,639,1
uid3_D1_mean,879,1
uid3_D1_std,1101,1
uid4_D1_mean,1385,1
