iter	Passed	Remaining
0	663	132743492
1	1203	120329437
2	1737	115862887
3	2212	110602972
4	2691	107660720
5	3301	110049099
6	3744	106976085
7	4299	107478702
8	4897	108818357
9	5406	108124087
10	5989	108887533
11	6443	107383101
12	6933	106660619
13	7423	106039002
14	8001	106679806
15	8711	108884337
16	9200	108234088
17	9705	107829481
18	10217	107543530
19	10734	107329957
20	11341	108002959
21	11890	108080332
22	12428	108059487
23	12970	108073388
24	13743	109934444
25	14383	110625892
26	14921	110517067
27	15626	111601848
28	16181	111579145
29	16693	111274656
30	17346	111897457
31	17849	111542455
32	18498	112092875
33	19194	112887694
34	19983	114170174
35	20623	114553280
36	21077	113911316
37	21555	113429992
38	22035	112979104
39	22508	112520885
40	23095	112636638
41	23573	112233308
42	24121	112168858
43	24660	112068785
44	25124	111637643
45	25790	112104942
46	26314	111949432
47	26808	111674084
48	27283	111332304
49	27801	111177426
50	28438	111494520
51	28974	111410447
52	29496	111276770
53	30040	111230673
54	30622	111323690
55	31393	112089776
56	31970	112145122
57	32515	112088478
58	33122	112245636
59	33551	111805677
60	34202	112103882
61	34684	111850529
62	35220	111775032
63	35709	111557349
64	36198	111342691
65	36771	111390602
66	37345	111441598
67	37847	111277532
68	38441	111384771
69	39068	111586294
70	39762	111966887
71	40286	111865867
72	40831	111826475
73	41347	111708871
74	41838	111527460
75	42485	111760882
76	43000	111647397
77	43529	111569849
78	44091	111580931
79	44694	111691537
80	45323	111865131
81	45896	111895615
82	46401	111763903
83	47075	112037194
84	47705	112200267
85	48307	112295142
86	48862	112277976
87	49507	112466990
88	50192	112742245
89	50777	112788354
90	51439	113002557
91	51965	112916015
92	52495	112840307
93	53037	112791915
94	53617	112824582
95	54249	112966016
96	54765	112864728
97	55297	112797501
98	55803	112678045
99	56257	112459555
100	56836	112490551
101	57363	112420060
102	57912	112392960
103	58414	112276425
104	58915	112161874
105	59498	112202157
106	60001	112092561
107	60671	112293836
108	61325	112461875
109	61912	112506825
110	62569	112675602
111	63118	112648986
112	63688	112659409
113	64183	112538478
114	64688	112437399
115	65294	112512218
116	65866	112525731
117	66398	112473796
118	66935	112429766
119	67439	112330937
120	68141	112562320
121	68880	112849666
122	69456	112868261
123	69981	112803192
124	70549	112809053
125	71189	112928015
126	71688	112823778
127	72218	112769276
128	72738	112699838
129	73246	112614434
130	73866	112698709
131	74402	112656770
132	75100	112857332
133	75817	113084134
134	76394	113100349
135	77217	113478326
136	77801	113500371
137	78504	113696359
138	79055	113670099
139	79629	113676502
140	80280	113792785
141	80822	113753808
142	81409	113778200
143	81976	113774152
144	82523	113743350
145	83103	113757939
146	83582	113633642
147	84043	113488677
148	84544	113398287
149	85112	113397733
150	85697	113420502
151	86196	113330111
152	86680	113221690
153	87179	113133586
154	87707	113083197
155	88266	113073732
156	88741	112958144
157	89220	112848375
158	89769	112828450
159	90314	112802858
160	90946	112886034
161	91433	112789523
162	91907	112677546
163	92384	112571636
164	92867	112473238
165	93482	112535603
166	94023	112508808
167	94497	112402494
168	95034	112371671
169	95517	112278488
170	96082	112281513
171	96624	112257404
172	97106	112165264
173	97615	112104411
174	98168	112094752
175	98731	112096008
176	99228	112023822
177	99721	111947243
178	100247	111908088
179	100753	111847982
180	101336	111873093
181	101855	111827720
182	102393	111802740
183	102889	111733404
184	103383	111662212
185	103970	111692192
186	104489	111649111
187	105006	111603586
188	105591	111631813
189	106098	111576871
190	106698	111619222
191	107216	111576135
192	107694	111493162
193	108208	111446437
194	108720	111399604
195	109306	111427782
196	109775	111337855
197	110328	111332205
198	110819	111265800
199	111349	111237890
200	111931	111262206
201	112431	111205541
202	112978	111195715
203	113497	111158472
204	113989	111095640
205	114643	111189532
206	115138	111129421
207	115665	111101167
208	116145	111027440
209	116589	110921145
210	117170	110945018
211	117658	110881323
212	118210	110877851
213	118803	110912173
214	119290	110848644
215	119873	110874560
216	120406	110853178
217	121010	110897379
218	121495	110833146
219	122019	110804867
220	122627	110852775
221	123162	110834361
222	123807	110914490
223	124338	110892380
224	124881	110880629
225	125496	110933765
226	126028	110912352
227	126558	110889529
228	127106	110883306
229	127631	110856420
230	128265	110924357
231	128788	110895788
232	129341	110893761
233	129953	110941193
234	130508	110940559
235	131127	110993858
236	131641	110958272
237	132193	110954748
238	132714	110925821
239	133294	110945221
240	133944	111023493
241	134474	111001800
242	135031	111002370
243	135570	110987544
244	136076	110947135
245	136736	111030748
246	137227	110978019
247	137846	111028927
248	138352	110987865
249	138921	110998413
250	139567	111069513
251	140088	111041589
252	140605	111010210
253	141155	111004833
254	141676	110977197
255	142343	111063511
256	142817	110999041
257	143357	110986374
258	143906	110981169
259	144421	110948937
260	145143	111076086
261	145764	111124646
262	146389	111176348
263	146950	111179125
264	147578	111232645
265	148301	111356786
266	148889	111378749
267	149491	111411256
268	150053	111413769
269	150725	111497807
270	151440	111612519
271	152032	111636752
272	152660	111686514
273	153252	111709730
274	153841	111730674
275	154571	111853560
276	155289	111966886
277	156086	112136668
278	156649	112137054
279	157300	112200399
280	158133	112392095
281	158767	112442211
282	159358	112461618
283	160003	112518595
284	160578	112525979
285	161243	112596341
286	161771	112570956
287	162439	112642666
288	163018	112652456
289	163560	112636683
290	164325	112774372
291	165059	112889525
292	166040	113172158
293	166679	113220983
294	167420	113337793
295	168195	113477670
296	169086	113693903
297	170045	113954528
298	171069	114256745
299	172047	114526472
300	173175	114893444
301	174577	115439971
302	175626	115749213
303	176344	115839837
304	177044	115917686
305	178054	116197460
306	179063	116474927
307	179759	116546920
308	180357	116556146
309	181129	116676754
310	181848	116762426
311	182458	116778191
312	183136	116836716
313	183859	116923997
314	184508	116963860
315	185333	117114236
316	185994	117160637
317	186594	117168450
318	187198	117178724
319	188057	117347727
320	188889	117499533
321	189467	117492022
322	190080	117506665
323	190992	117705314
324	191868	117880936
325	192650	117997974
326	193384	118084357
327	194017	118109353
328	194765	118203928
329	195703	118412348
330	196633	118615035
331	197339	118681803
332	197875	118646472
333	198393	118600164
334	198984	118597692
335	199651	118640734
336	200154	118586136
337	200642	118522900
